Orthogroup	Junonia_coenia	Danaus_plexippus
OG0000016	JC_00964-RA, JC_04926-RA, JC_16974-RA, JC_08773-RA, JC_12777-RA, JC_14440-RA, JC_15071-RA, JC_05786-RA, JC_05770-RA, JC_16975-RA, JC_06736-RA, JC_15091-RA, JC_06793-RA, JC_14935-RA, JC_12520-RA, JC_02440-RA	DPOGS200806-PA
OG0000018	JC_13020-RA, JC_05934-RA, JC_05935-RA, JC_05936-RA, JC_03239-RA, JC_01164-RA, JC_13351-RA, JC_01168-RA, JC_01167-RA, JC_01169-RA, JC_13957-RA, JC_13958-RA, JC_01162-RA, JC_13224-RA, JC_12888-RA, JC_01477-RA, JC_01563-RA, JC_01561-RA, JC_01562-RA, JC_14234-RA, JC_01478-RA, JC_11165-RA, JC_01920-RA, JC_14235-RA, JC_01479-RA	DPOGS215673-PA, DPOGS215672-PA, DPOGS215670-PA, DPOGS215671-PA, DPOGS215669-PA
OG0000020	JC_14441-RA, JC_12860-RA, JC_08804-RA, JC_15272-RA	DPOGS208960-PA
OG0000022	JC_00074-RA	DPOGS202417-PA
OG0000022	JC_00072-RA	DPOGS202402-PA
OG0000022	JC_16481-RA	DPOGS200512-PA
OG0000022	JC_16435-RA	DPOGS209862-PA
OG0000022	JC_00073-RA	DPOGS202403-PA
OG0000022	JC_15640-RA	DPOGS215440-PA
OG0000022	JC_14595-RA	DPOGS213388-PA
OG0000022	JC_14602-RA	DPOGS213385-PA
OG0000024	JC_07395-RA, JC_07382-RA, JC_07383-RA, JC_07387-RA, JC_07389-RA, JC_07391-RA, JC_07388-RA, JC_07396-RA, JC_07393-RA, JC_07397-RA, JC_07385-RA, JC_07394-RA, JC_07392-RA, JC_07390-RA, JC_07398-RA, JC_07384-RA, JC_07386-RA	DPOGS200042-PA
OG0000025	JC_16102-RA, JC_16101-RA	DPOGS206744-PA, DPOGS206759-PA, DPOGS206743-PA
OG0000028	JC_16613-RA, JC_10517-RA, JC_10519-RA, JC_06008-RA, JC_06009-RA, JC_10541-RA, JC_10542-RA, JC_10540-RA, JC_10528-RA, JC_10543-RA, JC_10538-RA, JC_10539-RA, JC_13234-RA, JC_11032-RA, JC_10533-RA, JC_13235-RA, JC_10565-RA, JC_10564-RA, JC_16342-RA, JC_10532-RA, JC_10671-RA, JC_10530-RA, JC_10529-RA, JC_10531-RA, JC_16551-RA, JC_16553-RA, JC_16552-RA, JC_16554-RA, JC_16555-RA	DPOGS205336-PA
OG0000031	JC_07638-RA	DPOGS212301-PA
OG0000031	JC_12510-RA	DPOGS211828-PA
