Orthogroup	Junonia_coenia	Danaus_plexippus
OG0000842	JC_09045-RA, JC_09046-RA, JC_09049-RA, JC_09048-RA	DPOGS208927-PA
OG0000843	JC_13527-RA, JC_13526-RA	DPOGS210299-PA
OG0000844	JC_07220-RA	DPOGS212385-PA
OG0000844	JC_07223-RA	DPOGS212384-PA
OG0000845	JC_11817-RA	DPOGS206961-PA
OG0000845	JC_11819-RA	DPOGS206959-PA
OG0000846	JC_11089-RA	DPOGS211607-PA
OG0000847	JC_00168-RA	DPOGS208745-PA
OG0000847	JC_00170-RA, JC_00169-RA	DPOGS208744-PA
OG0000848	JC_09150-RA, JC_09152-RA, JC_09149-RA, JC_09148-RA	DPOGS210242-PA
OG0000849	JC_08587-RA	DPOGS201853-PA
OG0000850	JC_02689-RA, JC_02690-RA, JC_02688-RA	DPOGS213267-PA, DPOGS213266-PA
OG0000851	JC_16981-RA, JC_16982-RA	DPOGS205370-PA
OG0000852	JC_13901-RA	DPOGS200589-PA
OG0000854	JC_09230-RA, JC_09228-RA	DPOGS202794-PA
OG0000854	JC_09226-RA, JC_09225-RA	DPOGS202795-PA
OG0000863	JC_00709-RA	DPOGS208806-PA
OG0000864	JC_04420-RA, JC_04419-RA	DPOGS205725-PA, DPOGS210043-PA
OG0000865	JC_14974-RA, JC_07469-RA	DPOGS210288-PA
OG0000865	JC_14975-RA	DPOGS210289-PA
OG0000866	JC_12820-RA, JC_12819-RA	DPOGS214699-PA
OG0000867	JC_11274-RA	DPOGS206641-PA
OG0000867	JC_11272-RA	DPOGS206638-PA
OG0000868	JC_03306-RA, JC_03305-RA	DPOGS200263-PA
OG0000870	JC_06314-RA	DPOGS208291-PA
OG0000871	JC_16225-RA, JC_16226-RA	DPOGS214422-PA
OG0000872	JC_14053-RA, JC_00998-RA, JC_00997-RA, JC_00995-RA, JC_14055-RA, JC_00996-RA	DPOGS216118-PA
OG0000873	JC_03548-RA, JC_03547-RA, JC_03546-RA	DPOGS210817-PA
OG0000874	JC_06714-RA	DPOGS210368-PA
OG0000874	JC_06715-RA	DPOGS210369-PA
OG0000875	JC_02371-RA, JC_02375-RA	DPOGS204747-PA, DPOGS204748-PA
OG0000876	JC_10466-RA, JC_04159-RA, JC_16968-RA	DPOGS206310-PA, DPOGS201390-PA
OG0000878	JC_02262-RA, JC_02263-RA	DPOGS206791-PA
OG0000880	JC_06232-RA	DPOGS208272-PA
OG0000880	JC_06233-RA, JC_06234-RA	DPOGS208273-PA
OG0000881	JC_16723-RA, JC_16722-RA, JC_16727-RA, JC_16726-RA	DPOGS210653-PA
OG0000883	JC_00159-RA	DPOGS208750-PA
OG0000884	JC_16753-RA	DPOGS205039-PA
OG0000884	JC_16751-RA, JC_16752-RA	DPOGS205038-PA
OG0000885	JC_01248-RA, JC_01566-RA	DPOGS206403-PA
OG0000888	JC_17133-RA, JC_17130-RA, JC_17128-RA	DPOGS201605-PA
OG0000889	JC_14502-RA, JC_14501-RA	DPOGS216175-PA
OG0000891	JC_06809-RA, JC_06807-RA, JC_06813-RA	DPOGS212941-PA
OG0000892	JC_01355-RA	DPOGS203780-PA
OG0000893	JC_17115-RA	DPOGS201607-PA, DPOGS201606-PA
OG0000894	JC_15630-RA	DPOGS216202-PA
OG0000895	JC_08698-RA	DPOGS209835-PA
OG0000896	JC_14010-RA	DPOGS213757-PA
OG0000897	JC_12407-RA	DPOGS211299-PA
OG0000898	JC_12401-RA	DPOGS211333-PA
OG0000899	JC_16037-RA	DPOGS200219-PA
OG0000899	JC_16036-RA	DPOGS210195-PA
OG0000900	JC_00818-RA, JC_00823-RA, JC_00822-RA, JC_16848-RA	DPOGS215296-PA
OG0000901	JC_12944-RA	DPOGS215176-PA
OG0000901	JC_12943-RA	DPOGS215177-PA
OG0000902	JC_14354-RA	DPOGS203551-PA, DPOGS204539-PA
OG0000902	JC_14430-RA	DPOGS203553-PA, DPOGS203552-PA
OG0000903	JC_12507-RA	DPOGS202279-PA
OG0000903	JC_12508-RA	DPOGS202278-PA
OG0000904	JC_12503-RA	DPOGS202308-PA
OG0000904	JC_12734-RA	DPOGS214593-PA
OG0000905	JC_10206-RA	DPOGS201585-PA
OG0000905	JC_10205-RA	DPOGS212786-PA, DPOGS201586-PA
OG0000906	JC_08012-RA	DPOGS201312-PA
OG0000906	JC_08013-RA	DPOGS201313-PA
OG0000907	JC_09680-RA	DPOGS212607-PA
OG0000908	JC_14391-RA	DPOGS202557-PA
OG0000909	JC_12464-RA	DPOGS211320-PA
OG0000909	JC_12462-RA	DPOGS210131-PA
OG0000910	JC_14018-RA	DPOGS213780-PA
OG0000911	JC_03790-RA	DPOGS212152-PA
OG0000912	JC_06055-RA	DPOGS204588-PA
OG0000913	JC_12537-RA	DPOGS202261-PA
OG0000913	JC_16075-RA	DPOGS206750-PA
OG0000915	JC_03796-RA, JC_03797-RA	DPOGS212109-PA
OG0000916	JC_16474-RA, JC_16475-RA	DPOGS200515-PA
OG0000918	JC_01437-RA, JC_01439-RA	DPOGS215762-PA
OG0000919	JC_08074-RA	DPOGS211144-PA
OG0000920	JC_06868-RA	DPOGS213295-PA
OG0000921	JC_15862-RA	DPOGS212511-PA
OG0000923	JC_13995-RA	DPOGS214971-PA
OG0000924	JC_15952-RA	DPOGS205590-PA
OG0000924	JC_15951-RA	DPOGS205582-PA
OG0000926	JC_01973-RA, JC_01974-RA, JC_01972-RA	DPOGS200889-PA
OG0000927	JC_07456-RA	DPOGS209762-PA
OG0000927	JC_07452-RA, JC_07453-RA	DPOGS209763-PA
OG0000928	JC_08934-RA	DPOGS211291-PA
OG0000929	JC_08930-RA, JC_08929-RA	DPOGS211289-PA
OG0000930	JC_08923-RA, JC_08922-RA	DPOGS211285-PA
OG0000931	JC_13965-RA, JC_13964-RA, JC_13966-RA	DPOGS216137-PA
OG0000932	JC_14652-RA	DPOGS201927-PA
OG0000933	JC_04625-RA	DPOGS215916-PA
OG0000934	JC_15936-RA	DPOGS203637-PA
OG0000934	JC_15935-RA	DPOGS203639-PA, DPOGS203640-PA, DPOGS203638-PA
OG0000935	JC_03200-RA	DPOGS214773-PA
OG0000936	JC_14945-RA	DPOGS210273-PA
OG0000937	JC_16413-RA, JC_16414-RA	DPOGS212956-PA
OG0000938	JC_05420-RA	DPOGS203206-PA, DPOGS203205-PA, DPOGS203204-PA
OG0000939	JC_05417-RA, JC_05416-RA	DPOGS203168-PA
OG0000940	JC_06937-RA	DPOGS213596-PA, DPOGS213597-PA
OG0000941	JC_16537-RA, JC_16534-RA	DPOGS214612-PA
OG0000942	JC_15856-RA	DPOGS212513-PA, DPOGS212476-PA
OG0000943	JC_13034-RA, JC_13035-RA, JC_13036-RA, JC_13037-RA	DPOGS216147-PA
OG0000944	JC_00583-RA, JC_00582-RA	DPOGS204381-PA
OG0000944	JC_00584-RA	DPOGS204379-PA, DPOGS204380-PA
OG0000945	JC_11276-RA	DPOGS206666-PA
OG0000946	JC_10742-RA, JC_14948-RA, JC_10660-RA, JC_14947-RA, JC_14946-RA, JC_14950-RA	DPOGS216041-PA, DPOGS216040-PA
OG0000947	JC_16939-RA	DPOGS200587-PA
OG0000947	JC_16932-RA, JC_16933-RA	DPOGS200586-PA
OG0000948	JC_01121-RA, JC_01122-RA	DPOGS201743-PA
OG0000949	JC_01125-RA	DPOGS201744-PA
OG0000950	JC_03402-RA	DPOGS209251-PA
OG0000951	JC_05397-RA, JC_05398-RA	DPOGS209191-PA
OG0000952	JC_07630-RA	DPOGS204547-PA
OG0000953	JC_06916-RA	DPOGS213542-PA
OG0000954	JC_00561-RA	DPOGS204498-PA
OG0000955	JC_04699-RA, JC_04697-RA	DPOGS207958-PA
OG0000956	JC_14215-RA	DPOGS210533-PA
OG0000957	JC_12338-RA	DPOGS214644-PA
OG0000957	JC_12340-RA	DPOGS214643-PA
OG0000958	JC_16822-RA, JC_16826-RA	DPOGS215100-PA
OG0000959	JC_15730-RA	DPOGS214482-PA
OG0000959	JC_15729-RA	DPOGS214481-PA
OG0000960	JC_11174-RA	DPOGS214043-PA
OG0000960	JC_11176-RA, JC_11175-RA	DPOGS214044-PA
OG0000961	JC_09452-RA, JC_09453-RA, JC_09451-RA	DPOGS205809-PA
OG0000962	JC_14190-RA	DPOGS201122-PA
OG0000962	JC_14188-RA, JC_14189-RA	DPOGS201121-PA
OG0000963	JC_10772-RA, JC_10778-RA, JC_10769-RA, JC_10768-RA, JC_10777-RA, JC_10771-RA, JC_10776-RA, JC_10774-RA, JC_10775-RA, JC_10770-RA, JC_10773-RA	DPOGS216027-PA
OG0000964	JC_12158-RA, JC_12098-RA, JC_12130-RA	DPOGS212717-PA
OG0000965	JC_14680-RA	DPOGS200546-PA
OG0000966	JC_12124-RA, JC_12123-RA	DPOGS212740-PA
OG0000967	JC_14667-RA	DPOGS201707-PA
OG0000968	JC_15304-RA	DPOGS201640-PA
OG0000969	JC_14709-RA, JC_14711-RA	DPOGS201692-PA
OG0000969	JC_14706-RA, JC_14708-RA, JC_14707-RA	DPOGS201693-PA
OG0000970	JC_08841-RA	DPOGS208999-PA
OG0000971	JC_09895-RA, JC_09871-RA	DPOGS206005-PA
OG0000972	JC_12567-RA	DPOGS202337-PA
OG0000973	JC_13726-RA	DPOGS209316-PA
OG0000974	JC_03304-RA	DPOGS200265-PA, DPOGS200266-PA, DPOGS200264-PA, DPOGS200267-PA
OG0000975	JC_07557-RA	DPOGS206433-PA
OG0000978	JC_15344-RA	DPOGS211070-PA
OG0000979	JC_05033-RA, JC_07554-RA	DPOGS206438-PA
OG0000980	JC_14740-RA, JC_14739-RA, JC_14738-RA, JC_14741-RA	DPOGS206263-PA, DPOGS206262-PA
OG0000981	JC_11973-RA	DPOGS207038-PA
OG0000982	JC_08317-RA	DPOGS214188-PA
OG0000983	JC_05254-RA, JC_05255-RA, JC_05253-RA	DPOGS212254-PA
OG0000984	JC_11637-RA, JC_11638-RA, JC_11639-RA	DPOGS207110-PA
OG0000985	JC_05252-RA	DPOGS212293-PA
OG0000986	JC_01817-RA	DPOGS212574-PA
OG0000986	JC_10896-RA	DPOGS209746-PA
OG0000987	JC_02160-RA	DPOGS212568-PA
OG0000987	JC_02162-RA	DPOGS200078-PA
OG0000988	JC_08341-RA	DPOGS214167-PA
OG0000989	JC_12292-RA	DPOGS204050-PA
OG0000990	JC_07678-RA	DPOGS207764-PA
OG0000991	JC_14778-RA, JC_14674-RA, JC_14777-RA	DPOGS212185-PA
OG0000992	JC_12010-RA	DPOGS206956-PA
OG0000993	JC_13273-RA	DPOGS214852-PA, DPOGS214853-PA
OG0000994	JC_13758-RA	DPOGS207425-PA
OG0000994	JC_13760-RA	DPOGS207424-PA
OG0000995	JC_07108-RA	DPOGS207269-PA
OG0000995	JC_07107-RA, JC_07106-RA, JC_07105-RA, JC_07104-RA	DPOGS207270-PA
OG0000996	JC_02940-RA, JC_02939-RA	DPOGS215963-PA
OG0000997	JC_04855-RA, JC_09065-RA, JC_04856-RA	DPOGS207576-PA
OG0000998	JC_10396-RA	DPOGS202905-PA
OG0000998	JC_10395-RA	DPOGS202904-PA
OG0000999	JC_13784-RA	DPOGS205824-PA
OG0001000	JC_05220-RA	DPOGS212269-PA, DPOGS212270-PA
OG0001001	JC_07752-RA	DPOGS207844-PA, DPOGS207721-PA, DPOGS207843-PA, DPOGS207842-PA
OG0001002	JC_12081-RA	DPOGS206980-PA
OG0001002	JC_11783-RA	DPOGS207013-PA
OG0001003	JC_15483-RA, JC_15475-RA, JC_15474-RA	DPOGS202539-PA
OG0001004	JC_08434-RA, JC_08433-RA, JC_08432-RA	DPOGS214127-PA
OG0001005	JC_09028-RA, JC_09030-RA	DPOGS208921-PA
OG0001007	JC_17241-RA, JC_11004-RA, JC_17240-RA, JC_11005-RA	DPOGS201001-PA
OG0001008	JC_09289-RA	DPOGS207655-PA, DPOGS207656-PA
OG0001009	JC_11058-RA	DPOGS203573-PA
OG0001009	JC_11057-RA	DPOGS203572-PA
OG0001010	JC_03115-RA, JC_03116-RA, JC_03117-RA, JC_03114-RA, JC_03113-RA	DPOGS200297-PA
OG0001011	JC_11015-RA	DPOGS215243-PA
OG0001011	JC_11014-RA	DPOGS215242-PA
OG0001012	JC_04983-RA	DPOGS209932-PA
OG0001013	JC_00860-RA, JC_00859-RA	DPOGS210620-PA
OG0001014	JC_09106-RA	DPOGS205566-PA
OG0001014	JC_09105-RA	DPOGS205567-PA
OG0001015	JC_11842-RA	DPOGS203466-PA
OG0001016	JC_09108-RA	DPOGS205559-PA, DPOGS205558-PA
OG0001017	JC_08527-RA	DPOGS211829-PA
OG0001018	JC_09123-RA, JC_09124-RA	DPOGS210251-PA, DPOGS210252-PA
OG0001019	JC_06550-RA	DPOGS211471-PA
OG0001020	JC_03031-RA	DPOGS215043-PA
OG0001021	JC_07896-RA, JC_07895-RA	DPOGS205690-PA
OG0001022	JC_13441-RA	DPOGS200046-PA, DPOGS212915-PA
OG0001022	JC_13443-RA, JC_13442-RA, JC_13444-RA	DPOGS212914-PA
OG0001023	JC_08620-RA, JC_08614-RA	DPOGS201891-PA, DPOGS201893-PA
OG0001024	JC_00085-RA, JC_00084-RA	DPOGS202411-PA
OG0001024	JC_00086-RA	DPOGS202161-PA
OG0001025	JC_13404-RA, JC_13402-RA	DPOGS212984-PA
OG0001025	JC_13403-RA	DPOGS211727-PA
OG0001026	JC_02984-RA	DPOGS209378-PA
OG0001026	JC_02983-RA	DPOGS209379-PA
OG0001027	JC_16775-RA, JC_15481-RA, JC_03566-RA, JC_11702-RA, JC_00034-RA, JC_00028-RA, JC_00030-RA, JC_00032-RA, JC_00035-RA	DPOGS214901-PA
OG0001028	JC_04253-RA	DPOGS210148-PA
OG0001028	JC_04252-RA	DPOGS200163-PA
OG0001029	JC_08548-RA	DPOGS211842-PA
OG0001029	JC_08547-RA, JC_08549-RA	DPOGS201549-PA
OG0001030	JC_08543-RA, JC_08541-RA, JC_08542-RA	DPOGS211801-PA
OG0001031	JC_08536-RA, JC_10791-RA	DPOGS207387-PA
OG0001032	JC_01040-RA	DPOGS201506-PA
OG0001032	JC_01039-RA	DPOGS201508-PA
OG0001033	JC_08592-RA, JC_14729-RA, JC_16465-RA	DPOGS211517-PA
OG0001034	JC_15399-RA, JC_15401-RA	DPOGS208347-PA
OG0001035	JC_03627-RA, JC_03628-RA	DPOGS201137-PA
OG0001036	JC_08637-RA, JC_08636-RA, JC_08635-RA	DPOGS201907-PA, DPOGS201906-PA
OG0001037	JC_00755-RA	DPOGS208838-PA
OG0001042	JC_15877-RA	DPOGS212521-PA
OG0001042	JC_15878-RA	DPOGS212522-PA
OG0001043	JC_05684-RA	DPOGS208040-PA, DPOGS208039-PA
OG0001044	JC_02460-RA	DPOGS202045-PA
OG0001045	JC_05593-RA	DPOGS203231-PA
OG0001045	JC_05590-RA	DPOGS203232-PA
OG0001046	JC_03518-RA, JC_03519-RA	DPOGS210865-PA
OG0001047	JC_06323-RA, JC_06324-RA	DPOGS208294-PA
OG0001048	JC_16446-RA	DPOGS215131-PA
OG0001049	JC_16790-RA	DPOGS202395-PA, DPOGS214613-PA, DPOGS204904-PA
OG0001050	JC_15059-RA, JC_15056-RA	DPOGS208218-PA
OG0001050	JC_15060-RA	DPOGS208219-PA
OG0001051	JC_05651-RA	DPOGS215281-PA
OG0001052	JC_16083-RA	DPOGS206747-PA
OG0001053	JC_01620-RA	DPOGS202946-PA
OG0001053	JC_01622-RA, JC_01621-RA	DPOGS202945-PA
OG0001054	JC_01990-RA	DPOGS201383-PA
OG0001055	JC_00726-RA	DPOGS208791-PA
OG0001056	JC_01956-RA	DPOGS200896-PA
OG0001056	JC_07905-RA	DPOGS205719-PA
OG0001057	JC_16692-RA	DPOGS205040-PA
OG0001058	JC_16231-RA	DPOGS214396-PA
OG0001058	JC_16233-RA	DPOGS214397-PA
OG0001059	JC_13023-RA, JC_13022-RA, JC_13021-RA	DPOGS207347-PA
OG0001060	JC_15043-RA	DPOGS213265-PA
OG0001060	JC_15044-RA	DPOGS208203-PA
OG0001061	JC_03552-RA, JC_03551-RA	DPOGS210821-PA
OG0001062	JC_14071-RA	DPOGS216101-PA
OG0001063	JC_15712-RA	DPOGS208601-PA
OG0001063	JC_13010-RA	DPOGS207326-PA
OG0001064	JC_10499-RA	DPOGS213164-PA
OG0001065	JC_05663-RA, JC_05661-RA	DPOGS202137-PA
OG0001066	JC_15195-RA, JC_15197-RA	DPOGS211827-PA
OG0001067	JC_16721-RA	DPOGS210647-PA, DPOGS210646-PA
OG0001068	JC_03666-RA, JC_03665-RA	DPOGS209597-PA
OG0001069	JC_00735-RA	DPOGS208787-PA
OG0001070	JC_06773-RA	DPOGS210377-PA
OG0001071	JC_16156-RA	DPOGS214406-PA
OG0001071	JC_16157-RA, JC_16155-RA	DPOGS211737-PA, DPOGS214407-PA
OG0001072	JC_05668-RA, JC_05671-RA, JC_05670-RA	DPOGS202134-PA
OG0001073	JC_08532-RA	DPOGS211806-PA, DPOGS211805-PA
OG0001073	JC_07965-RA	DPOGS210925-PA
OG0001074	JC_15586-RA	DPOGS213652-PA
OG0001075	JC_12426-RA	DPOGS211239-PA
OG0001075	JC_12429-RA	DPOGS212640-PA, DPOGS211238-PA
OG0001076	JC_03083-RA	DPOGS215027-PA
OG0001077	JC_17069-RA, JC_17068-RA	DPOGS214976-PA
OG0001078	JC_02285-RA	DPOGS206801-PA
OG0001079	JC_15176-RA, JC_16563-RA, JC_15177-RA, JC_15175-RA	DPOGS211823-PA
OG0001080	JC_06801-RA	DPOGS210310-PA
OG0001080	JC_06800-RA	DPOGS210311-PA
OG0001081	JC_10315-RA, JC_01560-RA	DPOGS215707-PA
OG0001082	JC_03685-RA	DPOGS209589-PA
OG0001082	JC_04963-RA	DPOGS215825-PA
OG0001082	JC_03684-RA	DPOGS209590-PA
OG0001083	JC_11429-RA, JC_11430-RA	DPOGS205457-PA
OG0001084	JC_16259-RA	DPOGS205126-PA
OG0001084	JC_16257-RA	DPOGS205125-PA
OG0001085	JC_16624-RA	DPOGS206208-PA
OG0001085	JC_16623-RA, JC_16621-RA	DPOGS201630-PA
OG0001086	JC_12975-RA, JC_12974-RA, JC_12973-RA	DPOGS209772-PA, DPOGS209773-PA, DPOGS209771-PA
OG0001087	JC_01553-RA	DPOGS215713-PA
OG0001088	JC_03630-RA, JC_03631-RA, JC_03632-RA, JC_03629-RA	DPOGS201139-PA, DPOGS201138-PA
OG0001089	JC_03703-RA	DPOGS209582-PA
OG0001090	JC_06822-RA	DPOGS212968-PA
OG0001091	JC_07978-RA, JC_07977-RA, JC_07976-RA	DPOGS210921-PA
OG0001092	JC_06006-RA	DPOGS204831-PA
OG0001092	JC_03708-RA	DPOGS209578-PA
OG0001094	JC_05633-RA	DPOGS203130-PA
OG0001094	JC_05632-RA	DPOGS203129-PA
OG0001095	JC_08721-RA	DPOGS209824-PA, DPOGS209825-PA
OG0001096	JC_14825-RA	DPOGS202083-PA
OG0001097	JC_03942-RA	DPOGS211507-PA
OG0001097	JC_03941-RA	DPOGS211506-PA
OG0001098	JC_10872-RA, JC_10595-RA	DPOGS204668-PA
OG0001099	JC_12950-RA	DPOGS215226-PA
OG0001101	JC_16038-RA	DPOGS210192-PA
OG0001102	JC_12391-RA	DPOGS204158-PA
OG0001103	JC_06167-RA	DPOGS210578-PA
OG0001104	JC_17031-RA	DPOGS203877-PA
OG0001104	JC_17032-RA	DPOGS203878-PA
OG0001105	JC_09802-RA	DPOGS209463-PA
OG0001105	JC_09801-RA	DPOGS209461-PA
OG0001106	JC_16759-RA, JC_16761-RA, JC_16756-RA, JC_16760-RA, JC_16758-RA	DPOGS205036-PA
OG0001107	JC_10618-RA	DPOGS204658-PA
OG0001107	JC_11911-RA	DPOGS207062-PA
OG0001108	JC_16592-RA	DPOGS212311-PA
OG0001109	JC_07431-RA	DPOGS206332-PA
OG0001109	JC_07433-RA	DPOGS215124-PA
OG0001110	JC_11016-RA	DPOGS215276-PA
OG0001111	JC_08736-RA	DPOGS209816-PA
OG0001112	JC_01855-RA	DPOGS203907-PA
OG0001112	JC_16403-RA	DPOGS200469-PA
OG0001114	JC_11578-RA, JC_11577-RA	DPOGS206820-PA, DPOGS200017-PA
OG0001116	JC_14410-RA	DPOGS203543-PA
OG0001117	JC_16895-RA, JC_16896-RA	DPOGS205240-PA
OG0001118	JC_04397-RA	DPOGS210036-PA
OG0001120	JC_12457-RA	DPOGS211323-PA, DPOGS211324-PA
OG0001121	JC_14986-RA, JC_14987-RA	DPOGS213232-PA
OG0001122	JC_16464-RA	DPOGS200002-PA
OG0001123	JC_11357-RA	DPOGS211337-PA
OG0001124	JC_11352-RA, JC_11353-RA, JC_11356-RA	DPOGS211368-PA
OG0001125	JC_08066-RA	DPOGS211139-PA
OG0001125	JC_08070-RA	DPOGS211141-PA
OG0001126	JC_00659-RA	DPOGS213062-PA
OG0001126	JC_00658-RA	DPOGS213063-PA
OG0001127	JC_01444-RA	DPOGS215656-PA
OG0001127	JC_01445-RA	DPOGS215655-PA
OG0001128	JC_07470-RA	DPOGS204939-PA
OG0001128	JC_07471-RA	DPOGS204941-PA
OG0001129	JC_10713-RA	DPOGS208450-PA
OG0001130	JC_15008-RA	DPOGS200577-PA, DPOGS200578-PA
OG0001131	JC_13104-RA	DPOGS205005-PA
OG0001132	JC_04560-RA	DPOGS203271-PA
OG0001132	JC_04562-RA	DPOGS203270-PA
OG0001134	JC_08094-RA	DPOGS211153-PA
OG0001134	JC_08092-RA	DPOGS211154-PA
OG0001135	JC_14345-RA	DPOGS213478-PA
OG0001136	JC_10634-RA, JC_10633-RA	DPOGS208446-PA
OG0001137	JC_03823-RA, JC_03822-RA	DPOGS212139-PA
OG0001139	JC_04574-RA, JC_04573-RA, JC_04575-RA	DPOGS215886-PA
OG0001140	JC_15676-RA	DPOGS208589-PA
OG0001141	JC_13986-RA, JC_13984-RA	DPOGS216127-PA
OG0001142	JC_03318-RA, JC_03317-RA	DPOGS200261-PA
OG0001143	JC_03840-RA	DPOGS201951-PA
OG0001144	JC_04576-RA, JC_02778-RA	DPOGS215884-PA
OG0001145	JC_13088-RA	DPOGS204689-PA
OG0001146	JC_16950-RA, JC_16951-RA	DPOGS215364-PA
OG0001147	JC_17234-RA	DPOGS205245-PA
OG0001148	JC_07445-RA	DPOGS209752-PA
OG0001149	JC_07197-RA	DPOGS212313-PA
OG0001150	JC_04616-RA	DPOGS215902-PA
OG0001151	JC_04621-RA	DPOGS215878-PA
OG0001152	JC_02528-RA	DPOGS211882-PA
OG0001153	JC_14315-RA	DPOGS213497-PA
OG0001154	JC_12731-RA	DPOGS214588-PA
OG0001156	JC_01993-RA	DPOGS201370-PA
OG0001157	JC_14254-RA, JC_14253-RA	DPOGS211742-PA
OG0001158	JC_12723-RA, JC_12720-RA	DPOGS204192-PA
OG0001160	JC_14262-RA	DPOGS213416-PA
OG0001160	JC_14263-RA	DPOGS213419-PA
OG0001161	JC_16508-RA, JC_16507-RA, JC_16510-RA	DPOGS205016-PA
OG0001162	JC_10043-RA, JC_10039-RA	DPOGS210461-PA
OG0001163	JC_14269-RA	DPOGS213425-PA
OG0001164	JC_14272-RA	DPOGS212235-PA
OG0001165	JC_08201-RA	DPOGS211197-PA
OG0001166	JC_02598-RA	DPOGS211980-PA
OG0001166	JC_02595-RA	DPOGS211844-PA
OG0001167	JC_02601-RA	DPOGS215969-PA
OG0001168	JC_12310-RA	DPOGS204172-PA
OG0001169	JC_15889-RA, JC_15888-RA, JC_15891-RA	DPOGS212467-PA
OG0001170	JC_06446-RA, JC_06447-RA, JC_06449-RA	DPOGS211593-PA
OG0001171	JC_05982-RA, JC_05985-RA	DPOGS205419-PA
OG0001172	JC_13168-RA	DPOGS210784-PA
OG0001172	JC_13167-RA	DPOGS200959-PA
OG0001173	JC_14815-RA, JC_14814-RA	DPOGS210021-PA
OG0001174	JC_11457-RA	DPOGS210009-PA
OG0001174	JC_11456-RA	DPOGS215432-PA
OG0001175	JC_12324-RA, JC_12326-RA	DPOGS200190-PA
OG0001176	JC_04691-RA, JC_04690-RA	DPOGS200935-PA
OG0001178	JC_14797-RA	DPOGS206275-PA
OG0001179	JC_08876-RA, JC_08875-RA	DPOGS202073-PA, DPOGS202072-PA
OG0001180	JC_00530-RA, JC_17217-RA	DPOGS204479-PA
OG0001181	JC_14207-RA	DPOGS201106-PA
OG0001182	JC_05753-RA	DPOGS209558-PA
OG0001183	JC_05343-RA	DPOGS203761-PA
OG0001184	JC_10780-RA	DPOGS207379-PA
OG0001184	JC_10779-RA	DPOGS207378-PA
OG0001185	JC_02130-RA, JC_02129-RA	DPOGS203332-PA
OG0001186	JC_01172-RA, JC_01173-RA	DPOGS203658-PA
OG0001187	JC_05334-RA, JC_05336-RA, JC_05335-RA	DPOGS203755-PA, DPOGS214527-PA, DPOGS214526-PA
OG0001188	JC_07164-RA	DPOGS206168-PA
OG0001189	JC_10763-RA, JC_10764-RA	DPOGS216078-PA
OG0001190	JC_03002-RA, JC_03003-RA	DPOGS209083-PA
OG0001191	JC_12127-RA	DPOGS212725-PA
OG0001191	JC_12129-RA	DPOGS212726-PA
OG0001192	JC_00506-RA, JC_00505-RA	DPOGS204418-PA, DPOGS204417-PA, DPOGS204419-PA, DPOGS204416-PA, DPOGS204415-PA
OG0001193	JC_15774-RA	DPOGS203766-PA
OG0001194	JC_13215-RA	DPOGS212031-PA
OG0001195	JC_13833-RA, JC_05933-RA	DPOGS206677-PA, DPOGS215085-PA
OG0001196	JC_04059-RA	DPOGS205083-PA
OG0001197	JC_01213-RA	DPOGS203673-PA
OG0001198	JC_10841-RA	DPOGS200407-PA
OG0001199	JC_10844-RA, JC_10843-RA	DPOGS200445-PA
OG0001200	JC_05915-RA, JC_05916-RA	DPOGS215076-PA
OG0001201	JC_01228-RA	DPOGS203816-PA
OG0001202	JC_12032-RA, JC_12031-RA	DPOGS206976-PA
OG0001203	JC_13823-RA	DPOGS200527-PA, DPOGS200526-PA
OG0001204	JC_15313-RA, JC_15314-RA, JC_15315-RA	DPOGS201656-PA
OG0001205	JC_07143-RA	DPOGS207248-PA
OG0001205	JC_07141-RA	DPOGS207250-PA
OG0001206	JC_08309-RA	DPOGS206532-PA
OG0001206	JC_08310-RA	DPOGS206529-PA
OG0001207	JC_04108-RA	DPOGS205047-PA
OG0001207	JC_04109-RA	DPOGS205046-PA
OG0001208	JC_02712-RA	DPOGS207466-PA
OG0001208	JC_02715-RA	DPOGS212205-PA
OG0001209	JC_01256-RA, JC_01257-RA	DPOGS203806-PA
OG0001210	JC_03274-RA, JC_03273-RA	DPOGS203610-PA
OG0001211	JC_12285-RA	DPOGS202699-PA
OG0001212	JC_07543-RA, JC_07542-RA	DPOGS206476-PA
OG0001213	JC_03260-RA	DPOGS203617-PA
OG0001213	JC_03261-RA	DPOGS203616-PA
OG0001214	JC_13262-RA	DPOGS214841-PA
OG0001215	JC_14765-RA	DPOGS204080-PA
OG0001215	JC_14764-RA	DPOGS204077-PA, DPOGS204076-PA
OG0001216	JC_07681-RA	DPOGS207804-PA
OG0001217	JC_15241-RA, JC_15240-RA	DPOGS212541-PA
OG0001219	JC_00372-RA, JC_00371-RA	DPOGS203067-PA
OG0001220	JC_12012-RA	DPOGS206955-PA
OG0001221	JC_11262-RA	DPOGS206629-PA
OG0001222	JC_05225-RA	DPOGS212285-PA
OG0001223	JC_00378-RA, JC_00380-RA	DPOGS203072-PA
OG0001224	JC_10406-RA, JC_10407-RA	DPOGS202910-PA
OG0001225	JC_10404-RA, JC_10403-RA	DPOGS202909-PA
OG0001226	JC_00419-RA, JC_00413-RA	DPOGS208656-PA
OG0001227	JC_07717-RA, JC_07718-RA	DPOGS207739-PA
OG0001228	JC_12648-RA	DPOGS212803-PA
