Orthogroup	Vanessa_cardui	Junonia_coenia
OG0000017	Vcard_DToL14198-RA	JC_17231-RA, JC_15147-RA, JC_15092-RA, JC_15170-RA, JC_06680-RA, JC_15064-RA, JC_15078-RA, JC_05798-RA, JC_13378-RA, JC_06679-RA, JC_15069-RA, JC_15134-RA, JC_08655-RA, JC_16568-RA, JC_16063-RA, JC_15121-RA, JC_17017-RA, JC_15163-RA, JC_15137-RA, JC_15122-RA, JC_00018-RA, JC_13744-RA, JC_15133-RA, JC_15158-RA, JC_14563-RA, JC_16831-RA, JC_11139-RA, JC_15142-RA, JC_11953-RA, JC_15083-RA, JC_16130-RA, JC_15081-RA, JC_15088-RA, JC_15131-RA
OG0000017	Vcard_DToL17605-RA, Vcard_DToL00869-RA	JC_15117-RA, JC_15148-RA, JC_17204-RA, JC_15100-RA, JC_15106-RA, JC_11954-RA, JC_15152-RA, JC_17232-RA, JC_15111-RA, JC_15082-RA, JC_15105-RA, JC_15140-RA
OG0000018	Vcard_DToL15155-RA, Vcard_DToL15154-RA	JC_13020-RA
OG0000018	Vcard_DToL01558-RA, Vcard_DToL01557-RA, Vcard_DToL01556-RA, Vcard_DToL01554-RA	JC_05934-RA, JC_05935-RA, JC_05936-RA, JC_03239-RA, JC_01164-RA, JC_13351-RA
OG0000018	Vcard_DToL01560-RA	JC_01168-RA, JC_01167-RA, JC_01169-RA, JC_13957-RA, JC_13958-RA
OG0000018	Vcard_DToL06831-RA, Vcard_DToL06832-RA, Vcard_DToL06834-RA, Vcard_DToL00995-RA, Vcard_DToL00994-RA, Vcard_DToL00992-RA, Vcard_DToL06833-RA, Vcard_DToL00991-RA, Vcard_DToL00989-RA, Vcard_DToL00988-RA	JC_13224-RA, JC_12888-RA, JC_01477-RA, JC_01563-RA, JC_01561-RA, JC_01562-RA, JC_14234-RA, JC_01478-RA, JC_11165-RA, JC_01920-RA, JC_14235-RA, JC_01479-RA
OG0000020	Vcard_DToL14232-RA, Vcard_DToL09765-RA, Vcard_DToL10281-RA, Vcard_DToL14473-RA, Vcard_DToL18496-RA, Vcard_DToL06364-RA, Vcard_DToL08293-RA, Vcard_DToL14233-RA, Vcard_DToL10794-RA, Vcard_DToL00803-RA, Vcard_DToL00714-RA, Vcard_DToL16968-RA	JC_14441-RA, JC_12860-RA, JC_08804-RA, JC_15272-RA
OG0000021	Vcard_DToL14989-RA	JC_15264-RA
OG0000021	Vcard_DToL15926-RA	JC_14438-RA, JC_16725-RA
OG0000021	Vcard_DToL14988-RA	JC_01672-RA, JC_14439-RA
OG0000022	Vcard_DToL16722-RA	JC_14602-RA
OG0000024	Vcard_DToL09637-RA, Vcard_DToL09636-RA, Vcard_DToL09641-RA, Vcard_DToL09645-RA, Vcard_DToL09643-RA, Vcard_DToL09633-RA, Vcard_DToL09634-RA, Vcard_DToL09632-RA	JC_07387-RA, JC_07389-RA, JC_07391-RA, JC_07388-RA, JC_07396-RA, JC_07393-RA, JC_07397-RA
OG0000024	Vcard_DToL09635-RA	JC_07385-RA, JC_07394-RA, JC_07392-RA, JC_07390-RA, JC_07398-RA
OG0000024	Vcard_DToL09639-RA, Vcard_DToL09640-RA, Vcard_DToL09642-RA, Vcard_DToL09644-RA	JC_07384-RA, JC_07386-RA
OG0000025	Vcard_DToL17634-RA	JC_16102-RA, JC_16101-RA
