Orthogroup	Vanessa_cardui	Junonia_coenia
OG0001132	Vcard_DToL04923-RA	JC_04560-RA
OG0001132	Vcard_DToL04926-RA	JC_04562-RA
OG0001133	Vcard_DToL08868-RA	JC_03810-RA
OG0001133	Vcard_DToL12928-RA	JC_10684-RA
OG0001134	Vcard_DToL06107-RA	JC_08094-RA
OG0001134	Vcard_DToL06108-RA	JC_08092-RA
OG0001135	Vcard_DToL16469-RA	JC_14345-RA
OG0001137	Vcard_DToL08858-RA	JC_03823-RA
OG0001137	Vcard_DToL08859-RA	JC_03822-RA
OG0001139	Vcard_DToL04940-RA	JC_04574-RA, JC_04573-RA
OG0001140	Vcard_DToL16959-RA	JC_15676-RA
OG0001141	Vcard_DToL13995-RA	JC_13986-RA
OG0001141	Vcard_DToL13994-RA	JC_13984-RA
OG0001142	Vcard_DToL04354-RA	JC_03318-RA, JC_03317-RA
OG0001143	Vcard_DToL08839-RA	JC_03840-RA
OG0001144	Vcard_DToL04942-RA	JC_04576-RA, JC_02778-RA
OG0001145	Vcard_DToL15238-RA	JC_13088-RA
OG0001146	Vcard_DToL18101-RA	JC_16950-RA
OG0001146	Vcard_DToL18104-RA	JC_16951-RA
OG0001147	Vcard_DToL18147-RA	JC_17234-RA
OG0001150	Vcard_DToL04955-RA	JC_04616-RA
OG0001151	Vcard_DToL04964-RA	JC_04621-RA
OG0001152	Vcard_DToL03523-RA	JC_02528-RA
OG0001153	Vcard_DToL16428-RA	JC_14315-RA
OG0001156	Vcard_DToL00319-RA	JC_01993-RA
OG0001157	Vcard_DToL16411-RA	JC_14254-RA
OG0001157	Vcard_DToL16412-RA, Vcard_DToL16413-RA	JC_14253-RA
OG0001158	Vcard_DToL14834-RA	JC_12723-RA
OG0001158	Vcard_DToL14832-RA	JC_12720-RA
OG0001161	Vcard_DToL18601-RA	JC_16508-RA, JC_16507-RA, JC_16510-RA
OG0001162	Vcard_DToL13333-RA	JC_10043-RA
OG0001162	Vcard_DToL13329-RA	JC_10039-RA
OG0001163	Vcard_DToL16395-RA	JC_14269-RA
OG0001165	Vcard_DToL06007-RA	JC_08201-RA
OG0001166	Vcard_DToL03612-RA	JC_02598-RA
OG0001166	Vcard_DToL03607-RA	JC_02595-RA
OG0001167	Vcard_DToL03614-RA	JC_02601-RA
OG0001168	Vcard_DToL14813-RA	JC_12310-RA
OG0001169	Vcard_DToL17499-RA	JC_15889-RA, JC_15888-RA
OG0001169	Vcard_DToL17501-RA	JC_15891-RA
OG0001170	Vcard_DToL10497-RA	JC_06446-RA, JC_06447-RA
OG0001170	Vcard_DToL10496-RA	JC_06449-RA
OG0001171	Vcard_DToL09859-RA	JC_05985-RA
OG0001172	Vcard_DToL15334-RA	JC_13168-RA
OG0001172	Vcard_DToL15330-RA	JC_13167-RA
OG0001173	Vcard_DToL16136-RA	JC_14815-RA
OG0001173	Vcard_DToL16137-RA	JC_14814-RA
OG0001174	Vcard_DToL16514-RA, Vcard_DToL11289-RA	JC_11457-RA
OG0001174	Vcard_DToL11288-RA	JC_11456-RA
OG0001175	Vcard_DToL14796-RA	JC_12324-RA
OG0001176	Vcard_DToL05038-RA	JC_04691-RA
OG0001178	Vcard_DToL16157-RA	JC_14797-RA
OG0001179	Vcard_DToL07308-RA	JC_08876-RA, JC_08875-RA
OG0001180	Vcard_DToL02129-RA	JC_00530-RA
OG0001180	Vcard_DToL02130-RA	JC_17217-RA
OG0001181	Vcard_DToL16327-RA	JC_14207-RA
OG0001182	Vcard_DToL10139-RA	JC_05753-RA
OG0001183	Vcard_DToL02875-RA	JC_05343-RA
OG0001184	Vcard_DToL12793-RA	JC_10779-RA
OG0001185	Vcard_DToL00411-RA	JC_02130-RA
OG0001185	Vcard_DToL00412-RA	JC_02129-RA
OG0001186	Vcard_DToL01569-RA	JC_01173-RA
OG0001188	Vcard_DToL11966-RA	JC_07164-RA
OG0001189	Vcard_DToL12802-RA	JC_10763-RA, JC_10764-RA
OG0001190	Vcard_DToL04711-RA	JC_03002-RA, JC_03003-RA
OG0001191	Vcard_DToL07856-RA	JC_12127-RA, JC_12129-RA
OG0001192	Vcard_DToL02165-RA	JC_00506-RA, JC_00505-RA
OG0001193	Vcard_DToL17075-RA, Vcard_DToL17074-RA	JC_15774-RA
OG0001194	Vcard_DToL15377-RA	JC_13215-RA
OG0001195	Vcard_DToL11061-RA	JC_13833-RA, JC_05933-RA
OG0001196	Vcard_DToL08632-RA	JC_04059-RA
OG0001197	Vcard_DToL01614-RA	JC_01213-RA
OG0001198	Vcard_DToL12721-RA	JC_10841-RA
OG0001199	Vcard_DToL12716-RA	JC_10844-RA
OG0001199	Vcard_DToL12718-RA	JC_10843-RA
OG0001200	Vcard_DToL09806-RA	JC_05915-RA
OG0001200	Vcard_DToL09808-RA	JC_05916-RA
OG0001201	Vcard_DToL01282-RA	JC_01228-RA
OG0001202	Vcard_DToL07801-RA	JC_12032-RA
OG0001203	Vcard_DToL14211-RA, Vcard_DToL14212-RA	JC_13823-RA
OG0001204	Vcard_DToL17301-RA	JC_15314-RA
OG0001204	Vcard_DToL17302-RA	JC_15315-RA
OG0001205	Vcard_DToL11990-RA	JC_07143-RA
OG0001205	Vcard_DToL11991-RA	JC_07141-RA
OG0001206	Vcard_DToL05849-RA	JC_08309-RA
OG0001206	Vcard_DToL05848-RA	JC_08310-RA
OG0001207	Vcard_DToL08580-RA	JC_04108-RA
OG0001207	Vcard_DToL08579-RA	JC_04109-RA
OG0001208	Vcard_DToL03727-RA	JC_02712-RA
OG0001208	Vcard_DToL03726-RA	JC_02715-RA
OG0001209	Vcard_DToL01249-RA	JC_01256-RA
OG0001209	Vcard_DToL01248-RA	JC_01257-RA
OG0001210	Vcard_DToL04398-RA	JC_03273-RA
OG0001211	Vcard_DToL14431-RA, Vcard_DToL14432-RA	JC_12285-RA
OG0001213	Vcard_DToL04415-RA	JC_03260-RA
OG0001213	Vcard_DToL04413-RA	JC_03261-RA
OG0001214	Vcard_DToL15414-RA	JC_13262-RA
OG0001215	Vcard_DToL16181-RA	JC_14765-RA
OG0001216	Vcard_DToL09315-RA	JC_07681-RA
OG0001217	Vcard_DToL17327-RA	JC_15240-RA
OG0001218	Vcard_DToL14419-RA	JC_12295-RA, JC_12296-RA, JC_12294-RA
OG0001219	Vcard_DToL02308-RA	JC_00372-RA
OG0001220	Vcard_DToL07784-RA	JC_12012-RA
OG0001221	Vcard_DToL11086-RA	JC_11262-RA
OG0001222	Vcard_DToL03014-RA	JC_05225-RA
OG0001223	Vcard_DToL02301-RA	JC_00378-RA
OG0001223	Vcard_DToL02300-RA	JC_00380-RA
OG0001224	Vcard_DToL13760-RA	JC_10406-RA
OG0001224	Vcard_DToL13762-RA	JC_10407-RA
OG0001225	Vcard_DToL13757-RA	JC_10404-RA
OG0001225	Vcard_DToL13755-RA	JC_10403-RA
OG0001226	Vcard_DToL02259-RA	JC_00419-RA
OG0001226	Vcard_DToL02269-RA	JC_00413-RA
OG0001227	Vcard_DToL09272-RA	JC_07717-RA
OG0001227	Vcard_DToL09271-RA	JC_07718-RA
OG0001228	Vcard_DToL14378-RA	JC_12648-RA
OG0001228	Vcard_DToL14377-RA, Vcard_DToL14375-RA	JC_12646-RA
OG0001230	Vcard_DToL14284-RA	JC_13793-RA
OG0001230	Vcard_DToL14291-RA	JC_13794-RA
OG0001231	Vcard_DToL04476-RA, Vcard_DToL04477-RA	JC_03218-RA
OG0001231	Vcard_DToL04475-RA	JC_03219-RA
OG0001232	Vcard_DToL12600-RA	JC_10954-RA
OG0001233	Vcard_DToL14296-RA	JC_13798-RA
OG0001233	Vcard_DToL14295-RA	JC_13797-RA
OG0001234	Vcard_DToL05742-RA	JC_08403-RA
OG0001235	Vcard_DToL12155-RA	JC_07013-RA
OG0001236	Vcard_DToL12145-RA	JC_07022-RA
OG0001236	Vcard_DToL12142-RA	JC_07024-RA
OG0001237	Vcard_DToL02401-RA	JC_00286-RA
OG0001238	Vcard_DToL15615-RA	JC_13559-RA
OG0001238	Vcard_DToL15616-RA	JC_13560-RA
OG0001239	Vcard_DToL15613-RA	JC_13556-RA
OG0001240	Vcard_DToL01438-RA, Vcard_DToL01440-RA	JC_01076-RA
OG0001241	Vcard_DToL02421-RA	JC_00273-RA
OG0001242	Vcard_DToL05669-RA, Vcard_DToL05667-RA	JC_08470-RA, JC_08469-RA, JC_08468-RA, JC_08467-RA
OG0001243	Vcard_DToL08219-RA	JC_11759-RA
OG0001244	Vcard_DToL11910-RA	JC_07208-RA
OG0001244	Vcard_DToL11911-RA	JC_07207-RA
OG0001245	Vcard_DToL10064-RA, Vcard_DToL10065-RA	JC_05840-RA
OG0001246	Vcard_DToL09195-RA	JC_07792-RA
OG0001246	Vcard_DToL09192-RA, Vcard_DToL09193-RA	JC_07793-RA
OG0001247	Vcard_DToL15695-RA	JC_13533-RA
OG0001248	Vcard_DToL10304-RA	JC_06602-RA
OG0001248	Vcard_DToL10305-RA	JC_06601-RA
OG0001249	Vcard_DToL13785-RA	JC_10425-RA
OG0001250	Vcard_DToL05310-RA	JC_04958-RA
OG0001252	Vcard_DToL17850-RA	JC_17076-RA
OG0001253	Vcard_DToL05643-RA	JC_08491-RA
OG0001253	Vcard_DToL05642-RA	JC_08492-RA
OG0001254	Vcard_DToL13769-RA	JC_10411-RA
OG0001254	Vcard_DToL13770-RA	JC_10413-RA, JC_10414-RA
OG0001255	Vcard_DToL00604-RA	JC_01811-RA
OG0001256	Vcard_DToL06973-RA	JC_09238-RA
OG0001256	Vcard_DToL06976-RA	JC_09235-RA
OG0001257	Vcard_DToL12518-RA	JC_11012-RA
OG0001257	Vcard_DToL12519-RA	JC_11013-RA
OG0001258	Vcard_DToL08143-RA, Vcard_DToL08142-RA	JC_11836-RA
OG0001260	Vcard_DToL08131-RA	JC_11841-RA
OG0001261	Vcard_DToL07006-RA	JC_09212-RA
OG0001261	Vcard_DToL07007-RA	JC_09211-RA
OG0001262	Vcard_DToL03885-RA	JC_02836-RA
OG0001263	Vcard_DToL04653-RA	JC_03054-RA
OG0001264	Vcard_DToL15768-RA	JC_13467-RA
OG0001266	Vcard_DToL15784-RA	JC_13456-RA, JC_13455-RA
OG0001267	Vcard_DToL15787-RA	JC_13453-RA
OG0001269	Vcard_DToL01303-RA	JC_00930-RA
OG0001269	Vcard_DToL01304-RA	JC_00931-RA
OG0001270	Vcard_DToL02619-RA	JC_00104-RA
OG0001270	Vcard_DToL02621-RA	JC_00103-RA
OG0001271	Vcard_DToL04704-RA	JC_03009-RA
OG0001271	Vcard_DToL04702-RA	JC_03013-RA, JC_03014-RA, JC_03012-RA
OG0001272	Vcard_DToL15815-RA	JC_13421-RA
OG0001273	Vcard_DToL01317-RA	JC_00953-RA
OG0001274	Vcard_DToL02638-RA	JC_00087-RA
OG0001275	Vcard_DToL15821-RA	JC_13407-RA
OG0001275	Vcard_DToL15819-RA	JC_13409-RA
OG0001276	Vcard_DToL05509-RA	JC_08593-RA
OG0001277	Vcard_DToL08011-RA	JC_11593-RA
OG0001277	Vcard_DToL08012-RA	JC_11596-RA
OG0001278	Vcard_DToL03936-RA	JC_02783-RA
OG0001279	Vcard_DToL00624-RA	JC_01683-RA
OG0001280	Vcard_DToL08039-RA	JC_11623-RA
OG0001281	Vcard_DToL05558-RA, Vcard_DToL05559-RA	JC_08560-RA
OG0001282	Vcard_DToL15863-RA	JC_13356-RA
OG0001283	Vcard_DToL15878-RA	JC_13349-RA
OG0001283	Vcard_DToL15881-RA	JC_13350-RA
OG0001284	Vcard_DToL15873-RA	JC_13347-RA
OG0001284	Vcard_DToL15874-RA	JC_13348-RA
OG0001285	Vcard_DToL00671-RA	JC_01769-RA
OG0001286	Vcard_DToL02812-RA	JC_05147-RA
OG0001286	Vcard_DToL02814-RA, Vcard_DToL02813-RA	JC_05148-RA, JC_05150-RA, JC_05149-RA
OG0001287	Vcard_DToL18793-RA	JC_16637-RA
OG0001289	Vcard_DToL04086-RA	JC_03576-RA
OG0001291	Vcard_DToL03423-RA	JC_02318-RA
OG0001302	Vcard_DToL17905-RA	JC_17054-RA
OG0001303	Vcard_DToL11306-RA	JC_11476-RA
OG0001304	Vcard_DToL11309-RA	JC_11478-RA
OG0001304	Vcard_DToL11307-RA	JC_11477-RA
OG0001305	Vcard_DToL04869-RA	JC_04416-RA
OG0001306	Vcard_DToL03008-RA	JC_05230-RA, JC_05232-RA, JC_05231-RA
OG0001308	Vcard_DToL15295-RA	JC_13129-RA
OG0001310	Vcard_DToL17892-RA	JC_17043-RA, JC_17044-RA
OG0001311	Vcard_DToL09685-RA, Vcard_DToL09686-RA	JC_07353-RA
OG0001312	Vcard_DToL18492-RA	JC_16173-RA
OG0001315	Vcard_DToL14112-RA	JC_14046-RA
OG0001316	Vcard_DToL15303-RA, Vcard_DToL15302-RA	JC_13134-RA
OG0001318	Vcard_DToL15984-RA, Vcard_DToL15983-RA	JC_14970-RA
OG0001319	Vcard_DToL07164-RA	JC_08668-RA
OG0001320	Vcard_DToL12474-RA	JC_06696-RA
OG0001321	Vcard_DToL18342-RA	JC_16215-RA
OG0001322	Vcard_DToL18339-RA	JC_16216-RA
OG0001323	Vcard_DToL17809-RA	JC_17178-RA
OG0001324	Vcard_DToL11322-RA	JC_11487-RA
OG0001325	Vcard_DToL00125-RA	JC_01899-RA
OG0001326	Vcard_DToL03069-RA	JC_05575-RA, JC_05577-RA, JC_05576-RA
OG0001327	Vcard_DToL16482-RA	JC_14357-RA
OG0001327	Vcard_DToL16481-RA	JC_14356-RA
OG0001328	Vcard_DToL16491-RA	JC_14358-RA
OG0001329	Vcard_DToL12470-RA	JC_06701-RA
OG0001330	Vcard_DToL15891-RA	JC_15054-RA
OG0001331	Vcard_DToL11328-RA, Vcard_DToL11331-RA, Vcard_DToL11332-RA	JC_11496-RA
OG0001332	Vcard_DToL03321-RA, Vcard_DToL03320-RA	JC_02405-RA
OG0001332	Vcard_DToL03360-RA	JC_02364-RA
OG0001333	Vcard_DToL14108-RA	JC_14052-RA
OG0001334	Vcard_DToL16731-RA	JC_14615-RA, JC_14614-RA
OG0001335	Vcard_DToL09719-RA	JC_07327-RA
OG0001337	Vcard_DToL18436-RA	JC_16227-RA
OG0001338	Vcard_DToL17502-RA	JC_15892-RA
OG0001339	Vcard_DToL14092-RA	JC_14061-RA
OG0001339	Vcard_DToL14094-RA	JC_14059-RA
OG0001341	Vcard_DToL17793-RA	JC_17161-RA
OG0001342	Vcard_DToL16795-RA	JC_15547-RA
OG0001343	Vcard_DToL15147-RA, Vcard_DToL15148-RA	JC_13012-RA
OG0001344	Vcard_DToL18544-RA	JC_16198-RA
OG0001345	Vcard_DToL01877-RA	JC_00712-RA
OG0001346	Vcard_DToL06293-RA, Vcard_DToL06285-RA, Vcard_DToL06287-RA, Vcard_DToL06294-RA	JC_07944-RA
OG0001347	Vcard_DToL12436-RA	JC_06764-RA
OG0001347	Vcard_DToL12437-RA	JC_06765-RA
OG0001348	Vcard_DToL15912-RA	JC_15034-RA, JC_15035-RA
OG0001349	Vcard_DToL15914-RA	JC_15032-RA
OG0001349	Vcard_DToL15913-RA	JC_15033-RA
OG0001350	Vcard_DToL16245-RA	JC_14670-RA
OG0001352	Vcard_DToL14918-RA	JC_12799-RA
OG0001353	Vcard_DToL17826-RA	JC_17095-RA
OG0001354	Vcard_DToL17835-RA	JC_17103-RA
OG0001355	Vcard_DToL14839-RA	JC_12726-RA, JC_12728-RA, JC_12730-RA, JC_12729-RA
OG0001356	Vcard_DToL13705-RA	JC_10364-RA
OG0001356	Vcard_DToL13707-RA	JC_10365-RA
OG0001358	Vcard_DToL01810-RA	JC_00761-RA
OG0001358	Vcard_DToL01811-RA	JC_00760-RA
OG0001360	Vcard_DToL18419-RA	JC_16243-RA
OG0001360	Vcard_DToL18418-RA	JC_16261-RA
OG0001361	Vcard_DToL03381-RA	JC_02346-RA
OG0001362	Vcard_DToL07142-RA	JC_08689-RA
OG0001362	Vcard_DToL07139-RA	JC_08690-RA
OG0001363	Vcard_DToL16511-RA, Vcard_DToL16513-RA	JC_14381-RA
OG0001364	Vcard_DToL17729-RA	JC_15992-RA
OG0001364	Vcard_DToL17730-RA	JC_15991-RA
OG0001365	Vcard_DToL09017-RA	JC_03687-RA
OG0001365	Vcard_DToL09016-RA	JC_03688-RA
OG0001366	Vcard_DToL00065-RA	JC_02257-RA
OG0001367	Vcard_DToL01789-RA	JC_00780-RA, JC_00778-RA
OG0001368	Vcard_DToL00069-RA	JC_02255-RA
OG0001368	Vcard_DToL00071-RA	JC_02254-RA
OG0001369	Vcard_DToL04804-RA	JC_04492-RA
OG0001369	Vcard_DToL04802-RA	JC_04494-RA
OG0001370	Vcard_DToL16062-RA	JC_14880-RA
OG0001371	Vcard_DToL07120-RA	JC_08697-RA
OG0001371	Vcard_DToL07123-RA	JC_08696-RA
OG0001372	Vcard_DToL13008-RA	JC_10570-RA
OG0001373	Vcard_DToL01897-RA	JC_00698-RA
OG0001374	Vcard_DToL00891-RA	JC_01549-RA
OG0001375	Vcard_DToL01782-RA	JC_00793-RA
OG0001376	Vcard_DToL01774-RA	JC_00797-RA
OG0001376	Vcard_DToL06191-RA	JC_08023-RA
OG0001377	Vcard_DToL13871-RA	JC_14129-RA
OG0001378	Vcard_DToL14185-RA	JC_13847-RA
OG0001379	Vcard_DToL01766-RA	JC_17199-RA, JC_17198-RA
OG0001380	Vcard_DToL00015-RA	JC_02303-RA
OG0001381	Vcard_DToL17779-RA	JC_17138-RA, JC_17139-RA
OG0001382	Vcard_DToL12993-RA	JC_10585-RA
OG0001383	Vcard_DToL03408-RA	JC_02328-RA
OG0001383	Vcard_DToL03406-RA	JC_02329-RA
OG0001384	Vcard_DToL18791-RA	JC_16640-RA
OG0001385	Vcard_DToL07096-RA, Vcard_DToL07094-RA	JC_08718-RA
OG0001386	Vcard_DToL04109-RA	JC_03598-RA
OG0001387	Vcard_DToL08983-RA	JC_03712-RA
OG0001388	Vcard_DToL04104-RA	JC_03593-RA
OG0001390	Vcard_DToL08971-RA	JC_03723-RA
OG0001390	Vcard_DToL08973-RA	JC_03722-RA
OG0001391	Vcard_DToL06412-RA, Vcard_DToL06414-RA	JC_09793-RA, JC_09791-RA
OG0001391	Vcard_DToL06413-RA	JC_09792-RA
OG0001392	Vcard_DToL16624-RA	JC_14465-RA
OG0001393	Vcard_DToL04779-RA	JC_04924-RA
OG0001393	Vcard_DToL04785-RA	JC_04523-RA
OG0001394	Vcard_DToL03172-RA	JC_05475-RA
OG0001395	Vcard_DToL13829-RA	JC_14161-RA
OG0001395	Vcard_DToL13830-RA	JC_14160-RA
OG0001396	Vcard_DToL17683-RA	JC_16042-RA
OG0001397	Vcard_DToL18760-RA	JC_16762-RA, JC_17225-RA, JC_17224-RA
OG0001398	Vcard_DToL16045-RA	JC_14897-RA
OG0001399	Vcard_DToL18314-RA	JC_16304-RA, JC_16303-RA
OG0001400	Vcard_DToL14554-RA	JC_12524-RA
OG0001401	Vcard_DToL10749-RA	JC_06187-RA
OG0001405	Vcard_DToL16111-RA	JC_14838-RA
OG0001406	Vcard_DToL09591-RA	JC_07508-RA
OG0001406	Vcard_DToL09592-RA	JC_07509-RA
OG0001407	Vcard_DToL18305-RA	JC_16366-RA
OG0001407	Vcard_DToL18304-RA	JC_16365-RA
OG0001408	Vcard_DToL18841-RA	JC_16671-RA
OG0001409	Vcard_DToL03995-RA	JC_03509-RA
OG0001410	Vcard_DToL14596-RA	JC_12483-RA
OG0001412	Vcard_DToL12849-RA	JC_10722-RA
OG0001412	Vcard_DToL12850-RA	JC_10721-RA
OG0001413	Vcard_DToL06892-RA	JC_09659-RA
OG0001414	Vcard_DToL17974-RA	JC_17083-RA
OG0001415	Vcard_DToL04893-RA	JC_04383-RA
OG0001416	Vcard_DToL18567-RA	JC_16470-RA
OG0001417	Vcard_DToL13469-RA, Vcard_DToL13468-RA	JC_10152-RA
OG0001418	Vcard_DToL00996-RA	JC_01476-RA
OG0001419	Vcard_DToL00999-RA	JC_01471-RA
OG0001421	Vcard_DToL14969-RA	JC_12853-RA
OG0001422	Vcard_DToL14016-RA	JC_14008-RA
OG0001423	Vcard_DToL10568-RA	JC_06382-RA
OG0001424	Vcard_DToL00079-RA	JC_02249-RA
OG0001424	Vcard_DToL00077-RA	JC_02251-RA
OG0001426	Vcard_DToL07669-RA	JC_12134-RA
OG0001427	Vcard_DToL06613-RA	JC_09592-RA, JC_09591-RA, JC_09590-RA
OG0001428	Vcard_DToL00085-RA	JC_02244-RA
OG0001429	Vcard_DToL03500-RA	JC_02508-RA
OG0001430	Vcard_DToL15247-RA	JC_13093-RA
OG0001431	Vcard_DToL17562-RA	JC_15950-RA
OG0001432	Vcard_DToL00179-RA	JC_01948-RA, JC_01949-RA
OG0001433	Vcard_DToL15617-RA	JC_13570-RA, JC_13562-RA
OG0001434	Vcard_DToL13431-RA, Vcard_DToL13429-RA	JC_10120-RA
OG0001435	Vcard_DToL08845-RA	JC_03834-RA
OG0001436	Vcard_DToL17556-RA	JC_15947-RA
OG0001436	Vcard_DToL17557-RA	JC_15948-RA
OG0001437	Vcard_DToL06635-RA	JC_09566-RA
OG0001438	Vcard_DToL08591-RA	JC_04097-RA, JC_04095-RA, JC_04098-RA, JC_04099-RA
OG0001439	Vcard_DToL04947-RA	JC_04581-RA
OG0001440	Vcard_DToL14880-RA, Vcard_DToL14879-RA	JC_12763-RA
OG0001441	Vcard_DToL04229-RA	JC_03432-RA
OG0001442	Vcard_DToL09535-RA	JC_07446-RA
OG0001443	Vcard_DToL01109-RA, Vcard_DToL01108-RA	JC_01375-RA
OG0001443	Vcard_DToL01106-RA	JC_01386-RA
OG0001445	Vcard_DToL18139-RA	JC_16997-RA
OG0001446	Vcard_DToL12205-RA	JC_06972-RA, JC_06973-RA
OG0001447	Vcard_DToL04970-RA	JC_04628-RA
OG0001448	Vcard_DToL15202-RA	JC_13061-RA
OG0001449	Vcard_DToL06535-RA	JC_09535-RA
OG0001450	Vcard_DToL13377-RA	JC_10074-RA
OG0001451	Vcard_DToL04223-RA	JC_03436-RA
OG0001452	Vcard_DToL13362-RA	JC_10059-RA
OG0001452	Vcard_DToL13359-RA	JC_10058-RA
OG0001454	Vcard_DToL15185-RA	JC_13046-RA
OG0001455	Vcard_DToL03554-RA	JC_02553-RA, JC_02552-RA
OG0001456	Vcard_DToL12239-RA	JC_06948-RA
OG0001457	Vcard_DToL02036-RA	JC_00602-RA
OG0001458	Vcard_DToL12241-RA	JC_06947-RA
OG0001459	Vcard_DToL12244-RA	JC_06944-RA
OG0001460	Vcard_DToL00297-RA	JC_02010-RA
OG0001462	Vcard_DToL06513-RA, Vcard_DToL06512-RA	JC_09519-RA
OG0001463	Vcard_DToL12915-RA, Vcard_DToL12916-RA	JC_10676-RA
OG0001463	Vcard_DToL12914-RA	JC_10674-RA
OG0001464	Vcard_DToL08795-RA	JC_03881-RA
OG0001465	Vcard_DToL12920-RA	JC_10679-RA
OG0001467	Vcard_DToL17466-RA, Vcard_DToL17465-RA	JC_15869-RA, JC_15868-RA
OG0001468	Vcard_DToL13968-RA	JC_13959-RA
OG0001469	Vcard_DToL12933-RA	JC_10688-RA
OG0001469	Vcard_DToL12934-RA	JC_10690-RA
OG0001470	Vcard_DToL12117-RA	JC_07040-RA
OG0001471	Vcard_DToL03591-RA, Vcard_DToL03590-RA	JC_02583-RA
OG0001472	Vcard_DToL06502-RA	JC_09506-RA
OG0001473	Vcard_DToL18090-RA	JC_16931-RA
OG0001473	Vcard_DToL18089-RA	JC_16930-RA
OG0001474	Vcard_DToL17493-RA	JC_15883-RA
OG0001475	Vcard_DToL13950-RA	JC_13942-RA
OG0001476	Vcard_DToL17495-RA	JC_15884-RA
OG0001478	Vcard_DToL05012-RA	JC_04664-RA
OG0001479	Vcard_DToL01519-RA	JC_01131-RA
OG0001480	Vcard_DToL12741-RA	JC_10826-RA
OG0001481	Vcard_DToL14805-RA	JC_12315-RA, JC_12316-RA
OG0001482	Vcard_DToL16374-RA	JC_14287-RA
OG0001482	Vcard_DToL16373-RA	JC_14288-RA
OG0001483	Vcard_DToL02077-RA, Vcard_DToL02075-RA	JC_00567-RA
OG0001484	Vcard_DToL11297-RA, Vcard_DToL11295-RA	JC_11468-RA
OG0001486	Vcard_DToL10483-RA	JC_06468-RA, JC_06467-RA
OG0001487	Vcard_DToL06866-RA	JC_09482-RA
OG0001487	Vcard_DToL06867-RA	JC_09481-RA
OG0001490	Vcard_DToL17003-RA	JC_15721-RA
OG0001492	Vcard_DToL00233-RA	JC_02060-RA
OG0001494	Vcard_DToL14141-RA	JC_13899-RA
OG0001494	Vcard_DToL14143-RA	JC_13900-RA
OG0001495	Vcard_DToL15360-RA	JC_13203-RA
OG0001498	Vcard_DToL11962-RA	JC_07167-RA
OG0001499	Vcard_DToL14467-RA	JC_12253-RA, JC_12252-RA
OG0001500	Vcard_DToL09827-RA	JC_05946-RA, JC_05945-RA
OG0001501	Vcard_DToL16298-RA	JC_14184-RA
OG0001501	Vcard_DToL16296-RA	JC_14182-RA
OG0001502	Vcard_DToL09420-RA	JC_07592-RA
OG0001503	Vcard_DToL07844-RA	JC_12113-RA, JC_12114-RA
OG0001505	Vcard_DToL01576-RA	JC_01179-RA
OG0001506	Vcard_DToL14469-RA	JC_12248-RA
OG0001507	Vcard_DToL15367-RA	JC_13207-RA
OG0001508	Vcard_DToL05107-RA	JC_04758-RA
OG0001509	Vcard_DToL01578-RA	JC_01182-RA
OG0001511	Vcard_DToL01580-RA, Vcard_DToL01581-RA	JC_01183-RA
OG0001512	Vcard_DToL04336-RA	JC_03334-RA
OG0001513	Vcard_DToL16220-RA	JC_14719-RA
OG0001514	Vcard_DToL02938-RA	JC_05308-RA
OG0001515	Vcard_DToL01607-RA	JC_01204-RA
OG0001515	Vcard_DToL01605-RA	JC_01206-RA
OG0001516	Vcard_DToL11984-RA	JC_07152-RA
OG0001517	Vcard_DToL14477-RA	JC_12605-RA
OG0001519	Vcard_DToL02942-RA	JC_05305-RA
OG0001520	Vcard_DToL07900-RA, Vcard_DToL07899-RA	JC_11924-RA
OG0001521	Vcard_DToL07903-RA	JC_11927-RA
OG0001522	Vcard_DToL05882-RA	JC_08287-RA
OG0001523	Vcard_DToL01292-RA	JC_01217-RA
OG0001524	Vcard_DToL14501-RA	JC_12565-RA
OG0001525	Vcard_DToL07366-RA, Vcard_DToL07365-RA	JC_08830-RA
OG0001526	Vcard_DToL09797-RA	JC_05905-RA, JC_05907-RA, JC_05909-RA, JC_05906-RA
OG0001528	Vcard_DToL05349-RA	JC_04916-RA
OG0001529	Vcard_DToL15383-RA	JC_13222-RA
OG0001530	Vcard_DToL02295-RA	JC_00383-RA
OG0001531	Vcard_DToL17044-RA	JC_15749-RA
OG0001532	Vcard_DToL07918-RA	JC_11949-RA
OG0001534	Vcard_DToL11037-RA	JC_11225-RA
OG0001535	Vcard_DToL01261-RA	JC_01246-RA
OG0001536	Vcard_DToL06720-RA	JC_09406-RA
OG0001537	Vcard_DToL00424-RA	JC_02137-RA
OG0001538	Vcard_DToL05362-RA	JC_04902-RA
OG0001538	Vcard_DToL05359-RA	JC_04904-RA
OG0001539	Vcard_DToL02363-RA	JC_00319-RA
OG0001540	Vcard_DToL03711-RA	JC_02694-RA
OG0001541	Vcard_DToL04389-RA	JC_03281-RA
OG0001542	Vcard_DToL16209-RA	JC_14737-RA, JC_14736-RA
OG0001542	Vcard_DToL16210-RA	JC_14735-RA
OG0001543	Vcard_DToL07984-RA	JC_11972-RA
OG0001543	Vcard_DToL07985-RA	JC_11971-RA
OG0001544	Vcard_DToL04391-RA	JC_03279-RA
OG0001546	Vcard_DToL11992-RA	JC_07140-RA
