Orthogroup	Heliconius_melpomene_melpomene	Heliconius_erato_lativitta
OG0000016	HMEL036078g1.t1, HMEL007253g1.t1, HMEL033724g1.t1, HMEL034494g1.t1, HMEL037439g1.t1, HMEL037530g1.t1, HMEL031386g1.t1, HMEL036629g1.t1, HMEL033594g1.t1, HMEL034497g1.t1, HMEL033096g1.t1, HMEL030332g1.t1, HMEL030306g1.t1, HMEL037906g1.t1, HMEL033723g1.t1, HMEL036459g1.t1, HMEL034615g1.t1, HMEL030333g1.t1, HMEL035684g1.t1, HMEL034719g1.t1, HMEL032180g1.t1, HMEL034891g1.t1, HMEL034564g1.t1, HMEL033196g1.t1, HMEL034625g1.t1, HMEL030071g1.t1, HMEL037772g1.t1, HMEL030907g1.t1, HMEL031166g1.t1, HMEL034532g1.t1, HMEL035844g1.t1, HMEL031709g1.t1, HMEL017866g1.t1, HMEL036000g1.t1, HMEL035624g1.t1	HEL_001996-RA
OG0000017	HMEL035047g1.t1	HEL_005435-RA, HEL_005434-RA
OG0000018	HMEL030430g1.t1	HEL_002556-RA
OG0000018	HMEL016357g1.t1	HEL_002557-RA
OG0000018	HMEL030844g1.t1	HEL_002871-RA
OG0000018	HMEL014640g1.t1, HMEL004900g1.t1, HMEL008140g1.t1, HMEL020142g1.t1	HEL_002559-RA
OG0000022	HMEL030997g1.t1	HEL_013117-RA
OG0000022	HMEL006280g1.t1, HMEL002897g1.t1	HEL_012949-RA
OG0000022	HMEL034470g1.t1	HEL_003385-RA, HEL_004628-RA, HEL_013111-RA, HEL_003381-RA, HEL_013019-RA
OG0000022	HMEL031458g1.t1	HEL_003384-RA
OG0000022	HMEL031459g1.t1	HEL_013943-RA, HEL_003380-RA, HEL_013112-RA
OG0000024	HMEL012613g1.t1	HEL_003523-RA
OG0000024	HMEL012615g1.t1	HEL_003520-RA
OG0000024	HMEL002645g1.t1	HEL_010574-RA, HEL_010573-RA
OG0000024	HMEL031519g1.t1, HMEL010269g1.t1, HMEL010266g1.t1	HEL_003510-RA
OG0000024	HMEL012607g1.t1	HEL_003524-RA
OG0000024	HMEL010265g1.t1, HMEL012609g1.t1	HEL_003511-RA
OG0000024	HMEL010268g1.t1	HEL_003525-RA, HEL_003526-RA, HEL_003527-RA
OG0000025	HMEL037385g1.t1	HEL_011368-RA, HEL_011371-RA, HEL_011367-RA, HEL_011372-RA
OG0000025	HMEL037372g1.t1, HMEL011166g1.t1	HEL_011319-RA
OG0000028	HMEL004610g1.t1	HEL_011818-RA
OG0000028	HMEL014440g1.t1	HEL_011811-RA
OG0000029	HMEL009240g1.t1, HMEL009236g1.t1, HMEL002341g1.t1	HEL_008273-RA, HEL_008263-RA, HEL_008261-RA, HEL_008267-RA
OG0000029	HMEL002573g1.t1	HEL_008258-RA
OG0000029	HMEL003326g1.t1	HEL_001272-RA
