Orthogroup	Heliconius_melpomene_melpomene	Heliconius_erato_lativitta
OG0000926	HMEL003970g1.t1, HMEL035785g1.t1	HEL_012108-RA
OG0000927	HMEL011907g1.t1	HEL_010697-RA
OG0000928	HMEL011873g1.t1	HEL_006031-RA
OG0000930	HMEL002658g1.t1	HEL_006183-RA
OG0000931	HMEL011806g1.t1	HEL_000372-RA
OG0000931	HMEL032196g1.t1	HEL_000373-RA
OG0000933	HMEL016930-RA	HEL_010952-RA
OG0000933	HMEL005404g1.t1	HEL_013305-RA
OG0000934	HMEL037403g1.t1	HEL_000558-RA
OG0000934	HMEL010312g1.t1	HEL_000559-RA
OG0000935	HMEL010831g1.t1	HEL_007376-RA, HEL_007377-RA
OG0000936	HMEL008615g1.t1	HEL_009325-RA
OG0000937	HMEL007184g1.t1	HEL_013920-RA
OG0000938	HMEL034328g1.t1	HEL_013985-RA
OG0000939	HMEL015746g1.t1	HEL_013982-RA
OG0000940	HMEL007898g1.t1	HEL_000892-RA
OG0000941	HMEL037227g1.t1	HEL_012983-RA, HEL_012984-RA
OG0000942	HMEL009325g1.t1	HEL_000597-RA
OG0000943	HMEL008478g1.t1	HEL_002012-RA
OG0000945	HMEL009182g1.t1	HEL_006651-RA
OG0000946	HMEL008925g1.t1	HEL_005832-RA
OG0000947	HMEL005231g1.t1	HEL_013683-RA
OG0000948	HMEL006697g1.t1	HEL_002918-RA, HEL_002917-RA
OG0000949	HMEL006699g1.t1	HEL_002915-RA
OG0000950	HMEL002986g1.t1	HEL_010293-RA, HEL_010292-RA
OG0000950	HMEL032948g1.t1	HEL_010291-RA
OG0000951	HMEL003256-RA	HEL_005641-RA
OG0000952	HMEL017594g1.t1	HEL_012122-RA
OG0000953	HMEL005483g1.t1	HEL_000871-RA
OG0000954	HMEL031158g1.t1	HEL_001558-RA
OG0000955	HMEL022201g1.t1	HEL_010881-RA
OG0000955	HMEL031903g1.t1	HEL_010880-RA
OG0000956	HMEL011005g1.t1	HEL_004792-RA
OG0000957	HMEL037938g1.t1	HEL_013806-RA
OG0000957	HMEL037939g1.t1	HEL_013809-RA
OG0000958	HMEL014235g1.t1, HMEL014233g1.t1	HEL_013656-RA
OG0000959	HMEL013929g1.t1	HEL_004688-RA
OG0000960	HMEL005074g1.t1	HEL_012474-RA
OG0000961	HMEL011579g1.t1	HEL_007854-RA, HEL_007852-RA
OG0000962	HMEL017977g1.t1	HEL_004764-RA
OG0000964	HMEL008303g1.t1	HEL_014411-RA
OG0000964	HMEL033246g1.t1	HEL_009866-RA
OG0000965	HMEL016872g1.t1	HEL_009567-RA
OG0000967	HMEL016885g1.t1	HEL_009551-RA
OG0000967	HMEL034665g1.t1	HEL_009552-RA
OG0000968	HMEL015666g1.t1	HEL_006003-RA
OG0000968	HMEL015667g1.t1	HEL_006002-RA
OG0000969	HMEL016887g1.t1	HEL_009550-RA
OG0000970	HMEL016780g1.t1	HEL_006109-RA
OG0000970	HMEL016790g1.t1	HEL_006102-RA
OG0000971	HMEL032606g1.t1, HMEL032607g1.t1, HMEL014608g1.t1	HEL_012774-RA
OG0000972	HMEL038014g1.t1	HEL_003733-RA, HEL_003730-RA, HEL_003726-RA, HEL_003732-RA, HEL_003728-RA, HEL_003731-RA
OG0000973	HMEL018073g1.t1	HEL_006954-RA
OG0000974	HMEL002092g1.t1	HEL_007474-RA
OG0000975	HMEL012706g1.t1	HEL_010757-RA
OG0000977	HMEL003600g1.t1, HMEL034177g1.t1	HEL_005535-RA, HEL_005536-RA, HEL_005537-RA
OG0000979	HMEL022555-RA	HEL_010753-RA
OG0000980	HMEL013123g1.t1	HEL_009522-RA
OG0000981	HMEL006851g1.t1	HEL_009995-RA
OG0000981	HMEL009408g1.t1	HEL_009996-RA
OG0000982	HMEL002304g1.t1	HEL_003011-RA
OG0000983	HMEL014948g1.t1	HEL_005512-RA
OG0000984	HMEL013268g1.t1	HEL_008366-RA, HEL_008363-RA
OG0000985	HMEL014945g1.t1	HEL_005511-RA
OG0000986	HMEL017874g1.t1	HEL_013621-RA
OG0000987	HMEL005822g1.t1	HEL_014480-RA
OG0000987	HMEL008507g1.t1	HEL_014481-RA
OG0000988	HMEL006811g1.t1	HEL_003039-RA
OG0000989	HMEL038122g1.t1	HEL_003823-RA
OG0000990	HMEL017554g1.t1	HEL_012165-RA
OG0000992	HMEL033300g1.t1	HEL_013331-RA
OG0000993	HMEL015016g1.t1	HEL_012330-RA, HEL_012332-RA, HEL_012328-RA, HEL_012325-RA, HEL_012323-RA, HEL_012329-RA
OG0000994	HMEL014909g1.t1	HEL_000254-RA
OG0000994	HMEL032097g1.t1	HEL_000251-RA
OG0000995	HMEL037688g1.t1	HEL_001115-RA, HEL_001116-RA
OG0000996	HMEL033683g1.t1	HEL_014149-RA
OG0000998	HMEL032336g1.t1	HEL_008164-RA
OG0000999	HMEL015898g1.t1	HEL_000231-RA
OG0001000	HMEL006653g1.t1	HEL_005488-RA
OG0001001	HMEL015313g1.t1	HEL_012248-RA, HEL_012247-RA
OG0001002	HMEL002124g1.t1	HEL_013125-RA
OG0001002	HMEL033345g1.t1	HEL_014177-RA
OG0001003	HMEL002972g1.t1	HEL_005925-RA, HEL_005924-RA
OG0001004	HMEL011374g1.t1	HEL_003116-RA
OG0001005	HMEL016067g1.t1	HEL_010640-RA
OG0001005	HMEL037083g1.t1, HMEL022300g1.t1	HEL_010642-RA
OG0001006	HMEL037617g1.t1	HEL_001006-RA, HEL_001005-RA, HEL_001003-RA, HEL_001008-RA
OG0001007	HMEL013723g1.t1	HEL_012007-RA
OG0001008	HMEL002673g1.t1, HMEL002670g1.t1	HEL_009616-RA
OG0001009	HMEL033449g1.t1	HEL_008661-RA, HEL_008660-RA
OG0001010	HMEL032688g1.t1	HEL_011496-RA
OG0001011	HMEL036857g1.t1	HEL_012027-RA, HEL_012029-RA
OG0001012	HMEL032037g1.t1	HEL_000140-RA
OG0001012	HMEL016746g1.t1	HEL_000139-RA, HEL_000141-RA
OG0001013	HMEL009165g1.t1	HEL_006633-RA, HEL_006634-RA
OG0001014	HMEL015565g1.t1	HEL_010309-RA, HEL_011746-RA
OG0001015	HMEL004151g1.t1, HMEL014053g1.t1, HMEL033376g1.t1, HMEL033377g1.t1	HEL_008317-RA
OG0001016	HMEL037132g1.t1	HEL_010313-RA, HEL_010312-RA, HEL_010311-RA
OG0001016	HMEL037131g1.t1	HEL_010310-RA
OG0001017	HMEL033085g1.t1	HEL_003217-RA
OG0001017	HMEL033088g1.t1	HEL_003216-RA
OG0001018	HMEL008033-RA	HEL_010332-RA
OG0001018	HMEL014654g1.t1	HEL_010333-RA
OG0001019	HMEL036009g1.t1, HMEL036004g1.t1	HEL_013095-RA
OG0001019	HMEL021764g1.t1	HEL_013092-RA
OG0001020	HMEL032670g1.t1	HEL_011412-RA, HEL_011411-RA, HEL_011409-RA, HEL_011408-RA, HEL_011410-RA, HEL_011407-RA
OG0001021	HMEL007292g1.t1	HEL_011985-RA
OG0001022	HMEL007369g1.t1	HEL_008511-RA
OG0001023	HMEL014742g1.t1	HEL_003311-RA
OG0001024	HMEL031000g1.t1	HEL_013123-RA
OG0001026	HMEL013363g1.t1	HEL_012824-RA
OG0001028	HMEL005713g1.t1	HEL_011644-RA
OG0001029	HMEL002173g1.t1	HEL_003240-RA
OG0001029	HMEL006322g1.t1	HEL_003241-RA
OG0001030	HMEL016491g1.t1	HEL_003236-RA
OG0001032	HMEL015972g1.t1	HEL_006777-RA, HEL_006776-RA
OG0001035	HMEL013743g1.t1	HEL_014353-RA, HEL_014355-RA
OG0001035	HMEL033248g1.t1, HMEL008304g1.t1	HEL_010284-RA
OG0001038	HMEL007711g1.t1, HMEL037270g1.t1	HEL_014085-RA, HEL_006519-RA, HEL_011601-RA, HEL_013526-RA, HEL_002134-RA, HEL_011604-RA, HEL_004373-RA, HEL_004372-RA, HEL_014086-RA, HEL_009933-RA, HEL_005559-RA, HEL_004371-RA, HEL_004984-RA
OG0001042	HMEL009335g1.t1	HEL_000606-RA
OG0001043	HMEL022528-RA	HEL_007336-RA
OG0001043	HMEL022550-RA, HMEL035504g1.t1	HEL_007337-RA
OG0001044	HMEL033923g1.t1	HEL_014042-RA
OG0001044	HMEL009499g1.t1	HEL_001896-RA
OG0001045	HMEL003250g1.t1	HEL_005353-RA
OG0001046	HMEL032879g1.t1	HEL_009466-RA
OG0001046	HMEL032880g1.t1	HEL_009467-RA
OG0001047	HMEL008369g1.t1	HEL_011023-RA
OG0001048	HMEL022544g1.t1	HEL_013002-RA
OG0001049	HMEL010734g1.t1	HEL_013967-RA
OG0001050	HMEL008688g1.t1	HEL_009209-RA
OG0001051	HMEL005647g1.t1	HEL_013879-RA
OG0001052	HMEL026002g1.t1, HMEL026001g1.t1	HEL_011333-RA
OG0001053	HMEL010898g1.t1	HEL_006984-RA
OG0001054	HMEL025046g1.t1	HEL_013228-RA
OG0001055	HMEL031236g1.t1	HEL_001719-RA
OG0001056	HMEL004721g1.t1	HEL_011994-RA
OG0001057	HMEL022596g1.t1	HEL_013048-RA
OG0001058	HMEL035405g1.t1	HEL_012664-RA
OG0001059	HMEL002210g1.t1	HEL_002035-RA
OG0001059	HMEL030429g1.t1	HEL_002036-RA
OG0001060	HMEL012020g1.t1	HEL_009227-RA
OG0001060	HMEL003577g1.t1	HEL_009226-RA
OG0001061	HMEL032899g1.t1, HMEL032898g1.t1	HEL_009492-RA
OG0001062	HMEL008011g1.t1	HEL_000463-RA
OG0001063	HMEL009224g1.t1	HEL_004670-RA
OG0001065	HMEL036391g1.t1	HEL_013867-RA, HEL_013866-RA
OG0001066	HMEL004277g1.t1	HEL_002208-RA
OG0001067	HMEL010794g1.t1	HEL_011670-RA
OG0001068	HMEL003615g1.t1	HEL_010506-RA
OG0001068	HMEL007241g1.t1	HEL_010499-RA
OG0001069	HMEL004190g1.t1	HEL_001724-RA
OG0001070	HMEL004443g1.t1	HEL_000751-RA
OG0001072	HMEL003110-RA	HEL_007349-RA, HEL_007350-RA
OG0001074	HMEL005255g1.t1	HEL_005420-RA
OG0001074	HMEL005256g1.t1	HEL_005421-RA
OG0001076	HMEL014816g1.t1	HEL_004070-RA
OG0001077	HMEL014812g1.t1	HEL_004075-RA
OG0001078	HMEL035808g1.t1, HMEL035815g1.t1	HEL_013247-RA
OG0001079	HMEL004336g1.t1	HEL_002221-RA, HEL_002222-RA
OG0001082	HMEL017016g1.t1	HEL_010519-RA
OG0001082	HMEL032034g1.t1	HEL_000129-RA
OG0001083	HMEL008071g1.t1	HEL_009000-RA
OG0001084	HMEL035376g1.t1	HEL_013914-RA
OG0001084	HMEL006339g1.t1	HEL_013911-RA
OG0001086	HMEL022619-RA	HEL_002079-RA
OG0001087	HMEL009638g1.t1	HEL_012423-RA
OG0001089	HMEL017035g1.t1	HEL_010541-RA, HEL_010542-RA
OG0001091	HMEL030152g1.t1	HEL_002277-RA
OG0001091	HMEL030151g1.t1	HEL_002276-RA
OG0001093	HMEL017781g1.t1	HEL_010275-RA
OG0001094	HMEL036407g1.t1	HEL_009711-RA
OG0001095	HMEL008988g1.t1	HEL_007795-RA
OG0001096	HMEL003150g1.t1	HEL_011855-RA
OG0001097	HMEL013235g1.t1	HEL_004150-RA
OG0001097	HMEL013236g1.t1	HEL_004149-RA
OG0001098	HMEL016252g1.t1	HEL_005697-RA
OG0001099	HMEL010279g1.t1	HEL_002105-RA, HEL_002106-RA
OG0001101	HMEL009515g1.t1	HEL_011291-RA
OG0001102	HMEL004119g1.t1	HEL_003618-RA, HEL_003620-RA, HEL_003621-RA, HEL_003622-RA
OG0001103	HMEL012909g1.t1	HEL_011082-RA
OG0001104	HMEL008134g1.t1	HEL_004117-RA
OG0001105	HMEL004504g1.t1	HEL_010226-RA
OG0001106	HMEL003410g1.t1	HEL_011682-RA
OG0001107	HMEL010195g1.t1	HEL_009936-RA
OG0001108	HMEL014413g1.t1	HEL_011780-RA
OG0001109	HMEL002721g1.t1	HEL_003557-RA
OG0001109	HMEL002724g1.t1	HEL_003559-RA
OG0001110	HMEL022090g1.t1, HMEL036858g1.t1	HEL_012030-RA
OG0001111	HMEL011868g1.t1	HEL_006025-RA
OG0001112	HMEL010414g1.t1	HEL_010117-RA
OG0001114	HMEL011675-RA	HEL_008418-RA
OG0001114	HMEL011676-RA, HMEL011677-RA	HEL_008417-RA
OG0001115	HMEL030485g1.t1	HEL_002140-RA
OG0001116	HMEL013206g1.t1	HEL_004959-RA
OG0001118	HMEL031819g1.t1	HEL_007674-RA
OG0001118	HMEL020594g1.t1	HEL_014138-RA
OG0001118	HMEL031818g1.t1	HEL_007672-RA
OG0001119	HMEL000037-RA	HEL_011476-RA
OG0001119	HMEL013472g1.t1	HEL_011474-RA
OG0001120	HMEL037977g1.t1	HEL_014233-RA, HEL_014234-RA, HEL_014235-RA
OG0001121	HMEL016964g1.t1	HEL_009287-RA, HEL_009286-RA
OG0001122	HMEL014256g1.t1	HEL_013934-RA, HEL_013932-RA, HEL_013933-RA
OG0001123	HMEL002799g1.t1	HEL_011200-RA
OG0001123	HMEL002797g1.t1	HEL_011198-RA
OG0001124	HMEL033585g1.t1	HEL_011197-RA
OG0001125	HMEL017211g1.t1	HEL_002342-RA
OG0001126	HMEL031207g1.t1	HEL_001663-RA
OG0001128	HMEL003636g1.t1	HEL_003576-RA, HEL_003575-RA
OG0001129	HMEL036672g1.t1	HEL_005801-RA
OG0001130	HMEL016949g1.t1	HEL_009261-RA
OG0001131	HMEL009462g1.t1	HEL_001939-RA
OG0001133	HMEL036632g1.t1	HEL_009109-RA
OG0001134	HMEL030205g1.t1, HMEL017192g1.t1	HEL_002358-RA
OG0001136	HMEL007844g1.t1	HEL_005798-RA
OG0001137	HMEL007733g1.t1	HEL_009121-RA
OG0001140	HMEL015853g1.t1	HEL_004637-RA
OG0001141	HMEL032209g1.t1	HEL_000394-RA, HEL_000391-RA
OG0001143	HMEL003823g1.t1	HEL_009138-RA, HEL_009142-RA, HEL_009140-RA, HEL_009143-RA
OG0001144	HMEL009039g1.t1	HEL_013265-RA, HEL_013266-RA
OG0001145	HMEL014644g1.t1	HEL_001966-RA, HEL_001967-RA
OG0001146	HMEL005223g1.t1	HEL_013689-RA
OG0001148	HMEL011915g1.t1	HEL_010707-RA
OG0001149	HMEL037723g1.t1	HEL_009788-RA
OG0001149	HMEL013391g1.t1	HEL_009787-RA
OG0001151	HMEL031870g1.t1, HMEL005400g1.t1	HEL_013302-RA
OG0001152	HMEL005168g1.t1	HEL_008813-RA, HEL_008816-RA, HEL_008818-RA, HEL_008814-RA, HEL_008817-RA
OG0001153	HMEL016829g1.t1	HEL_004902-RA, HEL_004903-RA, HEL_004901-RA
OG0001154	HMEL037902g1.t1	HEL_005163-RA
OG0001154	HMEL021017g1.t1, HMEL012181g1.t1	HEL_005162-RA
OG0001156	HMEL008467g1.t1	HEL_009651-RA
OG0001158	HMEL037897g1.t1	HEL_005169-RA, HEL_005168-RA, HEL_005171-RA
OG0001160	HMEL016809g1.t1	HEL_004881-RA
OG0001160	HMEL016808g1.t1	HEL_004880-RA
OG0001161	HMEL014274g1.t1	HEL_012972-RA, HEL_012973-RA
OG0001162	HMEL032534g1.t1	HEL_006549-RA
OG0001163	HMEL031357g1.t1	HEL_004869-RA
OG0001163	HMEL016803g1.t1	HEL_004871-RA
OG0001164	HMEL016800g1.t1	HEL_004862-RA
OG0001165	HMEL012451g1.t1	HEL_002444-RA
OG0001167	HMEL018044g1.t1	HEL_008746-RA
OG0001168	HMEL009960g1.t1	HEL_005185-RA
OG0001170	HMEL022612g1.t1	HEL_004285-RA, HEL_004283-RA, HEL_004284-RA
OG0001171	HMEL036491g1.t1	HEL_011550-RA
OG0001172	HMEL007488g1.t1	HEL_001859-RA
OG0001173	HMEL034637g1.t1	HEL_011862-RA
OG0001174	HMEL033651g1.t1	HEL_008988-RA
OG0001175	HMEL037926g1.t1	HEL_005213-RA
OG0001175	HMEL037923g1.t1	HEL_005212-RA
OG0001176	HMEL031902g1.t1	HEL_010875-RA
OG0001177	HMEL012494g1.t1	HEL_002491-RA, HEL_002490-RA
OG0001178	HMEL013178g1.t1	HEL_011878-RA
OG0001179	HMEL005366g1.t1	HEL_006145-RA, HEL_006146-RA
OG0001180	HMEL015680g1.t1	HEL_001518-RA
OG0001181	HMEL031340g1.t1	HEL_004787-RA, HEL_004786-RA
OG0001183	HMEL002563g1.t1	HEL_005594-RA
OG0001185	HMEL035460g1.t1	HEL_010457-RA, HEL_010458-RA, HEL_010459-RA
OG0001187	HMEL002556-RA	HEL_005585-RA
OG0001188	HMEL011054g1.t1	HEL_001123-RA
OG0001189	HMEL036689g1.t1	HEL_005849-RA
OG0001190	HMEL014022g1.t1	HEL_012846-RA, HEL_012850-RA
OG0001191	HMEL033208g1.t1	HEL_014206-RA, HEL_014207-RA, HEL_014208-RA
OG0001192	HMEL006260g1.t1	HEL_001497-RA
OG0001193	HMEL002965g1.t1	HEL_004741-RA, HEL_004740-RA
OG0001194	HMEL003708g1.t1	HEL_001820-RA
OG0001194	HMEL003706g1.t1	HEL_001821-RA
OG0001197	HMEL013338g1.t1	HEL_002825-RA
OG0001198	HMEL036737g1.t1	HEL_012729-RA
OG0001198	HMEL014730g1.t1	HEL_012726-RA, HEL_012730-RA, HEL_012727-RA
OG0001199	HMEL036739g1.t1	HEL_012734-RA
OG0001200	HMEL010538g1.t1	HEL_014008-RA
OG0001201	HMEL013327g1.t1	HEL_002804-RA
OG0001203	HMEL032109g1.t1	HEL_000288-RA
OG0001205	HMEL009804g1.t1	HEL_001075-RA
OG0001206	HMEL002294g1.t1	HEL_003002-RA
OG0001206	HMEL002295g1.t1	HEL_003003-RA
OG0001209	HMEL013308g1.t1	HEL_002775-RA
OG0001210	HMEL022029g1.t1	HEL_007441-RA, HEL_007442-RA
OG0001211	HMEL005001g1.t1	HEL_003810-RA, HEL_003809-RA, HEL_003812-RA, HEL_003808-RA
OG0001212	HMEL014000g1.t1	HEL_010742-RA
OG0001214	HMEL007612g1.t1	HEL_012349-RA, HEL_012350-RA
OG0001214	HMEL007613-RA	HEL_012351-RA
OG0001215	HMEL013143g1.t1	HEL_009503-RA
OG0001216	HMEL017551g1.t1	HEL_012170-RA, HEL_012171-RA
OG0001217	HMEL014545g1.t1	HEL_002173-RA, HEL_002175-RA
OG0001218	HMEL011614g1.t1	HEL_003826-RA, HEL_003825-RA, HEL_003827-RA
OG0001219	HMEL004312g1.t1	HEL_001381-RA
OG0001220	HMEL014351g1.t1	HEL_013333-RA
OG0001221	HMEL012304g1.t1	HEL_012259-RA
OG0001222	HMEL034254g1.t1	HEL_005495-RA
OG0001223	HMEL011728g1.t1	HEL_001389-RA
OG0001224	HMEL032331g1.t1	HEL_008155-RA, HEL_008153-RA, HEL_008156-RA
OG0001225	HMEL032332g1.t1	HEL_008157-RA, HEL_008158-RA
OG0001226	HMEL011755g1.t1	HEL_001422-RA
OG0001227	HMEL007389g1.t1	HEL_012218-RA
OG0001228	HMEL008168g1.t1	HEL_003866-RA
OG0001229	HMEL004617g1.t1	HEL_008175-RA
OG0001231	HMEL007767g1.t1	HEL_007390-RA, HEL_007391-RA
OG0001232	HMEL021525g1.t1	HEL_013599-RA
OG0001233	HMEL032083g1.t1	HEL_000217-RA
OG0001235	HMEL037594g1.t1	HEL_000961-RA, HEL_000962-RA
OG0001236	HMEL006300g1.t1	HEL_000963-RA, HEL_000964-RA
OG0001237	HMEL015193g1.t1	HEL_001310-RA
OG0001238	HMEL017165g1.t1	HEL_014428-RA
OG0001239	HMEL030640g1.t1	HEL_014426-RA
OG0001240	HMEL015940g1.t1	HEL_006802-RA
OG0001241	HMEL015203g1.t1	HEL_001294-RA
OG0001242	HMEL011401g1.t1	HEL_003146-RA
OG0001243	HMEL008671g1.t1	HEL_013371-RA
OG0001244	HMEL037718g1.t1	HEL_009773-RA
OG0001245	HMEL017434g1.t1, HMEL017435g1.t1	HEL_007207-RA
OG0001247	HMEL030630g1.t1	HEL_012944-RA
OG0001248	HMEL006430g1.t1	HEL_012866-RA
OG0001249	HMEL014583g1.t1	HEL_008135-RA
OG0001250	HMEL017389g1.t1	HEL_000109-RA
OG0001251	HMEL011480g1.t1	HEL_012634-RA
OG0001252	HMEL008098g1.t1	HEL_004080-RA
OG0001253	HMEL033069g1.t1	HEL_003170-RA, HEL_003171-RA
OG0001254	HMEL022040g1.t1	HEL_008147-RA
OG0001255	HMEL016623g1.t1	HEL_007063-RA
OG0001257	HMEL012721g1.t1	HEL_012026-RA
OG0001259	HMEL030952g1.t1	HEL_006637-RA, HEL_006636-RA, HEL_006635-RA
OG0001260	HMEL014052g1.t1	HEL_008307-RA, HEL_008312-RA
OG0001261	HMEL009298g1.t1	HEL_006245-RA
OG0001262	HMEL008961g1.t1	HEL_004433-RA
OG0001263	HMEL000006-RA	HEL_011431-RA
OG0001263	HMEL000004-RA	HEL_011430-RA
OG0001264	HMEL003125g1.t1	HEL_008539-RA, HEL_008538-RA
OG0001265	HMEL004177g1.t1	HEL_001177-RA
OG0001266	HMEL022606-RA	HEL_008529-RA, HEL_008524-RA
OG0001267	HMEL031716g1.t1, HMEL033291g1.t1, HMEL007379g1.t1	HEL_008521-RA
OG0001268	HMEL031006g1.t1, HMEL013431g1.t1	HEL_001169-RA
OG0001270	HMEL010884g1.t1	HEL_001155-RA
OG0001271	HMEL032666g1.t1	HEL_012856-RA
OG0001272	HMEL030599g1.t1	HEL_008497-RA
OG0001273	HMEL009056g1.t1	HEL_006707-RA
OG0001273	HMEL009058g1.t1	HEL_006709-RA, HEL_006708-RA
OG0001274	HMEL031001g1.t1	HEL_001137-RA, HEL_001139-RA
OG0001275	HMEL017342g1.t1	HEL_008495-RA
OG0001276	HMEL033131g1.t1	HEL_003292-RA
OG0001276	HMEL012847g1.t1	HEL_003290-RA
OG0001277	HMEL010274g1.t1	HEL_008404-RA
OG0001278	HMEL007099g1.t1	HEL_004484-RA
OG0001279	HMEL016479g1.t1, HMEL008795g1.t1	HEL_007148-RA
OG0001280	HMEL013260g1.t1	HEL_008374-RA
OG0001281	HMEL033115g1.t1	HEL_003256-RA
OG0001282	HMEL013658g1.t1	HEL_008454-RA
OG0001283	HMEL030577g1.t1	HEL_008441-RA
OG0001284	HMEL013626g1.t1	HEL_008436-RA
OG0001285	HMEL006372g1.t1	HEL_007098-RA
OG0001287	HMEL037279g1.t1	HEL_011720-RA
OG0001291	HMEL002231g1.t1	HEL_003947-RA
OG0001293	HMEL036239g1.t1	HEL_011086-RA
OG0001293	HMEL036240g1.t1	HEL_011087-RA, HEL_011085-RA
OG0001294	HMEL034284g1.t1, HMEL034278g1.t1, HMEL034280g1.t1, HMEL035871g1.t1, HMEL004233g1.t1, HMEL035872g1.t1, HMEL034282g1.t1, HMEL034281g1.t1, HMEL034277g1.t1, HMEL034279g1.t1, HMEL035870g1.t1, HMEL034283g1.t1	HEL_005538-RA, HEL_005539-RA
OG0001301	HMEL037207g1.t1	HEL_013953-RA
OG0001301	HMEL010746g1.t1	HEL_013954-RA
OG0001302	HMEL034092g1.t1	HEL_004162-RA
OG0001303	HMEL006753g1.t1	HEL_008966-RA
OG0001303	HMEL022133g1.t1	HEL_008967-RA
OG0001304	HMEL006754g1.t1	HEL_008965-RA
OG0001305	HMEL005061g1.t1	HEL_007645-RA, HEL_007651-RA
OG0001306	HMEL014928g1.t1	HEL_005499-RA
OG0001307	HMEL021108g1.t1	HEL_011012-RA
OG0001308	HMEL009501g1.t1	HEL_001894-RA
OG0001309	HMEL020285g1.t1	HEL_005068-RA
OG0001310	HMEL008123g1.t1	HEL_004103-RA
OG0001311	HMEL017127g1.t1	HEL_003491-RA, HEL_003490-RA, HEL_003489-RA, HEL_003492-RA
OG0001312	HMEL035396g1.t1	HEL_012702-RA
OG0001314	HMEL033207g1.t1	HEL_014201-RA, HEL_014202-RA
OG0001315	HMEL002195g1.t1	HEL_000449-RA
OG0001316	HMEL013537g1.t1	HEL_001887-RA, HEL_001888-RA, HEL_001880-RA
OG0001318	HMEL016976g1.t1	HEL_009306-RA, HEL_009304-RA
OG0001319	HMEL012154g1.t1	HEL_007743-RA
OG0001320	HMEL037453g1.t1	HEL_000697-RA, HEL_000694-RA, HEL_000695-RA
OG0001321	HMEL012791g1.t1	HEL_012693-RA
OG0001321	HMEL008224g1.t1, HMEL035401g1.t1	HEL_012694-RA
OG0001322	HMEL002147g1.t1	HEL_012695-RA
OG0001323	HMEL034033g1.t1	HEL_004047-RA
OG0001324	HMEL013004g1.t1	HEL_008952-RA
OG0001325	HMEL007717g1.t1	HEL_009693-RA
OG0001326	HMEL014787g1.t1	HEL_005337-RA
OG0001328	HMEL031400g1.t1	HEL_005019-RA
OG0001329	HMEL007255g1.t1	HEL_000703-RA, HEL_000702-RA, HEL_000701-RA, HEL_000700-RA, HEL_000704-RA, HEL_000705-RA
OG0001331	HMEL012998g1.t1	HEL_008949-RA
OG0001332	HMEL034004g1.t1	HEL_004010-RA
OG0001333	HMEL032244g1.t1	HEL_000452-RA
OG0001335	HMEL004743g1.t1	HEL_003461-RA
OG0001336	HMEL037460g1.t1	HEL_000714-RA
OG0001337	HMEL035404g1.t1	HEL_012667-RA, HEL_012673-RA
OG0001338	HMEL009345g1.t1	HEL_000615-RA
OG0001339	HMEL007407g1.t1	HEL_000457-RA
OG0001341	HMEL010160g1.t1	HEL_004031-RA
OG0001342	HMEL015559g1.t1	HEL_005390-RA
OG0001344	HMEL035408g1.t1	HEL_012656-RA, HEL_012655-RA
OG0001345	HMEL005557g1.t1	HEL_001710-RA
OG0001346	HMEL003956g1.t1	HEL_002250-RA
OG0001347	HMEL008905g1.t1	HEL_000739-RA
OG0001348	HMEL002359g1.t1	HEL_009232-RA, HEL_009234-RA
OG0001349	HMEL002358g1.t1	HEL_009236-RA
OG0001350	HMEL016880g1.t1	HEL_009559-RA
OG0001351	HMEL015549g1.t1	HEL_005400-RA, HEL_005399-RA
OG0001352	HMEL037839g1.t1	HEL_005091-RA
OG0001353	HMEL014831g1.t1	HEL_004056-RA
OG0001354	HMEL014819g1.t1	HEL_004067-RA
OG0001356	HMEL032358g1.t1	HEL_008191-RA, HEL_008190-RA
OG0001358	HMEL015426g1.t1	HEL_001749-RA
OG0001359	HMEL002590g1.t1	HEL_003563-RA
OG0001359	HMEL017678g1.t1	HEL_000471-RA
OG0001360	HMEL035367g1.t1	HEL_013893-RA
OG0001362	HMEL009004g1.t1	HEL_007781-RA
OG0001364	HMEL016062g1.t1	HEL_011253-RA
OG0001365	HMEL017017g1.t1	HEL_010521-RA
OG0001366	HMEL012190g1.t1	HEL_009662-RA
OG0001368	HMEL012191g1.t1	HEL_009663-RA
OG0001369	HMEL011789g1.t1	HEL_007576-RA
OG0001370	HMEL011628g1.t1	HEL_013517-RA
OG0001370	HMEL011625g1.t1	HEL_013518-RA
OG0001371	HMEL008408g1.t1, HMEL008410g1.t1	HEL_007769-RA
OG0001372	HMEL016273g1.t1	HEL_005679-RA
OG0001373	HMEL015084g1.t1	HEL_001700-RA
OG0001373	HMEL031223g1.t1	HEL_001699-RA
OG0001374	HMEL009642g1.t1	HEL_012428-RA
OG0001375	HMEL008282g1.t1	HEL_001767-RA
OG0001376	HMEL031273g1.t1	HEL_001776-RA
OG0001377	HMEL011336g1.t1	HEL_000488-RA
OG0001377	HMEL034081g1.t1, HMEL010557g1.t1	HEL_000489-RA
OG0001379	HMEL010016g1.t1	HEL_001788-RA
OG0001380	HMEL025047g1.t1	HEL_013229-RA
OG0001381	HMEL010148g1.t1	HEL_004022-RA
OG0001382	HMEL016262g1.t1	HEL_005691-RA
OG0001383	HMEL033959g1.t1	HEL_003956-RA, HEL_003957-RA
