Orthogroup	Heliconius_melpomene_melpomene	Bicyclus_anynana
OG0001219	HMEL004312g1.t1	Bany_00538-RA
OG0001220	HMEL014351g1.t1	Bany_01472-RA
OG0001221	HMEL012304g1.t1	Bany_13448-RA
OG0001222	HMEL014925g1.t1, HMEL034254g1.t1	Bany_15852-RA, Bany_15850-RA
OG0001223	HMEL011728g1.t1	Bany_00546-RA
OG0001224	HMEL032331g1.t1	Bany_11687-RA
OG0001225	HMEL032332g1.t1	Bany_11689-RA
OG0001226	HMEL011755g1.t1	Bany_00575-RA
OG0001227	HMEL007389g1.t1	Bany_09112-RA
OG0001228	HMEL008168g1.t1	Bany_09795-RA, Bany_09801-RA
OG0001229	HMEL004617g1.t1	Bany_11709-RA
OG0001230	HMEL009971g1.t1, HMEL009969g1.t1	Bany_16866-RA
OG0001231	HMEL007767g1.t1	Bany_08397-RA
OG0001232	HMEL021525g1.t1	Bany_14746-RA, Bany_14747-RA
OG0001233	HMEL032083g1.t1	Bany_16873-RA
OG0001235	HMEL037594g1.t1	Bany_14085-RA, Bany_14087-RA, Bany_14084-RA
OG0001236	HMEL006300g1.t1	Bany_14091-RA
OG0001237	HMEL015193g1.t1	Bany_00622-RA
OG0001239	HMEL030640g1.t1	Bany_02396-RA
OG0001240	HMEL015940g1.t1	Bany_04895-RA, Bany_04894-RA
OG0001241	HMEL015203g1.t1	Bany_00635-RA
OG0001242	HMEL011401g1.t1	Bany_04055-RA
OG0001243	HMEL008671g1.t1	Bany_01574-RA
OG0001244	HMEL037718g1.t1	Bany_14164-RA
OG0001245	HMEL017434g1.t1, HMEL017435g1.t1	Bany_15358-RA
OG0001246	HMEL008434g1.t1	Bany_09189-RA
OG0001247	HMEL030630g1.t1	Bany_02426-RA
OG0001248	HMEL006430g1.t1	Bany_11049-RA
OG0001249	HMEL014583g1.t1	Bany_11804-RA
OG0001250	HMEL017389g1.t1	Bany_10423-RA
OG0001251	HMEL011480g1.t1	Bany_09202-RA
OG0001252	HMEL008098g1.t1	Bany_14177-RA
OG0001253	HMEL033069g1.t1	Bany_04087-RA
OG0001254	HMEL022040g1.t1	Bany_11816-RA
OG0001255	HMEL016623g1.t1	Bany_07729-RA
OG0001258	HMEL014046g1.t1	Bany_01649-RA
OG0001259	HMEL030952g1.t1	Bany_04973-RA
OG0001260	HMEL014052g1.t1	Bany_01658-RA
OG0001261	HMEL009298g1.t1	Bany_06479-RA
OG0001262	HMEL008961g1.t1	Bany_05764-RA
OG0001263	HMEL000006-RA	Bany_08554-RA
OG0001263	HMEL000004-RA	Bany_08555-RA
OG0001264	HMEL003125g1.t1	Bany_02481-RA
OG0001266	HMEL022606-RA	Bany_02496-RA
OG0001267	HMEL031716g1.t1, HMEL033291g1.t1, HMEL007379g1.t1	Bany_02498-RA
OG0001268	HMEL031006g1.t1, HMEL013431g1.t1	Bany_00792-RA, Bany_00791-RA
OG0001269	HMEL006982g1.t1	Bany_05044-RA
OG0001270	HMEL010884g1.t1	Bany_00809-RA
OG0001271	HMEL032664g1.t1, HMEL032666g1.t1	Bany_08592-RA
OG0001272	HMEL030599g1.t1	Bany_02532-RA
OG0001273	HMEL009056g1.t1	Bany_05060-RA
OG0001273	HMEL009058g1.t1	Bany_05061-RA
OG0001274	HMEL031001g1.t1	Bany_00827-RA
OG0001275	HMEL017342g1.t1	Bany_02543-RA
OG0001275	HMEL030598g1.t1	Bany_02541-RA
OG0001276	HMEL012847g1.t1	Bany_04221-RA
OG0001277	HMEL010274g1.t1	Bany_01763-RA
OG0001277	HMEL009593g1.t1	Bany_01762-RA
OG0001278	HMEL007099g1.t1	Bany_05820-RA
OG0001279	HMEL016479g1.t1	Bany_07857-RA
OG0001279	HMEL008795g1.t1	Bany_07860-RA, Bany_07856-RA
OG0001280	HMEL013260g1.t1	Bany_01792-RA
OG0001281	HMEL033115g1.t1	Bany_04258-RA
OG0001282	HMEL013658g1.t1	Bany_02592-RA
OG0001283	HMEL030577g1.t1	Bany_02607-RA
OG0001284	HMEL013626g1.t1	Bany_02612-RA
OG0001285	HMEL006372g1.t1	Bany_07903-RA
OG0001301	HMEL010746g1.t1	Bany_16296-RA, Bany_16027-RA
OG0001302	HMEL034092g1.t1	Bany_12443-RA
OG0001303	HMEL006753g1.t1	Bany_13023-RA
OG0001303	HMEL022133g1.t1	Bany_13310-RA
OG0001304	HMEL006754g1.t1	Bany_13024-RA
OG0001305	HMEL005061g1.t1	Bany_09904-RA
OG0001307	HMEL021108g1.t1	Bany_10546-RA
OG0001308	HMEL009501g1.t1	Bany_16941-RA
OG0001309	HMEL020285g1.t1	Bany_09338-RA
OG0001310	HMEL008123g1.t1	Bany_12454-RA, Bany_06897-RA
OG0001311	HMEL017127g1.t1	Bany_08661-RA
OG0001312	HMEL035396g1.t1	Bany_00930-RA
OG0001314	HMEL033207g1.t1	Bany_07931-RA, Bany_15191-RA, Bany_15190-RA, Bany_07929-RA, Bany_07930-RA, Bany_15192-RA
OG0001315	HMEL002195g1.t1	Bany_16446-RA
OG0001316	HMEL013537g1.t1	Bany_16948-RA
OG0001318	HMEL016976g1.t1	Bany_17701-RA
OG0001319	HMEL012154g1.t1	Bany_11839-RA
OG0001320	HMEL037453g1.t1	Bany_13624-RA, Bany_13627-RA
OG0001321	HMEL012791g1.t1, HMEL008224g1.t1, HMEL035401g1.t1	Bany_00948-RA
OG0001322	HMEL012792g1.t1	Bany_00949-RA
OG0001323	HMEL034033g1.t1	Bany_12471-RA
OG0001324	HMEL013004g1.t1	Bany_13035-RA
OG0001325	HMEL007717g1.t1	Bany_07188-RA
OG0001326	HMEL014787g1.t1	Bany_15474-RA
OG0001327	HMEL016574g1.t1	Bany_02087-RA
OG0001328	HMEL031400g1.t1	Bany_02086-RA, Bany_14914-RA
OG0001329	HMEL007255g1.t1	Bany_13632-RA
OG0001331	HMEL012998g1.t1	Bany_13042-RA
OG0001332	HMEL002937g1.t1	Bany_05199-RA, Bany_05230-RA
OG0001333	HMEL032244g1.t1	Bany_16469-RA
OG0001333	HMEL022262g1.t1, HMEL032243g1.t1	Bany_16467-RA
OG0001335	HMEL004741g1.t1	Bany_08685-RA
OG0001336	HMEL013828g1.t1	Bany_13640-RA
OG0001336	HMEL037460g1.t1	Bany_13642-RA
OG0001337	HMEL035404g1.t1	Bany_00963-RA
OG0001338	HMEL009345g1.t1	Bany_06871-RA, Bany_08690-RA, Bany_12414-RA
OG0001339	HMEL007407g1.t1	Bany_16481-RA, Bany_16480-RA
OG0001341	HMEL010160g1.t1	Bany_12502-RA
OG0001342	HMEL015559g1.t1	Bany_17432-RA, Bany_17434-RA
OG0001343	HMEL008858g1.t1	Bany_16981-RA
OG0001344	HMEL035408g1.t1	Bany_00980-RA, Bany_00981-RA, Bany_00979-RA
OG0001345	HMEL005557g1.t1	Bany_00033-RA
OG0001346	HMEL003956g1.t1	Bany_03497-RA
OG0001348	HMEL002359g1.t1	Bany_17738-RA, Bany_17737-RA, Bany_17736-RA
OG0001349	HMEL002358g1.t1	Bany_17739-RA, Bany_17741-RA
OG0001350	HMEL016880g1.t1	Bany_18050-RA
OG0001351	HMEL015549g1.t1	Bany_17442-RA
OG0001352	HMEL037839g1.t1	Bany_09361-RA
OG0001353	HMEL014831g1.t1	Bany_12536-RA
OG0001354	HMEL014819g1.t1	Bany_12542-RA
OG0001355	HMEL037893g1.t1	Bany_09384-RA, Bany_09577-RA
OG0001356	HMEL032358g1.t1	Bany_09393-RA
OG0001358	HMEL015426g1.t1	Bany_00068-RA
OG0001359	HMEL002590g1.t1	Bany_08792-RA
OG0001359	HMEL017678g1.t1	Bany_16514-RA, Bany_16513-RA
OG0001360	HMEL035367g1.t1	Bany_01014-RA
OG0001361	HMEL005612g1.t1, HMEL005611g1.t1	Bany_05249-RA
OG0001363	HMEL008726g1.t1	Bany_02058-RA
OG0001364	HMEL016062g1.t1	Bany_06611-RA
OG0001365	HMEL017017g1.t1	Bany_02698-RA
OG0001366	HMEL012190g1.t1	Bany_07238-RA
OG0001368	HMEL012191g1.t1	Bany_07239-RA
OG0001369	HMEL011789g1.t1	Bany_09978-RA
OG0001370	HMEL011628g1.t1, HMEL011625g1.t1	Bany_17764-RA, Bany_17763-RA
OG0001371	HMEL008408g1.t1	Bany_11884-RA
OG0001372	HMEL016273g1.t1	Bany_14368-RA
OG0001373	HMEL015084g1.t1	Bany_00194-RA
OG0001373	HMEL031223g1.t1	Bany_00195-RA
OG0001374	HMEL009642g1.t1	Bany_04420-RA
OG0001375	HMEL031254g1.t1	Bany_00103-RA
OG0001375	HMEL008282g1.t1	Bany_00102-RA
OG0001376	HMEL031273g1.t1	Bany_00109-RA
OG0001377	HMEL034081g1.t1	Bany_16536-RA
OG0001377	HMEL010557g1.t1	Bany_16539-RA
OG0001378	HMEL032110g1.t1	Bany_09410-RA
OG0001379	HMEL010016g1.t1	Bany_00118-RA, Bany_00121-RA
OG0001380	HMEL025047g1.t1	Bany_07254-RA
OG0001381	HMEL010148g1.t1	Bany_12607-RA
OG0001382	HMEL016262g1.t1	Bany_14382-RA
OG0001383	HMEL033959g1.t1	Bany_05273-RA
OG0001384	HMEL016082g1.t1	Bany_16175-RA
OG0001385	HMEL008986g1.t1	Bany_11904-RA
OG0001386	HMEL032932g1.t1	Bany_08034-RA, Bany_08035-RA
OG0001386	HMEL010446g1.t1	Bany_13504-RA
OG0001387	HMEL017044g1.t1	Bany_02730-RA
OG0001388	HMEL032930g1.t1	Bany_08040-RA, Bany_08043-RA
OG0001389	HMEL008991g1.t1	Bany_11910-RA
OG0001390	HMEL035008g1.t1	Bany_02742-RA
OG0001391	HMEL034938g1.t1	Bany_05952-RA
OG0001392	HMEL009623g1.t1	Bany_01991-RA
OG0001393	HMEL006999g1.t1	Bany_10001-RA
OG0001394	HMEL016218g1.t1	Bany_15594-RA, Bany_15593-RA
OG0001394	HMEL034371g1.t1	Bany_15590-RA
OG0001397	HMEL003408g1.t1	Bany_16204-RA
OG0001398	HMEL003515g1.t1, HMEL022565g1.t1	Bany_17821-RA
OG0001399	HMEL014564g1.t1	Bany_01062-RA
OG0001400	HMEL007642g1.t1	Bany_09461-RA
OG0001401	HMEL012924g1.t1	Bany_10730-RA
OG0001402	HMEL002720g1.t1	Bany_08782-RA
OG0001402	HMEL038074g1.t1	Bany_09680-RA
OG0001404	HMEL016225g1.t1, HMEL016224g1.t1	Bany_15609-RA, Bany_15608-RA, Bany_15607-RA, Bany_15610-RA
OG0001405	HMEL034631g1.t1	Bany_17830-RA
OG0001405	HMEL006183g1.t1	Bany_17829-RA
OG0001406	HMEL002726g1.t1	Bany_08787-RA
OG0001407	HMEL021313g1.t1	Bany_01081-RA
OG0001409	HMEL014177g1.t1, HMEL032874g1.t1	Bany_08087-RA
OG0001410	HMEL005584g1.t1	Bany_09495-RA
OG0001411	HMEL032872g1.t1	Bany_08092-RA, Bany_08088-RA, Bany_08090-RA
OG0001412	HMEL015054g1.t1	Bany_14447-RA
OG0001413	HMEL034885g1.t1, HMEL005064g1.t1, HMEL008596g1.t1	Bany_06029-RA
OG0001415	HMEL031826g1.t1	Bany_10038-RA
OG0001416	HMEL037192g1.t1	Bany_16264-RA
OG0001418	HMEL014142g1.t1	Bany_04505-RA
OG0001419	HMEL030737g1.t1	Bany_04508-RA
OG0001420	HMEL017215g1.t1	Bany_03630-RA
OG0001422	HMEL020501g1.t1, HMEL032224g1.t1, HMEL032225g1.t1	Bany_16625-RA, Bany_16624-RA
OG0001423	HMEL025049-RA	Bany_10809-RA
OG0001424	HMEL012199g1.t1	Bany_07328-RA
OG0001426	HMEL033252g1.t1	Bany_01139-RA
OG0001427	HMEL034838g1.t1	Bany_06074-RA
OG0001428	HMEL010553g1.t1	Bany_07337-RA
OG0001429	HMEL021822g1.t1	Bany_04801-RA, Bany_01635-RA
OG0001429	HMEL033899g1.t1	Bany_05379-RA
OG0001430	HMEL014632g1.t1	Bany_17169-RA
OG0001432	HMEL012734g1.t1, HMEL012221g1.t1	Bany_07343-RA
OG0001433	HMEL017163-RA	Bany_05525-RA, Bany_10066-RA, Bany_02393-RA
OG0001434	HMEL032488g1.t1	Bany_07741-RA, Bany_11366-RA
OG0001435	HMEL003817g1.t1, HMEL004985g1.t1	Bany_02865-RA
OG0001436	HMEL037395g1.t1	Bany_06791-RA
OG0001437	HMEL008753g1.t1	Bany_06103-RA
OG0001438	HMEL035164g1.t1	Bany_02871-RA, Bany_03095-RA
OG0001439	HMEL005738g1.t1	Bany_10073-RA
OG0001440	HMEL008593g1.t1	Bany_09546-RA
OG0001441	HMEL008703g1.t1	Bany_02130-RA, Bany_02126-RA
OG0001442	HMEL011914g1.t1	Bany_08840-RA
OG0001443	HMEL008542g1.t1	Bany_04584-RA
OG0001445	HMEL013447g1.t1	Bany_12843-RA, Bany_12842-RA
OG0001446	HMEL017847g1.t1	Bany_13846-RA
OG0001447	HMEL005406g1.t1	Bany_10109-RA
OG0001448	HMEL015712g1.t1	Bany_17202-RA
OG0001449	HMEL003260g1.t1	Bany_06152-RA
OG0001450	HMEL032514g1.t1	Bany_11411-RA
OG0001451	HMEL008707g1.t1	Bany_08175-RA
OG0001452	HMEL032521g1.t1	Bany_11425-RA, Bany_11426-RA
OG0001453	HMEL034143g1.t1	Bany_12866-RA, Bany_12869-RA
OG0001454	HMEL006651g1.t1	Bany_17215-RA, Bany_17216-RA
OG0001456	HMEL013679g1.t1	Bany_13874-RA
OG0001457	HMEL006548g1.t1	Bany_00311-RA
OG0001458	HMEL022148g1.t1	Bany_13875-RA
OG0001459	HMEL037574g1.t1	Bany_13878-RA
OG0001460	HMEL002157g1.t1	Bany_07390-RA, Bany_07391-RA
OG0001461	HMEL008842g1.t1	Bany_16408-RA
OG0001462	HMEL004290g1.t1	Bany_06178-RA, Bany_06177-RA
OG0001463	HMEL003422g1.t1	Bany_14515-RA
OG0001464	HMEL012285g1.t1	Bany_02914-RA
OG0001465	HMEL003427g1.t1	Bany_14518-RA
OG0001466	HMEL030790g1.t1	Bany_04621-RA
OG0001467	HMEL037412g1.t1	Bany_06840-RA, Bany_06839-RA
OG0001468	HMEL032190g1.t1	Bany_16673-RA
OG0001469	HMEL008349g1.t1	Bany_14525-RA
OG0001470	HMEL009954g1.t1	Bany_13288-RA
OG0001470	HMEL005591g1.t1	Bany_13287-RA, Bany_14106-RA, Bany_13289-RA
OG0001471	HMEL033860g1.t1	Bany_05451-RA
OG0001472	HMEL008055g1.t1	Bany_06189-RA
OG0001473	HMEL004569g1.t1	Bany_12929-RA
OG0001474	HMEL009339g1.t1	Bany_06861-RA
OG0001475	HMEL003053g1.t1	Bany_16686-RA, Bany_11063-RA
OG0001476	HMEL009340g1.t1	Bany_06863-RA
OG0001477	HMEL032186g1.t1, HMEL012582g1.t1, HMEL032185g1.t1	Bany_16690-RA
OG0001478	HMEL031892g1.t1	Bany_10146-RA
OG0001479	HMEL006707g1.t1	Bany_04651-RA
OG0001480	HMEL036724g1.t1	Bany_14564-RA
OG0001481	HMEL037917g1.t1	Bany_09610-RA
OG0001481	HMEL037918g1.t1	Bany_09611-RA
OG0001482	HMEL007963g1.t1	Bany_02196-RA
OG0001483	HMEL031152g1.t1	Bany_00356-RA
OG0001484	HMEL009872g1.t1	Bany_13320-RA
OG0001485	HMEL002517g1.t1	Bany_10160-RA
OG0001486	HMEL036085g1.t1	Bany_10894-RA
OG0001487	HMEL012051g1.t1	Bany_06222-RA
OG0001488	HMEL013180g1.t1	Bany_17992-RA
OG0001489	HMEL007510g1.t1	Bany_02222-RA, Bany_02223-RA
OG0001490	HMEL034496g1.t1	Bany_17611-RA
OG0001491	HMEL005299g1.t1	Bany_14248-RA
OG0001491	HMEL014064g1.t1	Bany_02981-RA
OG0001492	HMEL012851g1.t1	Bany_07480-RA
OG0001495	HMEL013609g1.t1	Bany_17276-RA
OG0001496	HMEL014221g1.t1	Bany_13017-RA, Bany_13019-RA, Bany_13016-RA
OG0001497	HMEL011823g1.t1	Bany_16728-RA
OG0001498	HMEL037702g1.t1	Bany_13964-RA
OG0001499	HMEL038091g1.t1	Bany_09673-RA
OG0001500	HMEL022328g1.t1, HMEL016306g1.t1	Bany_15155-RA, Bany_15156-RA
OG0001501	HMEL031326g1.t1, HMEL017983g1.t1	Bany_02258-RA
OG0001502	HMEL012673g1.t1	Bany_08972-RA
OG0001503	HMEL008312g1.t1	Bany_01310-RA
OG0001504	HMEL013747g1.t1	Bany_06947-RA
OG0001505	HMEL006947g1.t1	Bany_04706-RA
OG0001506	HMEL038105g1.t1, HMEL021832g1.t1	Bany_09676-RA
OG0001507	HMEL012974g1.t1	Bany_17285-RA
OG0001508	HMEL007006g1.t1	Bany_10219-RA
OG0001509	HMEL006950g1.t1	Bany_04711-RA
OG0001511	HMEL006952g1.t1	Bany_04712-RA
OG0001512	HMEL005396g1.t1	Bany_08280-RA
OG0001513	HMEL016898g1.t1	Bany_18069-RA
OG0001514	HMEL006490g1.t1	Bany_15766-RA
OG0001514	HMEL006491g1.t1	Bany_15765-RA
OG0001515	HMEL013345g1.t1	Bany_04730-RA, Bany_04731-RA
OG0001516	HMEL016503g1.t1	Bany_13982-RA
OG0001518	HMEL016921g1.t1	Bany_10255-RA
OG0001519	HMEL010966g1.t1	Bany_15769-RA
OG0001520	HMEL010501g1.t1	Bany_01357-RA
OG0001521	HMEL010499g1.t1	Bany_01359-RA, Bany_01360-RA, Bany_01361-RA
OG0001522	HMEL011639g1.t1	Bany_03875-RA
OG0001523	HMEL030831g1.t1	Bany_04744-RA
OG0001524	HMEL038009g1.t1	Bany_09696-RA
OG0001525	HMEL037021g1.t1	Bany_12133-RA
OG0001526	HMEL005553-RA	Bany_15188-RA
OG0001528	HMEL009102g1.t1, HMEL021756g1.t1, HMEL032000g1.t1	Bany_10276-RA
OG0001529	HMEL018069g1.t1	Bany_17306-RA
OG0001531	HMEL034512g1.t1	Bany_17673-RA, Bany_17672-RA
OG0001532	HMEL006869g1.t1	Bany_01383-RA
OG0001533	HMEL005226g1.t1, HMEL035035g1.t1, HMEL036595g1.t1, HMEL031211g1.t1, HMEL007277g1.t1	Bany_07559-RA
OG0001534	HMEL008843g1.t1	Bany_13404-RA
OG0001534	HMEL006579g1.t1	Bany_13405-RA
OG0001535	HMEL013314g1.t1	Bany_04769-RA
OG0001536	HMEL008272g1.t1	Bany_06303-RA
OG0001537	HMEL007281g1.t1	Bany_07562-RA
OG0001538	HMEL031995g1.t1	Bany_10289-RA
OG0001539	HMEL015171g1.t1	Bany_00475-RA
OG0001540	HMEL016677g1.t1	Bany_05577-RA, Bany_05575-RA, Bany_05576-RA
OG0001542	HMEL013122g1.t1	Bany_18078-RA
OG0001543	HMEL006852g1.t1	Bany_01407-RA
OG0001544	HMEL004553g1.t1	Bany_08333-RA
OG0001545	HMEL015367g1.t1, HMEL030667g1.t1	Bany_02326-RA
OG0001546	HMEL037654g1.t1, HMEL026005g1.t1	Bany_13991-RA
OG0001547	HMEL013125g1.t1	Bany_18082-RA
OG0001548	HMEL017106g1.t1	Bany_12151-RA, Bany_12150-RA
OG0001549	HMEL017139g1.t1, HMEL017140g1.t1	Bany_10314-RA
OG0001550	HMEL008814g1.t1	Bany_07576-RA
OG0001551	HMEL004996g1.t1	Bany_09895-RA, Bany_09741-RA
OG0001552	HMEL015141g1.t1	Bany_00513-RA
OG0001553	HMEL009421g1.t1	Bany_01425-RA
OG0001554	HMEL005016g1.t1	Bany_11646-RA
OG0001555	HMEL006816g1.t1	Bany_03932-RA
OG0001556	HMEL006808g1.t1	Bany_03937-RA
OG0001557	HMEL031578g1.t1	Bany_09035-RA
OG0001558	HMEL007616g1.t1	Bany_17323-RA
OG0001559	HMEL017564g1.t1	Bany_09045-RA
OG0001560	HMEL037674g1.t1	Bany_14026-RA
OG0001560	HMEL037679g1.t1	Bany_14025-RA
OG0001561	HMEL012293g1.t1	Bany_03130-RA
OG0001562	HMEL011949g1.t1	Bany_09061-RA
OG0001563	HMEL011363g1.t1	Bany_14724-RA
OG0001564	HMEL007504g1.t1	Bany_16825-RA
OG0001564	HMEL005447g1.t1	Bany_16824-RA
OG0001565	HMEL008155g1.t1, HMEL035719g1.t1, HMEL031255g1.t1, HMEL017808g1.t1	Bany_15267-RA
OG0001566	HMEL015459g1.t1	Bany_01499-RA
OG0001567	HMEL014556g1.t1	Bany_10976-RA
OG0001568	HMEL006080g1.t1	Bany_02367-RA
OG0001569	HMEL015765g1.t1	Bany_14045-RA
OG0001570	HMEL004837g1.t1	Bany_10982-RA
OG0001570	HMEL036038g1.t1	Bany_10983-RA
OG0001572	HMEL031983g1.t1	Bany_10350-RA
OG0001573	HMEL032085g1.t1	Bany_16855-RA, Bany_16859-RA
OG0001574	HMEL007698g1.t1	Bany_03167-RA
OG0001575	HMEL004647g1.t1	Bany_17373-RA
OG0001575	HMEL038217g1.t1	Bany_17374-RA
OG0001576	HMEL002079g1.t1, HMEL009852g1.t1, HMEL032738g1.t1	Bany_08396-RA
OG0001577	HMEL031107g1.t1	Bany_00588-RA
OG0001578	HMEL030889g1.t1	Bany_04862-RA, Bany_04863-RA
OG0001579	HMEL003344-RA	Bany_00592-RA
OG0001581	HMEL015180g1.t1	Bany_00601-RA
OG0001582	HMEL031064g1.t1	Bany_00603-RA
OG0001583	HMEL030054g1.t1	Bany_07053-RA
OG0001584	HMEL015185g1.t1	Bany_00606-RA
OG0001585	HMEL012101g1.t1	Bany_07683-RA
OG0001586	HMEL014998g1.t1	Bany_07060-RA
OG0001587	HMEL006750g1.t1, HMEL006749g1.t1	Bany_11738-RA
OG0001588	HMEL036327g1.t1	Bany_15322-RA
OG0001589	HMEL036820g1.t1	Bany_14778-RA
OG0001590	HMEL002125g1.t1	Bany_01542-RA, Bany_01543-RA
OG0001591	HMEL002752g1.t1	Bany_13499-RA
OG0001591	HMEL017468g1.t1	Bany_13498-RA
OG0001592	HMEL036027g1.t1	Bany_11001-RA
OG0001593	HMEL015947g1.t1	Bany_04886-RA
OG0001594	HMEL007749g1.t1	Bany_10384-RA
OG0001595	HMEL010115g1.t1	Bany_09842-RA
OG0001596	HMEL037603g1.t1	Bany_14118-RA
OG0001598	HMEL009428g1.t1	Bany_08433-RA, Bany_08432-RA
OG0001599	HMEL015929g1.t1, HMEL035874g1.t1, HMEL037288g1.t1, HMEL035634g1.t1, HMEL030834g1.t1, HMEL021207g1.t1	Bany_04907-RA
OG0001600	HMEL003438g1.t1	Bany_09167-RA
OG0001601	HMEL004766g1.t1	Bany_12288-RA
OG0001602	HMEL017425g1.t1	Bany_15348-RA
OG0001603	HMEL010618g1.t1	Bany_09886-RA
OG0001604	HMEL014373g1.t1	Bany_01593-RA
OG0001605	HMEL015465g1.t1	Bany_01598-RA
OG0001607	HMEL015290g1.t1	Bany_00672-RA
OG0001608	HMEL037712g1.t1	Bany_14168-RA
OG0001609	HMEL030026g1.t1	Bany_07118-RA, Bany_07119-RA
OG0001611	HMEL015997g1.t1	Bany_12335-RA, Bany_12338-RA, Bany_12337-RA
OG0001612	HMEL000061g1.t1	Bany_08476-RA
OG0001613	HMEL000056g1.t1	Bany_08480-RA
OG0001614	HMEL003784g1.t1	Bany_07137-RA
OG0001615	HMEL010621g1.t1	Bany_02442-RA, Bany_02441-RA
OG0001616	HMEL020101g1.t1, HMEL036871g1.t1	Bany_14851-RA
OG0001617	HMEL037119g1.t1	Bany_12348-RA
OG0001618	HMEL037120g1.t1	Bany_12349-RA, Bany_12350-RA
OG0001619	HMEL003013g1.t1, HMEL006294g1.t1, HMEL016620g1.t1	Bany_06447-RA
OG0001620	HMEL014313g1.t1	Bany_13575-RA
OG0001621	HMEL003531g1.t1	Bany_09245-RA
OG0001622	HMEL036356g1.t1	Bany_15420-RA
OG0001623	HMEL015222g1.t1	Bany_00751-RA
OG0001624	HMEL002679-RA	Bany_06487-RA
OG0001625	HMEL035985g1.t1	Bany_11098-RA
OG0001625	HMEL035986g1.t1	Bany_11099-RA
OG0001626	HMEL006157g1.t1	Bany_04133-RA
OG0001627	HMEL002683g1.t1	Bany_06492-RA, Bany_06491-RA
OG0001629	HMEL009180g1.t1	Bany_04989-RA, Bany_04990-RA, Bany_04991-RA
OG0001630	HMEL002017g1.t1, HMEL032674g1.t1	Bany_08557-RA
OG0001631	HMEL009186g1.t1	Bany_04998-RA
OG0001632	HMEL003126g1.t1	Bany_02480-RA
OG0001634	HMEL002697g1.t1	Bany_06515-RA
OG0001635	HMEL012324g1.t1	Bany_09282-RA
OG0001635	HMEL014796g1.t1	Bany_09283-RA
OG0001637	HMEL017754-RA	Bany_12397-RA, Bany_12400-RA, Bany_12399-RA
OG0001638	HMEL013281g1.t1	Bany_01709-RA
OG0001638	HMEL033388g1.t1	Bany_01707-RA
OG0001640	HMEL037155g1.t1	Bany_12410-RA
OG0001641	HMEL013273g1.t1	Bany_01717-RA
OG0001642	HMEL013264g1.t1	Bany_01723-RA
OG0001643	HMEL031002g1.t1	Bany_00822-RA
OG0001644	HMEL017948g1.t1	Bany_07851-RA
OG0001645	HMEL017359g1.t1	Bany_02551-RA
OG0001648	HMEL030593g1.t1	Bany_02554-RA
OG0001648	HMEL030591g1.t1	Bany_02556-RA
OG0001650	HMEL033123g1.t1	Bany_04234-RA
OG0001651	HMEL013258g1.t1	Bany_01791-RA, Bany_01790-RA, Bany_01789-RA
OG0001653	HMEL006882g1.t1	Bany_03430-RA
OG0001653	HMEL021508g1.t1	Bany_03429-RA
OG0001654	HMEL030865g1.t1	Bany_05167-RA
OG0001670	HMEL015026g1.t1	Bany_18177-RA
OG0001672	HMEL004018g1.t1	Bany_10688-RA, Bany_18142-RA
OG0001673	HMEL016816g1.t1	Bany_02162-RA, Bany_18164-RA
OG0001674	HMEL011251g1.t1	Bany_18140-RA, Bany_06772-RA, Bany_06774-RA
OG0001675	HMEL033641g1.t1	Bany_13022-RA, Bany_13312-RA
OG0001676	HMEL006197g1.t1	Bany_17690-RA
OG0001677	HMEL009488g1.t1	Bany_16928-RA
OG0001678	HMEL015080g1.t1	Bany_00003-RA
OG0001679	HMEL030687g1.t1	Bany_04297-RA
OG0001680	HMEL010289g1.t1	Bany_14262-RA, Bany_14263-RA
OG0001681	HMEL013221g1.t1	Bany_12450-RA
OG0001682	HMEL036377g1.t1	Bany_14890-RA
OG0001683	HMEL008376g1.t1	Bany_10547-RA
OG0001684	HMEL008377g1.t1	Bany_10548-RA
OG0001685	HMEL014531g1.t1	Bany_06549-RA
OG0001686	HMEL006188-RA	Bany_17698-RA, Bany_17696-RA
OG0001687	HMEL008375g1.t1	Bany_10550-RA
OG0001688	HMEL014602g1.t1, HMEL036376g1.t1	Bany_14891-RA
OG0001689	HMEL010809g1.t1	Bany_16086-RA, Bany_07180-RA
OG0001690	HMEL007410g1.t1	Bany_09345-RA
OG0001691	HMEL004470g1.t1	Bany_00938-RA
OG0001692	HMEL012787g1.t1	Bany_00943-RA
OG0001693	HMEL003868g1.t1	Bany_13031-RA, Bany_17085-RA, Bany_17084-RA
OG0001694	HMEL036695g1.t1	Bany_16759-RA, Bany_14275-RA, Bany_17094-RA, Bany_02021-RA
OG0001695	HMEL022579g1.t1, HMEL022656g1.t1	Bany_08671-RA
OG0001696	HMEL017653g1.t1	Bany_11147-RA, Bany_11148-RA
OG0001697	HMEL007829g1.t1	Bany_07942-RA
OG0001698	HMEL034009g1.t1	Bany_05196-RA
OG0001699	HMEL034007g1.t1	Bany_05198-RA
OG0001700	HMEL013466g1.t1, HMEL002734g1.t1	Bany_16460-RA, Bany_16458-RA
OG0001701	HMEL016388g1.t1	Bany_01853-RA
OG0001702	HMEL004472g1.t1	Bany_00955-RA
OG0001703	HMEL009821g1.t1, HMEL033426g1.t1	Bany_07194-RA, Bany_07196-RA
