Orthogroup	Heliconius_melpomene_melpomene	Bicyclus_anynana
OG0000000	HMEL037744g1.t1, HMEL033559g1.t1	Bany_08379-RA
OG0000000	HMEL035743g1.t1	Bany_15840-RA, Bany_12026-RA
OG0000000	HMEL002349g1.t1, HMEL032665g1.t1	Bany_09626-RA, Bany_03068-RA, Bany_16382-RA
OG0000000	HMEL036032g1.t1	Bany_13428-RA, Bany_17806-RA
OG0000000	HMEL030971g1.t1	Bany_13444-RA, Bany_02521-RA
OG0000000	HMEL036879g1.t1, HMEL037211g1.t1	Bany_12885-RA
OG0000000	HMEL035211g1.t1	Bany_09856-RA, Bany_09439-RA, Bany_07392-RA, Bany_03616-RA, Bany_12761-RA, Bany_00045-RA, Bany_13584-RA
OG0000000	HMEL030621g1.t1, HMEL034201g1.t1, HMEL030853g1.t1, HMEL035551g1.t1, HMEL017933g1.t1, HMEL030113g1.t1, HMEL038130g1.t1, HMEL030881g1.t1, HMEL035429g1.t1, HMEL036892g1.t1	Bany_12351-RA, Bany_13990-RA, Bany_17561-RA, Bany_07205-RA
OG0000000	HMEL037994g1.t1, HMEL036590g1.t1, HMEL036561g1.t1, HMEL036024g1.t1, HMEL034790g1.t1, HMEL038003g1.t1	Bany_05506-RA
OG0000000	HMEL031475g1.t1	Bany_03267-RA
OG0000000	HMEL031699g1.t1	Bany_17740-RA, Bany_05667-RA
OG0000000	HMEL033200g1.t1	Bany_13005-RA, Bany_13853-RA
OG0000000	HMEL034079g1.t1	Bany_08916-RA
OG0000001	HMEL036429g1.t1, HMEL037266g1.t1, HMEL015753g1.t1, HMEL034832g1.t1, HMEL034547g1.t1, HMEL036848g1.t1, HMEL034814g1.t1, HMEL031951g1.t1, HMEL021804g1.t1, HMEL032334g1.t1, HMEL034243g1.t1, HMEL030645g1.t1, HMEL030857g1.t1, HMEL032132g1.t1, HMEL033653g1.t1, HMEL035627g1.t1	Bany_13515-RA
