Orthogroup	Heliconius_erato_lativitta	Bicyclus_anynana
OG0000013	HEL_002158-RA	Bany_03476-RA, Bany_17984-RA, Bany_00934-RA, Bany_13885-RA, Bany_13887-RA, Bany_17356-RA, Bany_02403-RA, Bany_16807-RA, Bany_02104-RA, Bany_12344-RA, Bany_02757-RA, Bany_15413-RA, Bany_07407-RA, Bany_16888-RA, Bany_16890-RA, Bany_14220-RA, Bany_07152-RA, Bany_15412-RA, Bany_13505-RA, Bany_08964-RA, Bany_13366-RA, Bany_06496-RA, Bany_11488-RA, Bany_15481-RA, Bany_08723-RA, Bany_17952-RA, Bany_11027-RA, Bany_01146-RA, Bany_15568-RA, Bany_08606-RA
OG0000017	HEL_005435-RA	Bany_02945-RA
OG0000017	HEL_005434-RA	Bany_03209-RA, Bany_02946-RA, Bany_06342-RA, Bany_04927-RA, Bany_17781-RA, Bany_16445-RA, Bany_09385-RA, Bany_07556-RA
OG0000018	HEL_002556-RA	Bany_16974-RA
OG0000018	HEL_002557-RA, HEL_002558-RA, HEL_002871-RA, HEL_002559-RA, HEL_002560-RA	Bany_04504-RA
OG0000022	HEL_013117-RA	Bany_00839-RA
OG0000022	HEL_013943-RA	Bany_01876-RA
OG0000022	HEL_003380-RA, HEL_013112-RA	Bany_01804-RA, Bany_16373-RA
OG0000024	HEL_003522-RA	Bany_07796-RA, Bany_07225-RA, Bany_07782-RA, Bany_07835-RA, Bany_07747-RA, Bany_07887-RA
OG0000024	HEL_003523-RA	Bany_08738-RA
OG0000024	HEL_003520-RA	Bany_08736-RA
OG0000025	HEL_011368-RA, HEL_011371-RA, HEL_011367-RA, HEL_011372-RA	Bany_06750-RA, Bany_06754-RA, Bany_06747-RA, Bany_06749-RA, Bany_06757-RA, Bany_06756-RA, Bany_06758-RA, Bany_06743-RA, Bany_06745-RA
OG0000025	HEL_011319-RA	Bany_06682-RA, Bany_06681-RA, Bany_06678-RA
OG0000028	HEL_011818-RA, HEL_011811-RA	Bany_14270-RA, Bany_14337-RA, Bany_14336-RA, Bany_14338-RA, Bany_14339-RA, Bany_14335-RA, Bany_07987-RA, Bany_01182-RA
OG0000029	HEL_001272-RA	Bany_00663-RA, Bany_00664-RA
OG0000030	HEL_009939-RA	Bany_15771-RA
OG0000031	HEL_012127-RA	Bany_03256-RA
OG0000032	HEL_003341-RA	Bany_16255-RA, Bany_08768-RA, Bany_04302-RA, Bany_08457-RA, Bany_05258-RA, Bany_05674-RA, Bany_14909-RA, Bany_07405-RA
OG0000032	HEL_008364-RA	Bany_17242-RA, Bany_16906-RA, Bany_09161-RA, Bany_13902-RA, Bany_08322-RA
OG0000034	HEL_004511-RA, HEL_004512-RA	Bany_05845-RA
OG0000034	HEL_004513-RA	Bany_05846-RA, Bany_05861-RA
OG0000034	HEL_003973-RA	Bany_05243-RA
OG0000034	HEL_003968-RA	Bany_05248-RA
OG0000035	HEL_014143-RA	Bany_17488-RA
OG0000036	HEL_008947-RA, HEL_010219-RA	Bany_18158-RA, Bany_10541-RA, Bany_00915-RA, Bany_18160-RA, Bany_11626-RA, Bany_17627-RA, Bany_07848-RA, Bany_00914-RA, Bany_16876-RA, Bany_01903-RA, Bany_11625-RA
OG0000038	HEL_003342-RA	Bany_01919-RA
OG0000038	HEL_003344-RA, HEL_003333-RA	Bany_01918-RA
OG0000039	HEL_014203-RA	Bany_01637-RA
OG0000039	HEL_002018-RA, HEL_002013-RA, HEL_002015-RA, HEL_002017-RA, HEL_014550-RA	Bany_05944-RA, Bany_05945-RA, Bany_01125-RA
OG0000039	HEL_006829-RA	Bany_01356-RA
OG0000041	HEL_014103-RA	Bany_11570-RA
OG0000041	HEL_008450-RA	Bany_02601-RA, Bany_02598-RA, Bany_02599-RA, Bany_02600-RA
OG0000041	HEL_014422-RA	Bany_02401-RA, Bany_02400-RA
OG0000046	HEL_005348-RA	Bany_15456-RA, Bany_15454-RA, Bany_15461-RA
OG0000047	HEL_009610-RA	Bany_12867-RA, Bany_13545-RA, Bany_16501-RA
OG0000049	HEL_008049-RA	Bany_06008-RA
OG0000049	HEL_008038-RA	Bany_06021-RA
OG0000050	HEL_012564-RA	Bany_14319-RA
OG0000050	HEL_012557-RA, HEL_012556-RA, HEL_012559-RA	Bany_14321-RA
OG0000052	HEL_000724-RA	Bany_00561-RA
OG0000053	HEL_006718-RA	Bany_05066-RA
OG0000053	HEL_006720-RA	Bany_05075-RA
OG0000053	HEL_006725-RA	Bany_05076-RA
OG0000054	HEL_003473-RA	Bany_08678-RA
OG0000054	HEL_003471-RA	Bany_08681-RA, Bany_08727-RA
OG0000054	HEL_003470-RA	Bany_08680-RA
OG0000055	HEL_011387-RA, HEL_004125-RA, HEL_004126-RA	Bany_14877-RA, Bany_06238-RA, Bany_18176-RA
OG0000055	HEL_011388-RA, HEL_007822-RA, HEL_007824-RA, HEL_010170-RA	Bany_12890-RA, Bany_05677-RA
OG0000055	HEL_008266-RA	Bany_04762-RA
OG0000056	HEL_013494-RA	Bany_17818-RA
OG0000057	HEL_008127-RA, HEL_008126-RA	Bany_11764-RA
OG0000057	HEL_008125-RA	Bany_11763-RA
OG0000057	HEL_007566-RA	Bany_10000-RA
OG0000060	HEL_007287-RA	Bany_15285-RA, Bany_15284-RA
OG0000060	HEL_007289-RA, HEL_007288-RA, HEL_007290-RA, HEL_007285-RA	Bany_15425-RA, Bany_15281-RA, Bany_15283-RA
OG0000061	HEL_014352-RA	Bany_08020-RA
OG0000061	HEL_010278-RA, HEL_014350-RA, HEL_010280-RA	Bany_08021-RA, Bany_08019-RA
OG0000062	HEL_000202-RA	Bany_10506-RA
OG0000063	HEL_006297-RA	Bany_06319-RA
OG0000064	HEL_006875-RA, HEL_004219-RA, HEL_011218-RA	Bany_03190-RA, Bany_11765-RA
OG0000066	HEL_002083-RA, HEL_002073-RA, HEL_002080-RA, HEL_002084-RA, HEL_002076-RA, HEL_002072-RA	Bany_17015-RA
OG0000067	HEL_006896-RA	Bany_02338-RA
OG0000068	HEL_004817-RA, HEL_004816-RA, HEL_004813-RA, HEL_004812-RA, HEL_004809-RA, HEL_004810-RA, HEL_004818-RA, HEL_004807-RA	Bany_02228-RA, Bany_02226-RA
OG0000068	HEL_004805-RA, HEL_004806-RA, HEL_004804-RA, HEL_004796-RA, HEL_004808-RA, HEL_004819-RA, HEL_004798-RA	Bany_02214-RA
OG0000069	HEL_013143-RA	Bany_01527-RA, Bany_01512-RA, Bany_01515-RA
OG0000069	HEL_013144-RA	Bany_01528-RA, Bany_01514-RA
OG0000071	HEL_009006-RA	Bany_13125-RA
OG0000071	HEL_004446-RA, HEL_002089-RA, HEL_008612-RA, HEL_007397-RA, HEL_009249-RA, HEL_013447-RA, HEL_006033-RA, HEL_011525-RA, HEL_009009-RA, HEL_009007-RA, HEL_012671-RA, HEL_004289-RA, HEL_009846-RA, HEL_010495-RA, HEL_010347-RA, HEL_010983-RA, HEL_009301-RA	Bany_13126-RA
OG0000073	HEL_007878-RA	Bany_06221-RA
OG0000073	HEL_008003-RA	Bany_06084-RA
OG0000073	HEL_007997-RA, HEL_007992-RA	Bany_06075-RA
OG0000075	HEL_014330-RA, HEL_014326-RA, HEL_014344-RA	Bany_08221-RA
OG0000075	HEL_014328-RA, HEL_014331-RA	Bany_07998-RA
OG0000075	HEL_014345-RA, HEL_014343-RA	Bany_08015-RA
OG0000075	HEL_007561-RA	Bany_08220-RA
OG0000076	HEL_011714-RA, HEL_011716-RA, HEL_011713-RA, HEL_011735-RA, HEL_011717-RA, HEL_011733-RA, HEL_011718-RA, HEL_011712-RA, HEL_011711-RA	Bany_10910-RA, Bany_16165-RA
OG0000076	HEL_011734-RA, HEL_011730-RA, HEL_011731-RA, HEL_011729-RA	Bany_16171-RA, Bany_16169-RA
OG0000077	HEL_013280-RA	Bany_10084-RA
OG0000078	HEL_008245-RA, HEL_008246-RA, HEL_008243-RA, HEL_008244-RA	Bany_02387-RA
OG0000079	HEL_010373-RA, HEL_010374-RA	Bany_12431-RA, Bany_12432-RA, Bany_12430-RA
OG0000082	HEL_005977-RA	Bany_06988-RA
OG0000082	HEL_005961-RA	Bany_06982-RA
OG0000082	HEL_002182-RA	Bany_06548-RA
OG0000083	HEL_011887-RA	Bany_18002-RA
OG0000083	HEL_011897-RA, HEL_011899-RA	Bany_18006-RA, Bany_18005-RA, Bany_18004-RA, Bany_18007-RA, Bany_18003-RA
OG0000084	HEL_010679-RA	Bany_12325-RA
OG0000084	HEL_010678-RA, HEL_010675-RA	Bany_12324-RA
OG0000085	HEL_005305-RA, HEL_005304-RA	Bany_15503-RA, Bany_09981-RA, Bany_09980-RA, Bany_14328-RA, Bany_01844-RA, Bany_09976-RA, Bany_09982-RA
OG0000087	HEL_003928-RA, HEL_003933-RA, HEL_003931-RA, HEL_003934-RA, HEL_003935-RA, HEL_003930-RA, HEL_003927-RA, HEL_003941-RA, HEL_003938-RA, HEL_003937-RA, HEL_003936-RA, HEL_003932-RA, HEL_003929-RA, HEL_003926-RA	Bany_05303-RA, Bany_05301-RA, Bany_05304-RA, Bany_05302-RA, Bany_05300-RA
OG0000088	HEL_013016-RA	Bany_16383-RA
OG0000088	HEL_014145-RA, HEL_012840-RA	Bany_06437-RA
OG0000091	HEL_010012-RA	Bany_10777-RA
OG0000093	HEL_005969-RA	Bany_07027-RA
OG0000093	HEL_005967-RA	Bany_06973-RA
OG0000093	HEL_005968-RA, HEL_005966-RA	Bany_06974-RA
OG0000093	HEL_005972-RA	Bany_07030-RA, Bany_07031-RA
OG0000094	HEL_006926-RA	Bany_02330-RA
OG0000094	HEL_006938-RA, HEL_006942-RA, HEL_006905-RA, HEL_006908-RA, HEL_006904-RA, HEL_006902-RA, HEL_006899-RA, HEL_006907-RA, HEL_006901-RA, HEL_006897-RA, HEL_006910-RA, HEL_010220-RA, HEL_006911-RA	Bany_02336-RA, Bany_02337-RA
OG0000095	HEL_001292-RA	Bany_00651-RA, Bany_00639-RA, Bany_00642-RA, Bany_00643-RA, Bany_00646-RA, Bany_00647-RA, Bany_00648-RA, Bany_00650-RA, Bany_00645-RA
OG0000096	HEL_010168-RA, HEL_010172-RA, HEL_010167-RA, HEL_010173-RA	Bany_05878-RA
OG0000096	HEL_010165-RA	Bany_05883-RA
OG0000097	HEL_008951-RA, HEL_008950-RA, HEL_008948-RA	Bany_13038-RA, Bany_13041-RA, Bany_13039-RA
OG0000098	HEL_005540-RA	Bany_15791-RA
OG0000100	HEL_005774-RA	Bany_14506-RA, Bany_14504-RA, Bany_14505-RA
OG0000100	HEL_005776-RA	Bany_14503-RA
OG0000100	HEL_005778-RA	Bany_14500-RA
OG0000101	HEL_010134-RA, HEL_010133-RA	Bany_15315-RA
OG0000101	HEL_010138-RA	Bany_06155-RA
OG0000102	HEL_013147-RA	Bany_01509-RA, Bany_01511-RA
OG0000103	HEL_008320-RA	Bany_01667-RA
OG0000106	HEL_014493-RA	Bany_03257-RA, Bany_18159-RA
OG0000108	HEL_009657-RA, HEL_009862-RA	Bany_02610-RA, Bany_04229-RA, Bany_14279-RA, Bany_04023-RA, Bany_16499-RA
OG0000108	HEL_013515-RA	Bany_10832-RA, Bany_07404-RA
OG0000109	HEL_012843-RA, HEL_012844-RA, HEL_012842-RA, HEL_012841-RA	Bany_08600-RA
OG0000110	HEL_014554-RA	Bany_01227-RA, Bany_01228-RA
OG0000110	HEL_014551-RA	Bany_01235-RA
OG0000111	HEL_004223-RA	Bany_10939-RA
OG0000111	HEL_000128-RA	Bany_10438-RA
OG0000113	HEL_011798-RA, HEL_011796-RA	Bany_15687-RA
OG0000113	HEL_011795-RA, HEL_011797-RA	Bany_16241-RA
OG0000113	HEL_008858-RA, HEL_008860-RA, HEL_008861-RA	Bany_05360-RA
OG0000114	HEL_014390-RA	Bany_01261-RA, Bany_01260-RA, Bany_01257-RA, Bany_01445-RA, Bany_01449-RA, Bany_01259-RA, Bany_01258-RA, Bany_01451-RA, Bany_01448-RA
OG0000114	HEL_009880-RA, HEL_009885-RA	Bany_01222-RA, Bany_01450-RA
OG0000115	HEL_004784-RA	Bany_02238-RA
OG0000115	HEL_006264-RA	Bany_06385-RA
OG0000115	HEL_004779-RA	Bany_02241-RA
