Orthogroup	Heliconius_erato_lativitta	Bicyclus_anynana
OG0001487	HEL_007877-RA	Bany_06222-RA
OG0001488	HEL_011876-RA	Bany_17992-RA
OG0001489	HEL_004823-RA	Bany_02222-RA, Bany_02223-RA
OG0001490	HEL_004677-RA	Bany_17611-RA
OG0001491	HEL_014607-RA	Bany_14248-RA
OG0001492	HEL_007176-RA	Bany_07480-RA
OG0001494	HEL_000321-RA	Bany_16726-RA
OG0001495	HEL_001834-RA, HEL_001833-RA	Bany_17276-RA
OG0001496	HEL_013662-RA	Bany_13017-RA, Bany_13019-RA, Bany_13016-RA
OG0001497	HEL_000326-RA, HEL_000324-RA, HEL_000325-RA, HEL_000323-RA	Bany_16728-RA
OG0001498	HEL_001126-RA	Bany_13964-RA
OG0001499	HEL_003765-RA, HEL_003767-RA, HEL_003763-RA	Bany_09673-RA
OG0001500	HEL_011583-RA	Bany_15155-RA, Bany_15156-RA
OG0001501	HEL_004757-RA	Bany_02258-RA
OG0001502	HEL_010783-RA	Bany_08972-RA
OG0001503	HEL_009875-RA	Bany_01310-RA
OG0001504	HEL_000684-RA	Bany_06947-RA
OG0001505	HEL_002856-RA	Bany_04706-RA
OG0001506	HEL_003751-RA, HEL_003756-RA	Bany_09676-RA
OG0001507	HEL_001828-RA	Bany_17285-RA
OG0001509	HEL_002854-RA	Bany_04711-RA
OG0001511	HEL_002851-RA, HEL_002853-RA	Bany_04712-RA
OG0001512	HEL_007499-RA	Bany_08280-RA
OG0001513	HEL_009536-RA	Bany_11587-RA
OG0001513	HEL_009535-RA	Bany_18068-RA
OG0001514	HEL_005562-RA	Bany_15766-RA
OG0001515	HEL_002832-RA	Bany_04730-RA
OG0001516	HEL_001066-RA, HEL_001069-RA	Bany_13982-RA
OG0001517	HEL_003740-RA	Bany_09683-RA
OG0001518	HEL_010961-RA	Bany_10255-RA
OG0001519	HEL_005558-RA	Bany_15768-RA
OG0001520	HEL_009957-RA, HEL_009956-RA	Bany_01357-RA
OG0001522	HEL_002982-RA	Bany_03875-RA
OG0001523	HEL_002812-RA	Bany_04744-RA
OG0001524	HEL_003722-RA, HEL_001151-RA, HEL_003723-RA	Bany_09696-RA
OG0001526	HEL_014016-RA	Bany_15188-RA
OG0001527	HEL_006945-RA	Bany_02299-RA
OG0001529	HEL_001817-RA	Bany_17306-RA
OG0001531	HEL_004710-RA	Bany_17673-RA
OG0001531	HEL_004711-RA	Bany_17672-RA
OG0001532	HEL_009972-RA	Bany_01383-RA
OG0001533	HEL_010465-RA	Bany_07559-RA
OG0001534	HEL_013741-RA, HEL_013740-RA	Bany_13405-RA
OG0001535	HEL_002783-RA, HEL_002787-RA, HEL_002785-RA, HEL_002784-RA, HEL_002782-RA	Bany_04769-RA
OG0001536	HEL_006279-RA, HEL_006282-RA, HEL_006278-RA, HEL_006280-RA, HEL_006283-RA	Bany_06303-RA
OG0001537	HEL_010467-RA	Bany_07562-RA
OG0001538	HEL_000055-RA	Bany_10289-RA
OG0001539	HEL_001339-RA, HEL_001336-RA, HEL_001338-RA, HEL_001337-RA, HEL_001335-RA	Bany_00475-RA
OG0001540	HEL_004582-RA	Bany_05576-RA
OG0001541	HEL_007451-RA	Bany_08330-RA
OG0001542	HEL_009523-RA	Bany_18078-RA
OG0001543	HEL_009994-RA	Bany_01407-RA
OG0001544	HEL_007449-RA	Bany_08333-RA
OG0001545	HEL_006922-RA, HEL_006921-RA	Bany_02326-RA
OG0001546	HEL_001077-RA, HEL_001078-RA, HEL_001076-RA	Bany_13991-RA
OG0001547	HEL_009519-RA, HEL_009520-RA	Bany_18082-RA
OG0001548	HEL_006084-RA	Bany_12151-RA
OG0001548	HEL_006083-RA	Bany_12150-RA
OG0001549	HEL_000033-RA, HEL_000032-RA	Bany_10314-RA
OG0001550	HEL_014472-RA	Bany_07576-RA
OG0001551	HEL_003799-RA, HEL_003800-RA	Bany_09895-RA
OG0001551	HEL_003796-RA	Bany_09741-RA
OG0001552	HEL_001374-RA, HEL_001371-RA	Bany_00513-RA
OG0001553	HEL_010008-RA, HEL_010007-RA	Bany_01425-RA
OG0001554	HEL_008204-RA	Bany_11646-RA
OG0001555	HEL_003034-RA	Bany_03932-RA
OG0001556	HEL_003040-RA	Bany_03937-RA
OG0001557	HEL_010741-RA	Bany_09035-RA
OG0001558	HEL_012354-RA	Bany_17323-RA
OG0001559	HEL_012154-RA	Bany_09045-RA
OG0001560	HEL_001110-RA	Bany_14026-RA
OG0001562	HEL_012174-RA	Bany_09061-RA
OG0001563	HEL_013654-RA	Bany_14724-RA
OG0001563	HEL_013655-RA	Bany_14725-RA
OG0001564	HEL_000258-RA	Bany_16825-RA
OG0001564	HEL_000259-RA	Bany_16824-RA
OG0001565	HEL_013183-RA	Bany_15267-RA
OG0001567	HEL_012394-RA	Bany_10976-RA
OG0001568	HEL_006859-RA	Bany_02367-RA
OG0001570	HEL_012389-RA	Bany_10982-RA
OG0001571	HEL_006336-RA	Bany_06363-RA
OG0001572	HEL_000003-RA	Bany_10350-RA
OG0001573	HEL_000226-RA	Bany_16855-RA, Bany_16859-RA
OG0001575	HEL_013470-RA	Bany_17374-RA
OG0001576	HEL_007398-RA	Bany_08396-RA
OG0001577	HEL_001433-RA	Bany_00588-RA
OG0001578	HEL_006780-RA	Bany_04862-RA
OG0001578	HEL_006781-RA	Bany_04863-RA
OG0001579	HEL_001439-RA	Bany_00592-RA
OG0001580	HEL_007235-RA	Bany_13494-RA, Bany_15332-RA
OG0001581	HEL_001326-RA, HEL_001325-RA	Bany_00601-RA
OG0001582	HEL_001322-RA	Bany_00603-RA
OG0001584	HEL_001318-RA	Bany_00606-RA
OG0001585	HEL_007030-RA, HEL_007032-RA, HEL_007031-RA	Bany_07683-RA
OG0001586	HEL_005940-RA	Bany_07060-RA
OG0001587	HEL_008106-RA, HEL_008105-RA, HEL_008104-RA	Bany_11738-RA
OG0001588	HEL_007243-RA	Bany_15322-RA
OG0001589	HEL_013581-RA	Bany_14778-RA, Bany_14802-RA, Bany_14777-RA
OG0001591	HEL_008579-RA	Bany_13499-RA
OG0001591	HEL_008580-RA	Bany_13498-RA
OG0001592	HEL_012379-RA	Bany_11001-RA
OG0001593	HEL_006799-RA, HEL_006798-RA	Bany_04886-RA
OG0001594	HEL_010979-RA, HEL_010981-RA, HEL_010980-RA	Bany_10384-RA
OG0001595	HEL_003898-RA	Bany_09842-RA
OG0001596	HEL_000992-RA, HEL_000991-RA	Bany_14118-RA
OG0001597	HEL_003132-RA	Bany_04042-RA
OG0001598	HEL_013435-RA, HEL_013438-RA	Bany_08433-RA
OG0001600	HEL_012602-RA	Bany_09167-RA
OG0001601	HEL_010651-RA	Bany_12288-RA
OG0001602	HEL_007214-RA	Bany_15348-RA
OG0001603	HEL_012657-RA	Bany_09886-RA
OG0001605	HEL_014173-RA	Bany_01598-RA
OG0001607	HEL_001265-RA	Bany_00672-RA
OG0001608	HEL_009768-RA, HEL_009767-RA, HEL_009769-RA	Bany_14168-RA
OG0001609	HEL_005883-RA	Bany_07118-RA
OG0001609	HEL_005881-RA	Bany_07119-RA
OG0001610	HEL_003169-RA	Bany_04086-RA
OG0001611	HEL_010686-RA	Bany_12335-RA, Bany_12338-RA, Bany_12337-RA
OG0001612	HEL_011513-RA, HEL_011512-RA	Bany_08476-RA
OG0001614	HEL_005870-RA	Bany_07137-RA
OG0001615	HEL_012930-RA	Bany_02442-RA
OG0001615	HEL_012931-RA	Bany_02441-RA
OG0001616	HEL_012050-RA	Bany_14851-RA
OG0001617	HEL_010299-RA, HEL_010298-RA	Bany_12348-RA
OG0001618	HEL_010300-RA	Bany_12349-RA, Bany_12350-RA
OG0001619	HEL_006209-RA, HEL_006210-RA	Bany_06447-RA
OG0001620	HEL_008628-RA, HEL_008627-RA, HEL_008629-RA, HEL_008626-RA	Bany_13575-RA
OG0001621	HEL_011945-RA	Bany_09245-RA
OG0001623	HEL_001204-RA, HEL_001203-RA	Bany_00751-RA
OG0001624	HEL_009605-RA, HEL_009606-RA, HEL_009604-RA	Bany_06487-RA
OG0001625	HEL_013076-RA	Bany_11098-RA
OG0001625	HEL_013077-RA	Bany_11099-RA
OG0001626	HEL_003211-RA	Bany_04133-RA
OG0001627	HEL_009601-RA	Bany_06492-RA, Bany_06491-RA
OG0001630	HEL_011426-RA, HEL_011427-RA	Bany_08557-RA
OG0001631	HEL_006654-RA	Bany_04998-RA
OG0001632	HEL_008540-RA	Bany_02480-RA
OG0001633	HEL_001184-RA	Bany_00772-RA
OG0001635	HEL_011969-RA	Bany_09282-RA
OG0001635	HEL_011970-RA	Bany_09283-RA
OG0001636	HEL_006680-RA	Bany_05025-RA
OG0001637	HEL_010353-RA	Bany_12397-RA, Bany_12400-RA, Bany_12399-RA
OG0001638	HEL_008351-RA	Bany_01707-RA
OG0001640	HEL_010362-RA	Bany_12410-RA, Bany_12409-RA
OG0001641	HEL_008357-RA	Bany_01717-RA
OG0001642	HEL_008368-RA	Bany_01723-RA
OG0001643	HEL_001144-RA	Bany_00822-RA
OG0001644	HEL_007146-RA	Bany_07851-RA
OG0001645	HEL_008487-RA	Bany_02551-RA
OG0001647	HEL_012806-RA	Bany_08624-RA
OG0001648	HEL_008486-RA	Bany_02554-RA
OG0001648	HEL_008484-RA	Bany_02556-RA
OG0001650	HEL_003280-RA, HEL_003279-RA	Bany_04234-RA
OG0001651	HEL_008375-RA	Bany_01791-RA, Bany_01790-RA
OG0001651	HEL_008378-RA	Bany_01789-RA
OG0001652	HEL_008373-RA	Bany_01794-RA
OG0001653	HEL_011637-RA	Bany_03430-RA
OG0001654	HEL_002930-RA	Bany_05166-RA, Bany_05168-RA
OG0001670	HEL_010056-RA	Bany_18177-RA
OG0001671	HEL_009284-RA	Bany_17862-RA, Bany_18175-RA
OG0001672	HEL_013179-RA, HEL_013177-RA	Bany_10688-RA
OG0001672	HEL_013180-RA, HEL_013178-RA	Bany_18142-RA
OG0001673	HEL_004888-RA	Bany_02162-RA
OG0001674	HEL_000541-RA	Bany_18140-RA, Bany_06772-RA, Bany_06774-RA
OG0001675	HEL_008968-RA	Bany_13022-RA, Bany_13312-RA
OG0001676	HEL_011852-RA	Bany_17690-RA
OG0001677	HEL_001914-RA	Bany_14907-RA
OG0001678	HEL_001696-RA, HEL_001695-RA	Bany_00003-RA
OG0001680	HEL_012506-RA	Bany_14263-RA
OG0001681	HEL_004168-RA	Bany_12450-RA
OG0001682	HEL_007333-RA	Bany_14890-RA
OG0001683	HEL_011014-RA	Bany_10547-RA
OG0001684	HEL_011013-RA	Bany_10548-RA
OG0001685	HEL_002184-RA	Bany_06549-RA
OG0001686	HEL_011848-RA	Bany_17698-RA, Bany_17696-RA
OG0001687	HEL_011015-RA	Bany_10550-RA
OG0001688	HEL_007330-RA	Bany_14891-RA
OG0001689	HEL_013050-RA	Bany_16086-RA, Bany_07180-RA
OG0001690	HEL_005081-RA, HEL_005075-RA	Bany_09345-RA
OG0001691	HEL_012681-RA, HEL_012680-RA	Bany_00938-RA
OG0001692	HEL_012687-RA	Bany_00943-RA
OG0001693	HEL_002149-RA	Bany_13031-RA, Bany_17085-RA, Bany_17084-RA
OG0001695	HEL_003478-RA, HEL_003476-RA	Bany_08671-RA
OG0001696	HEL_014059-RA	Bany_11147-RA, Bany_11148-RA
OG0001697	HEL_009473-RA	Bany_07942-RA
OG0001698	HEL_004014-RA	Bany_05196-RA
OG0001699	HEL_004012-RA, HEL_004013-RA	Bany_05198-RA
OG0001700	HEL_014530-RA	Bany_16460-RA, Bany_16458-RA
OG0001702	HEL_012678-RA	Bany_00955-RA
OG0001703	HEL_012097-RA	Bany_07194-RA, Bany_07196-RA
OG0001704	HEL_013045-RA	Bany_00873-RA, Bany_00036-RA
OG0001705	HEL_003388-RA	Bany_01868-RA
OG0001706	HEL_004025-RA	Bany_08429-RA
OG0001707	HEL_013047-RA, HEL_013046-RA	Bany_16065-RA, Bany_05334-RA
OG0001709	HEL_012527-RA, HEL_012530-RA	Bany_14297-RA
OG0001709	HEL_012529-RA	Bany_14298-RA
OG0001710	HEL_009221-RA	Bany_17628-RA
OG0001711	HEL_005384-RA	Bany_17421-RA
OG0001713	HEL_002199-RA	Bany_06570-RA
OG0001714	HEL_005386-RA	Bany_17426-RA
OG0001715	HEL_007618-RA, HEL_007619-RA, HEL_007625-RA, HEL_007621-RA	Bany_09937-RA
OG0001716	HEL_007615-RA, HEL_007624-RA, HEL_007616-RA	Bany_09939-RA
OG0001718	HEL_005087-RA	Bany_09354-RA
OG0001718	HEL_005086-RA	Bany_09353-RA
OG0001719	HEL_013049-RA	Bany_16084-RA
OG0001721	HEL_005392-RA	Bany_17435-RA
OG0001722	HEL_005307-RA	Bany_15501-RA
OG0001723	HEL_005292-RA, HEL_005295-RA	Bany_15507-RA
OG0001724	HEL_010490-RA, HEL_010492-RA, HEL_010491-RA	Bany_02669-RA
OG0001725	HEL_003356-RA	Bany_01904-RA, Bany_01901-RA
OG0001726	HEL_005402-RA	Bany_17444-RA
OG0001727	HEL_012638-RA, HEL_012637-RA	Bany_00998-RA
OG0001728	HEL_005277-RA	Bany_15521-RA
OG0001728	HEL_005276-RA	Bany_15522-RA
OG0001729	HEL_005405-RA	Bany_17447-RA
OG0001730	HEL_003354-RA	Bany_01906-RA, Bany_01905-RA
OG0001732	HEL_002215-RA	Bany_06592-RA
OG0001734	HEL_005407-RA	Bany_17450-RA
OG0001735	HEL_005255-RA	Bany_15523-RA
OG0001736	HEL_010250-RA, HEL_010247-RA, HEL_010248-RA, HEL_010246-RA	Bany_07991-RA
OG0001737	HEL_004957-RA	Bany_02019-RA, Bany_06591-RA, Bany_02024-RA, Bany_02023-RA
OG0001738	HEL_003977-RA	Bany_05239-RA
OG0001739	HEL_005102-RA	Bany_09374-RA
OG0001740	HEL_012407-RA	Bany_04382-RA
OG0001742	HEL_012568-RA, HEL_012569-RA	Bany_14326-RA
OG0001743	HEL_012570-RA	Bany_14330-RA, Bany_14327-RA
OG0001744	HEL_010197-RA	Bany_05925-RA
OG0001745	HEL_005411-RA	Bany_17455-RA
OG0001746	HEL_011656-RA	Bany_06600-RA, Bany_02825-RA
OG0001747	HEL_011658-RA	Bany_06603-RA, Bany_06602-RA
OG0001748	HEL_004064-RA	Bany_12550-RA
OG0001750	HEL_013887-RA, HEL_013889-RA	Bany_01007-RA
OG0001751	HEL_013062-RA	Bany_16120-RA
OG0001752	HEL_013202-RA	Bany_10663-RA
OG0001753	HEL_002776-RA	Bany_04780-RA, Bany_08818-RA, Bany_14947-RA, Bany_01471-RA
OG0001754	HEL_008995-RA	Bany_13110-RA
OG0001755	HEL_002069-RA	Bany_17006-RA, Bany_17008-RA
OG0001756	HEL_013905-RA	Bany_01016-RA
OG0001757	HEL_007782-RA	Bany_11876-RA
OG0001758	HEL_013195-RA, HEL_013194-RA, HEL_013192-RA	Bany_10671-RA
OG0001759	HEL_014342-RA	Bany_08009-RA
OG0001760	HEL_013512-RA, HEL_013511-RA, HEL_013510-RA, HEL_013513-RA	Bany_17758-RA
OG0001761	HEL_013188-RA	Bany_10677-RA
OG0001762	HEL_005667-RA	Bany_14355-RA
OG0001763	HEL_010200-RA	Bany_05934-RA
OG0001764	HEL_003325-RA	Bany_01934-RA
OG0001765	HEL_000473-RA	Bany_16521-RA
OG0001766	HEL_002086-RA	Bany_17019-RA, Bany_17020-RA
OG0001767	HEL_000787-RA	Bany_13732-RA
OG0001768	HEL_009023-RA, HEL_009024-RA, HEL_009022-RA	Bany_13137-RA
OG0001769	HEL_008216-RA	Bany_11222-RA
OG0001770	HEL_008887-RA, HEL_008888-RA, HEL_008889-RA	Bany_13145-RA
OG0001771	HEL_007131-RA, HEL_007130-RA	Bany_12602-RA, Bany_07510-RA
OG0001772	HEL_011738-RA, HEL_011737-RA	Bany_16163-RA
OG0001773	HEL_013230-RA, HEL_013231-RA	Bany_07249-RA
OG0001774	HEL_005680-RA, HEL_005681-RA	Bany_14371-RA
OG0001776	HEL_012185-RA	Bany_06629-RA, Bany_09070-RA
OG0001777	HEL_007762-RA	Bany_11892-RA
OG0001778	HEL_010148-RA	Bany_01040-RA
OG0001779	HEL_001784-RA, HEL_001782-RA, HEL_001781-RA, HEL_001785-RA	Bany_00114-RA
OG0001780	HEL_007760-RA	Bany_11895-RA
OG0001781	HEL_011269-RA	Bany_06632-RA
OG0001782	HEL_003541-RA	Bany_08754-RA, Bany_08756-RA
OG0001783	HEL_007800-RA	Bany_11900-RA
OG0001784	HEL_011723-RA	Bany_16173-RA
OG0001786	HEL_011272-RA	Bany_06635-RA
OG0001787	HEL_005427-RA	Bany_17494-RA
OG0001788	HEL_000798-RA	Bany_13747-RA
OG0001789	HEL_010141-RA	Bany_01050-RA
OG0001790	HEL_013163-RA, HEL_013164-RA	Bany_10700-RA
OG0001791	HEL_003593-RA, HEL_003592-RA	Bany_09421-RA
OG0001793	HEL_008867-RA	Bany_13162-RA
OG0001794	HEL_005045-RA	Bany_01968-RA
OG0001795	HEL_011281-RA, HEL_011280-RA	Bany_06645-RA
OG0001796	HEL_013159-RA	Bany_10703-RA
OG0001797	HEL_008864-RA	Bany_13166-RA
OG0001798	HEL_006400-RA	Bany_11283-RA, Bany_11280-RA
OG0001799	HEL_010572-RA	Bany_02756-RA
OG0001800	HEL_006401-RA	Bany_11284-RA
OG0001801	HEL_011234-RA, HEL_011235-RA	Bany_13178-RA
OG0001802	HEL_007791-RA	Bany_11941-RA, Bany_11916-RA
OG0001803	HEL_001801-RA	Bany_00156-RA
OG0001804	HEL_011698-RA, HEL_011699-RA	Bany_16199-RA
OG0001805	HEL_010214-RA	Bany_05950-RA
OG0001806	HEL_005709-RA	Bany_14398-RA
OG0001807	HEL_000506-RA, HEL_000507-RA	Bany_16572-RA
OG0001808	HEL_003653-RA, HEL_003652-RA, HEL_003657-RA	Bany_09453-RA
OG0001810	HEL_011777-RA	Bany_16207-RA
OG0001811	HEL_004937-RA	Bany_01997-RA
OG0001812	HEL_000437-RA	Bany_16589-RA
OG0001814	HEL_007563-RA	Bany_10006-RA
OG0001814	HEL_007562-RA	Bany_10004-RA
OG0001815	HEL_006412-RA	Bany_11297-RA
OG0001816	HEL_008051-RA, HEL_008052-RA	Bany_06005-RA
OG0001817	HEL_005727-RA	Bany_14422-RA
OG0001818	HEL_009044-RA	Bany_02767-RA
OG0001819	HEL_013850-RA, HEL_013849-RA, HEL_013846-RA	Bany_09484-RA
OG0001820	HEL_002236-RA, HEL_002235-RA, HEL_002233-RA, HEL_002237-RA	Bany_06012-RA
OG0001821	HEL_010106-RA	Bany_01080-RA
OG0001822	HEL_005609-RA	Bany_15718-RA
OG0001822	HEL_005608-RA	Bany_12682-RA
OG0001823	HEL_011345-RA	Bany_06694-RA, Bany_06695-RA
OG0001824	HEL_005818-RA	Bany_14434-RA
OG0001825	HEL_011217-RA	Bany_13195-RA
OG0001826	HEL_002544-RA	Bany_04490-RA
OG0001826	HEL_002545-RA	Bany_04489-RA
OG0001827	HEL_001643-RA	Bany_00248-RA, Bany_00196-RA
OG0001829	HEL_009062-RA	Bany_02787-RA
OG0001830	HEL_001688-RA	Bany_00200-RA
OG0001831	HEL_002305-RA	Bany_03580-RA
OG0001833	HEL_010091-RA	Bany_01096-RA
OG0001834	HEL_004648-RA	Bany_17526-RA
OG0001835	HEL_001683-RA	Bany_00208-RA
OG0001836	HEL_011829-RA, HEL_011830-RA, HEL_011828-RA	Bany_17848-RA
OG0001838	HEL_000523-RA	Bany_00216-RA, Bany_06706-RA
OG0001839	HEL_002555-RA	Bany_04502-RA, Bany_04501-RA
OG0001840	HEL_000516-RA	Bany_06708-RA
OG0001841	HEL_009088-RA, HEL_009086-RA, HEL_009087-RA	Bany_02820-RA
OG0001842	HEL_000420-RA, HEL_000421-RA, HEL_000419-RA	Bany_16616-RA
OG0001844	HEL_007064-RA	Bany_07739-RA, Bany_07314-RA
OG0001845	HEL_014027-RA	Bany_05350-RA
OG0001846	HEL_010834-RA, HEL_010830-RA, HEL_010833-RA, HEL_010832-RA, HEL_010836-RA	Bany_15625-RA
OG0001847	HEL_000411-RA, HEL_000413-RA, HEL_000412-RA, HEL_000410-RA	Bany_16622-RA
OG0001848	HEL_011342-RA	Bany_06726-RA
OG0001849	HEL_014025-RA	Bany_05353-RA
OG0001850	HEL_010087-RA	Bany_01117-RA
OG0001851	HEL_014222-RA, HEL_014224-RA, HEL_014223-RA	Bany_09527-RA
OG0001852	HEL_009274-RA, HEL_009273-RA	Bany_17873-RA
OG0001853	HEL_014020-RA, HEL_014024-RA, HEL_014019-RA, HEL_014022-RA	Bany_05354-RA
OG0001855	HEL_010819-RA, HEL_010822-RA, HEL_010821-RA, HEL_010820-RA	Bany_15636-RA
OG0001856	HEL_005802-RA	Bany_14453-RA
OG0001857	HEL_002578-RA	Bany_04522-RA
OG0001858	HEL_009757-RA	Bany_15020-RA
OG0001860	HEL_013239-RA, HEL_013238-RA	Bany_07327-RA
OG0001861	HEL_005021-RA	Bany_02093-RA
OG0001862	HEL_007979-RA	Bany_06062-RA
OG0001862	HEL_007978-RA	Bany_06061-RA
OG0001863	HEL_007714-RA	Bany_10048-RA
OG0001865	HEL_009426-RA	Bany_08118-RA
OG0001866	HEL_002349-RA	Bany_03644-RA
OG0001868	HEL_000405-RA	Bany_16634-RA, Bany_16632-RA, Bany_16633-RA
OG0001869	HEL_004334-RA	Bany_10816-RA
OG0001870	HEL_009107-RA, HEL_009106-RA	Bany_02836-RA
OG0001871	HEL_004935-RA	Bany_02100-RA
OG0001872	HEL_004934-RA	Bany_02103-RA
OG0001873	HEL_002599-RA, HEL_002597-RA, HEL_002598-RA, HEL_002601-RA	Bany_04548-RA
OG0001874	HEL_003582-RA, HEL_003581-RA	Bany_08815-RA
OG0001875	HEL_010964-RA	Bany_08817-RA, Bany_10259-RA
OG0001876	HEL_001652-RA	Bany_00242-RA, Bany_14823-RA
OG0001877	HEL_013930-RA	Bany_16314-RA, Bany_16306-RA
OG0001878	HEL_002605-RA	Bany_04552-RA
OG0001879	HEL_004930-RA	Bany_02110-RA
OG0001881	HEL_006466-RA, HEL_006463-RA	Bany_11361-RA
OG0001882	HEL_009415-RA	Bany_08138-RA
OG0001883	HEL_004636-RA	Bany_17543-RA
OG0001884	HEL_008014-RA	Bany_06101-RA
OG0001885	HEL_013770-RA	Bany_15042-RA
OG0001886	HEL_013774-RA	Bany_15047-RA
OG0001887	HEL_013960-RA	Bany_16334-RA
OG0001888	HEL_002618-RA, HEL_002617-RA	Bany_06210-RA, Bany_04567-RA
OG0001889	HEL_012079-RA	Bany_07356-RA
OG0001890	HEL_009409-RA	Bany_08144-RA
OG0001891	HEL_000554-RA	Bany_06793-RA
OG0001892	HEL_013532-RA	Bany_01165-RA
OG0001893	HEL_013534-RA	Bany_01168-RA
OG0001894	HEL_009153-RA, HEL_009154-RA	Bany_02878-RA
OG0001895	HEL_008099-RA, HEL_008100-RA	Bany_06118-RA
OG0001896	HEL_013701-RA	Bany_12818-RA
OG0001897	HEL_008828-RA	Bany_05390-RA
OG0001898	HEL_002980-RA	Bany_08845-RA
OG0001899	HEL_006184-RA	Bany_12005-RA
OG0001900	HEL_013787-RA	Bany_15062-RA
OG0001901	HEL_009789-RA	Bany_13834-RA
OG0001902	HEL_002396-RA	Bany_03704-RA
OG0001904	HEL_013788-RA	Bany_15064-RA
OG0001905	HEL_002639-RA	Bany_04593-RA
OG0001906	HEL_009588-RA	Bany_06519-RA, Bany_17904-RA
OG0001907	HEL_005142-RA	Bany_09566-RA
OG0001908	HEL_010721-RA	Bany_08859-RA, Bany_07560-RA
OG0001909	HEL_009307-RA	Bany_17907-RA
OG0001910	HEL_004620-RA	Bany_17559-RA
OG0001911	HEL_008809-RA	Bany_05406-RA
OG0001912	HEL_013219-RA	Bany_07365-RA
OG0001912	HEL_013218-RA	Bany_07364-RA
OG0001913	HEL_005144-RA	Bany_09567-RA
OG0001914	HEL_005146-RA, HEL_005150-RA, HEL_005152-RA, HEL_005149-RA	Bany_09569-RA
OG0001915	HEL_013017-RA	Bany_16376-RA
OG0001916	HEL_002405-RA	Bany_03714-RA, Bany_03718-RA
OG0001917	HEL_013314-RA	Bany_10113-RA
OG0001918	HEL_000919-RA	Bany_13856-RA
OG0001919	HEL_005779-RA	Bany_14499-RA
OG0001920	HEL_004627-RA	Bany_00418-RA, Bany_08421-RA, Bany_17571-RA
OG0001921	HEL_000914-RA	Bany_13864-RA
OG0001922	HEL_009327-RA, HEL_009326-RA	Bany_17923-RA
OG0001923	HEL_009652-RA	Bany_07376-RA
OG0001926	HEL_006608-RA	Bany_11525-RA, Bany_04606-RA
OG0001927	HEL_010380-RA, HEL_010381-RA	Bany_16394-RA
OG0001928	HEL_006177-RA	Bany_12024-RA
OG0001929	HEL_009647-RA	Bany_07382-RA
OG0001931	HEL_013925-RA	Bany_16397-RA
OG0001932	HEL_009377-RA	Bany_08191-RA
OG0001933	HEL_013989-RA	Bany_15661-RA
OG0001934	HEL_007929-RA	Bany_06162-RA
OG0001936	HEL_004886-RA	Bany_02167-RA
OG0001937	HEL_000568-RA	Bany_06833-RA
OG0001938	HEL_002656-RA	Bany_04609-RA
OG0001939	HEL_011532-RA	Bany_15082-RA
OG0001941	HEL_002660-RA, HEL_002661-RA, HEL_002658-RA	Bany_04610-RA
OG0001942	HEL_009337-RA	Bany_17937-RA
OG0001943	HEL_012135-RA	Bany_08899-RA
OG0001944	HEL_007917-RA	Bany_06174-RA
OG0001945	HEL_004138-RA	Bany_12894-RA
OG0001946	HEL_002666-RA, HEL_002669-RA, HEL_002668-RA, HEL_002667-RA	Bany_04616-RA
OG0001947	HEL_002672-RA, HEL_002670-RA	Bany_04618-RA
OG0001948	HEL_007910-RA	Bany_06179-RA, Bany_06181-RA, Bany_06182-RA
OG0001950	HEL_004876-RA	Bany_02174-RA
OG0001951	HEL_008768-RA	Bany_05448-RA
OG0001953	HEL_007908-RA, HEL_007906-RA	Bany_06186-RA
OG0001954	HEL_002432-RA	Bany_03759-RA
OG0001955	HEL_007905-RA	Bany_06188-RA
OG0001955	HEL_007904-RA	Bany_17647-RA
OG0001956	HEL_002011-RA	Bany_17221-RA
OG0001958	HEL_004607-RA, HEL_004606-RA	Bany_17581-RA
OG0001959	HEL_007037-RA	Bany_12921-RA, Bany_07693-RA
OG0001960	HEL_007487-RA	Bany_08288-RA
OG0001961	HEL_000601-RA	Bany_06849-RA
OG0001961	HEL_000602-RA	Bany_03173-RA
OG0001962	HEL_006555-RA	Bany_11458-RA
OG0001963	HEL_013974-RA	Bany_15675-RA
OG0001964	HEL_012283-RA, HEL_012284-RA, HEL_012285-RA	Bany_13300-RA
OG0001965	HEL_004855-RA, HEL_004854-RA	Bany_02187-RA
OG0001966	HEL_000354-RA	Bany_16684-RA
OG0001967	HEL_006158-RA	Bany_12058-RA, Bany_12062-RA
OG0001968	HEL_008744-RA	Bany_05468-RA
OG0001969	HEL_002450-RA, HEL_002451-RA	Bany_03779-RA
OG0001970	HEL_008743-RA	Bany_05469-RA
OG0001971	HEL_004843-RA	Bany_02197-RA
OG0001972	HEL_006585-RA	Bany_11485-RA
OG0001973	HEL_004290-RA	Bany_10877-RA
OG0001974	HEL_008981-RA, HEL_008984-RA	Bany_13322-RA
OG0001975	HEL_014552-RA	Bany_01230-RA
OG0001976	HEL_007890-RA, HEL_007889-RA	Bany_06204-RA
OG0001977	HEL_007556-RA, HEL_007557-RA, HEL_007555-RA	Bany_08225-RA
OG0001978	HEL_000624-RA	Bany_06883-RA
OG0001979	HEL_000309-RA, HEL_000310-RA	Bany_16710-RA
OG0001980	HEL_000867-RA	Bany_13926-RA
OG0001982	HEL_010877-RA, HEL_010876-RA	Bany_10169-RA
