Orthogroup	Heliconius_erato_lativitta	Vanessa_cardui
OG0000078	HEL_008247-RA, HEL_008248-RA, HEL_008242-RA, HEL_008245-RA, HEL_008246-RA, HEL_008243-RA, HEL_008244-RA	Vcard_DToL15658-RA, Vcard_DToL15656-RA
OG0000079	HEL_010374-RA	Vcard_DToL05221-RA
OG0000082	HEL_005977-RA	Vcard_DToL17276-RA
OG0000084	HEL_010679-RA	Vcard_DToL07564-RA
OG0000085	HEL_005305-RA, HEL_005304-RA	Vcard_DToL03094-RA
OG0000088	HEL_014145-RA, HEL_012840-RA	Vcard_DToL06952-RA
OG0000090	HEL_007626-RA	Vcard_DToL04847-RA
OG0000092	HEL_008400-RA, HEL_010287-RA, HEL_010290-RA, HEL_010286-RA, HEL_010285-RA	Vcard_DToL04255-RA, Vcard_DToL04256-RA, Vcard_DToL04257-RA
OG0000093	HEL_005969-RA	Vcard_DToL17257-RA
OG0000093	HEL_005968-RA, HEL_005966-RA	Vcard_DToL17260-RA
OG0000093	HEL_005972-RA	Vcard_DToL17256-RA
OG0000094	HEL_006926-RA	Vcard_DToL15547-RA
OG0000094	HEL_006938-RA, HEL_006942-RA, HEL_006905-RA, HEL_006908-RA, HEL_006904-RA, HEL_006902-RA, HEL_006899-RA, HEL_006907-RA, HEL_006901-RA, HEL_006897-RA, HEL_006910-RA, HEL_010220-RA, HEL_006911-RA	Vcard_DToL15561-RA
OG0000095	HEL_001292-RA	Vcard_DToL02427-RA, Vcard_DToL02425-RA
OG0000096	HEL_010168-RA	Vcard_DToL06347-RA
OG0000096	HEL_010165-RA	Vcard_DToL06351-RA
OG0000097	HEL_008951-RA, HEL_008950-RA, HEL_008948-RA	Vcard_DToL11327-RA, Vcard_DToL11326-RA
OG0000098	HEL_005540-RA	Vcard_DToL02960-RA
OG0000100	HEL_005774-RA	Vcard_DToL12906-RA
OG0000100	HEL_005770-RA, HEL_005771-RA	Vcard_DToL12907-RA
OG0000100	HEL_005776-RA	Vcard_DToL12904-RA
OG0000100	HEL_005778-RA	Vcard_DToL12899-RA
OG0000101	HEL_010134-RA, HEL_010133-RA	Vcard_DToL09191-RA
OG0000102	HEL_013146-RA	Vcard_DToL07821-RA
OG0000102	HEL_013140-RA, HEL_013133-RA, HEL_013139-RA, HEL_013134-RA, HEL_013137-RA, HEL_013138-RA, HEL_003835-RA, HEL_013136-RA, HEL_013135-RA	Vcard_DToL07817-RA
OG0000103	HEL_008320-RA	Vcard_DToL08117-RA, Vcard_DToL08106-RA, Vcard_DToL08112-RA, Vcard_DToL08124-RA, Vcard_DToL08121-RA, Vcard_DToL08115-RA, Vcard_DToL08125-RA, Vcard_DToL08113-RA, Vcard_DToL08126-RA, Vcard_DToL08114-RA, Vcard_DToL08116-RA, Vcard_DToL08111-RA, Vcard_DToL08118-RA, Vcard_DToL08122-RA
OG0000108	HEL_013515-RA	Vcard_DToL18043-RA
OG0000109	HEL_012849-RA, HEL_012847-RA	Vcard_DToL04712-RA
OG0000110	HEL_014554-RA	Vcard_DToL07723-RA
OG0000110	HEL_014551-RA	Vcard_DToL07721-RA
OG0000111	HEL_004223-RA	Vcard_DToL10424-RA
OG0000111	HEL_000126-RA	Vcard_DToL05296-RA
OG0000111	HEL_000128-RA	Vcard_DToL05301-RA
OG0000113	HEL_008858-RA, HEL_008860-RA, HEL_008861-RA	Vcard_DToL03481-RA
OG0000114	HEL_009880-RA, HEL_009885-RA	Vcard_DToL07873-RA
OG0000115	HEL_004784-RA	Vcard_DToL16325-RA
OG0000115	HEL_006264-RA	Vcard_DToL06773-RA
OG0000115	HEL_004779-RA	Vcard_DToL16322-RA
OG0000116	HEL_000181-RA	Vcard_DToL05226-RA
OG0000116	HEL_010345-RA	Vcard_DToL07626-RA
OG0000116	HEL_010451-RA	Vcard_DToL00399-RA
OG0000116	HEL_004697-RA	Vcard_DToL17023-RA
OG0000117	HEL_013392-RA	Vcard_DToL08238-RA
OG0000117	HEL_013393-RA	Vcard_DToL08239-RA
OG0000124	HEL_012796-RA	Vcard_DToL13182-RA
OG0000125	HEL_008471-RA	Vcard_DToL15852-RA
OG0000125	HEL_008470-RA	Vcard_DToL15854-RA
OG0000127	HEL_013706-RA	Vcard_DToL18678-RA
OG0000128	HEL_014291-RA	Vcard_DToL13576-RA
OG0000128	HEL_014057-RA	Vcard_DToL13582-RA, Vcard_DToL13590-RA
OG0000128	HEL_014054-RA	Vcard_DToL13581-RA
OG0000129	HEL_003330-RA, HEL_003340-RA	Vcard_DToL16688-RA
OG0000131	HEL_004142-RA	Vcard_DToL17922-RA, Vcard_DToL17920-RA, Vcard_DToL17921-RA
OG0000132	HEL_013799-RA, HEL_013798-RA	Vcard_DToL14782-RA, Vcard_DToL14783-RA, Vcard_DToL14781-RA
OG0000133	HEL_004130-RA	Vcard_DToL17871-RA
OG0000133	HEL_004133-RA	Vcard_DToL17888-RA
OG0000134	HEL_006876-RA	Vcard_DToL15581-RA
OG0000134	HEL_006826-RA	Vcard_DToL15582-RA
OG0000138	HEL_002292-RA	Vcard_DToL06226-RA, Vcard_DToL06227-RA
OG0000138	HEL_007640-RA	Vcard_DToL04862-RA, Vcard_DToL04863-RA, Vcard_DToL04861-RA
OG0000139	HEL_003606-RA	Vcard_DToL15053-RA, Vcard_DToL14664-RA
OG0000141	HEL_010839-RA, HEL_010838-RA	Vcard_DToL03188-RA, Vcard_DToL03187-RA, Vcard_DToL03185-RA, Vcard_DToL03183-RA
OG0000143	HEL_009925-RA	Vcard_DToL08257-RA
OG0000143	HEL_009924-RA	Vcard_DToL08259-RA
OG0000144	HEL_011567-RA	Vcard_DToL09834-RA
OG0000145	HEL_013443-RA, HEL_013444-RA, HEL_013445-RA, HEL_013441-RA, HEL_013440-RA, HEL_013439-RA, HEL_013442-RA	Vcard_DToL04524-RA
OG0000147	HEL_007353-RA	Vcard_DToL09992-RA, Vcard_DToL09991-RA
OG0000147	HEL_007352-RA, HEL_007351-RA, HEL_007357-RA, HEL_007356-RA, HEL_007354-RA	Vcard_DToL09989-RA, Vcard_DToL09990-RA
OG0000149	HEL_004262-RA	Vcard_DToL10477-RA
OG0000152	HEL_002884-RA	Vcard_DToL01543-RA
OG0000152	HEL_002887-RA	Vcard_DToL01538-RA
OG0000152	HEL_002885-RA	Vcard_DToL01542-RA
OG0000153	HEL_012803-RA	Vcard_DToL04750-RA
OG0000154	HEL_004719-RA	Vcard_DToL05463-RA
OG0000154	HEL_004718-RA, HEL_004720-RA, HEL_004722-RA	Vcard_DToL17051-RA, Vcard_DToL17057-RA, Vcard_DToL17056-RA
OG0000155	HEL_012316-RA	Vcard_DToL15439-RA
OG0000156	HEL_013567-RA, HEL_013569-RA	Vcard_DToL12572-RA, Vcard_DToL12567-RA, Vcard_DToL12573-RA
OG0000162	HEL_008231-RA	Vcard_DToL13656-RA, Vcard_DToL13659-RA, Vcard_DToL13657-RA
OG0000163	HEL_006383-RA, HEL_006384-RA, HEL_014323-RA, HEL_014324-RA	Vcard_DToL13540-RA
OG0000164	HEL_013352-RA	Vcard_DToL18259-RA
OG0000165	HEL_014028-RA	Vcard_DToL03464-RA
OG0000166	HEL_009754-RA	Vcard_DToL10237-RA
OG0000167	HEL_011445-RA	Vcard_DToL18010-RA, Vcard_DToL18016-RA, Vcard_DToL04638-RA
OG0000167	HEL_000604-RA	Vcard_DToL17484-RA
OG0000169	HEL_012759-RA	Vcard_DToL13220-RA
OG0000169	HEL_014571-RA	Vcard_DToL13222-RA
OG0000169	HEL_012764-RA	Vcard_DToL13212-RA
OG0000171	HEL_006253-RA	Vcard_DToL06760-RA
OG0000171	HEL_006249-RA, HEL_006252-RA, HEL_006250-RA	Vcard_DToL06758-RA
OG0000172	HEL_008361-RA, HEL_008362-RA	Vcard_DToL08055-RA
OG0000174	HEL_002709-RA	Vcard_DToL01198-RA
OG0000174	HEL_002707-RA	Vcard_DToL01197-RA
OG0000174	HEL_002714-RA, HEL_002715-RA	Vcard_DToL01201-RA
OG0000174	HEL_007174-RA	Vcard_DToL00231-RA
