	Bicyclus_anynana	Danaus_plexippus	Heliconius_erato_lativitta	Heliconius_melpomene_melpomene	Junonia_coenia	Maniola_hyperantus	Pararge_aegeria	Vanessa_cardui	Vanessa_tameamea
Bicyclus_anynana	0.0	13035.0	10147.0	11730.0	11711.0	11877.0	12103.0	10887.0	11540.0
Danaus_plexippus	11890.0	0.0	10287.0	11612.0	11439.0	11509.0	11552.0	11036.0	11488.0
Heliconius_erato_lativitta	10697.0	11678.0	0.0	11197.0	10490.0	10514.0	10472.0	10078.0	10354.0
Heliconius_melpomene_melpomene	11984.0	12771.0	10415.0	0.0	11433.0	11054.0	11275.0	10560.0	11312.0
Junonia_coenia	12170.0	13149.0	10456.0	11694.0	0.0	11580.0	11612.0	11052.0	11637.0
Maniola_hyperantus	12032.0	12389.0	10171.0	11395.0	11311.0	0.0	12691.0	11053.0	12090.0
Pararge_aegeria	12741.0	12850.0	10437.0	11947.0	11693.0	13129.0	0.0	11420.0	12543.0
Vanessa_cardui	10602.0	11754.0	9317.0	10196.0	10487.0	10588.0	10556.0	0.0	10711.0
Vanessa_tameamea	11594.0	12288.0	10147.0	11413.0	11346.0	12034.0	12044.0	11255.0	0.0
