	Bicyclus_anynana	Danaus_plexippus	Heliconius_erato_lativitta	Heliconius_melpomene_melpomene	Junonia_coenia	Maniola_hyperantus	Pararge_aegeria	Vanessa_cardui	Vanessa_tameamea
Bicyclus_anynana	0.0	2888.0	1461.0	2004.0	1701.0	2002.0	2063.0	1569.0	2073.0
Danaus_plexippus	1240.0	0.0	1055.0	1315.0	1129.0	1416.0	1379.0	1161.0	1404.0
Heliconius_erato_lativitta	2366.0	3254.0	0.0	2550.0	2095.0	2399.0	2450.0	2108.0	2339.0
Heliconius_melpomene_melpomene	1812.0	2385.0	1136.0	0.0	1682.0	1405.0	1474.0	1413.0	1705.0
Junonia_coenia	2145.0	3533.0	1719.0	2281.0	0.0	2307.0	2352.0	1611.0	2383.0
Maniola_hyperantus	2150.0	2606.0	1836.0	2105.0	2018.0	0.0	1717.0	2046.0	1806.0
Pararge_aegeria	2821.0	3061.0	2214.0	2729.0	2502.0	2144.0	0.0	2531.0	2121.0
Vanessa_cardui	1172.0	2266.0	887.0	1201.0	858.0	1458.0	1411.0	0.0	1141.0
Vanessa_tameamea	2220.0	2616.0	1945.0	2206.0	2097.0	1815.0	1656.0	2073.0	0.0
